wavenumber,intensity
301.04,26
304.632,50
308.221,48
311.81,45
315.398,46
318.983,42
322.566,45
326.15,44
329.732,48
333.311,46
336.889,48
340.467,44
344.042,49
347.618,52
351.19,48
354.76,53
358.332,52
361.9,46
365.466,41
369.031,50
372.597,62
376.16,57
379.721,52
383.28,45
386.839,55
390.396,42
393.951,52
397.505,44
401.058,62
404.61,57
408.16,50
411.708,59
415.256,48
418.801,47
422.346,59
425.887,58
429.429,58
432.97,74
436.507,69
440.044,78
443.581,67
447.116,73
450.647,59
454.18,72
457.708,65
461.238,53
464.764,65
468.291,63
471.815,61
475.339,56
478.859,47
482.379,52
485.899,53
489.416,58
492.931,58
496.447,43
499.96,54
503.471,55
506.981,50
510.489,47
513.999,55
517.503,58
521.009,50
524.51,47
528.014,44
531.513,55
535.014,56
538.51,58
542.008,54
545.502,52
548.997,45
552.488,64
555.979,62
559.469,62
562.955,57
566.442,55
569.928,49
573.411,65
576.894,62
580.376,53
583.854,55
587.331,59
590.811,73
594.286,63
597.759,63
601.231,67
604.705,77
608.174,74
611.642,74
615.109,79
618.574,66
622.038,66
625.503,67
628.966,60
632.426,59
635.884,48
639.342,44
642.798,57
646.252,61
649.706,59
653.158,48
656.608,59
660.058,59
663.506,43
666.953,50
670.398,49
673.842,61
677.285,58
680.727,64
684.165,74
687.602,49
691.04,64
694.476,55
697.911,55
701.345,62
704.775,52
708.204,62
711.634,55
715.063,65
718.49,54
721.912,52
725.336,66
728.76,54
732.18,54
735.599,54
739.018,60
742.434,55
745.849,56
749.265,53
752.675,61
756.088,63
759.498,53
762.906,50
766.313,62
769.719,62
773.124,70
776.527,63
779.929,61
783.33,55
786.729,56
790.127,70
793.524,62
796.919,66
800.312,60
803.705,56
807.097,67
810.485,57
813.874,64
817.262,56
820.647,51
824.032,56
827.416,59
830.797,61
834.179,53
837.557,68
840.936,64
844.312,51
847.688,60
851.061,62
854.433,62
857.806,76
861.175,65
864.543,53
867.91,68
871.278,53
874.642,51
878.005,57
881.367,53
884.728,63
888.087,60
891.445,74
894.802,59
898.157,73
901.511,51
904.864,74
908.216,65
911.567,64
914.914,59
918.262,70
921.609,61
924.954,42
928.296,71
931.639,66
934.981,52
938.32,70
941.659,67
944.995,58
948.332,65
951.665,64
954.999,66
958.33,75
961.66,59
964.991,60
968.318,64
971.644,63
974.971,68
978.295,61
981.617,53
984.94,60
988.258,67
991.578,57
994.896,74
998.212,59
1001.53,64
1004.84,69
1008.15,76
1011.46,59
1014.77,65
1018.08,65
1021.39,75
1024.7,86
1028,78
1031.3,70
1034.61,76
1037.91,84
1041.21,78
1044.51,69
1047.8,66
1051.1,83
1054.39,90
1057.68,96
1060.98,128
1064.27,143
1067.56,101
1070.84,81
1074.13,76
1077.42,72
1080.7,85
1083.98,79
1087.27,83
1090.55,67
1093.83,79
1097.1,64
1100.38,80
1103.65,72
1106.93,74
1110.2,70
1113.47,81
1116.74,79
1120.01,82
1123.28,95
1126.55,119
1129.81,148
1133.08,94
1136.34,80
1139.6,71
1142.86,82
1146.12,76
1149.37,76
1152.63,76
1155.89,82
1159.14,73
1162.39,66
1165.64,80
1168.89,79
1172.14,101
1175.39,71
1178.64,83
1181.88,75
1185.12,66
1188.37,72
1191.61,76
1194.85,68
1198.09,88
1201.32,81
1204.56,66
1207.79,67
1211.03,68
1214.26,81
1217.49,67
1220.72,69
1223.95,78
1227.18,68
1230.4,64
1233.63,81
1236.85,83
1240.07,78
1243.3,74
1246.52,67
1249.74,64
1252.95,82
1256.17,72
1259.38,79
1262.6,65
1265.81,84
1269.02,76
1272.23,87
1275.44,75
1278.65,76
1281.85,87
1285.06,82
1288.26,101
1291.46,128
1294.67,200
1297.87,143
1301.07,105
1304.26,101
1307.46,87
1310.66,77
1313.85,88
1317.04,76
1320.23,79
1323.42,95
1326.61,76
1329.8,67
1332.99,82
1336.17,82
1339.36,70
1342.54,82
1345.72,72
1348.9,88
1352.08,66
1355.26,68
1358.44,71
1361.61,84
1364.79,74
1367.96,100
1371.13,83
1374.3,69
1377.47,91
1380.64,81
1383.81,77
1386.97,84
1390.14,75
1393.3,86
1396.47,71
1399.63,92
1402.79,94
1405.95,77
1409.1,93
1412.26,93
1415.41,110
1418.57,112
1421.72,103
1424.87,106
1428.02,110
1431.17,125
1434.32,123
1437.47,169
1440.61,178
1443.76,166
1446.9,129
1450.04,117
1453.18,116
1456.32,127
1459.46,136
1462.59,143
1465.73,127
1468.87,114
1472,101
1475.13,85
1478.26,93
1481.4,98
1484.52,87
1487.65,97
1490.78,94
1493.9,95
1497.03,85
1500.15,94
1503.27,93
1506.39,85
1509.51,93
1512.63,74
1515.74,75
1518.86,81
1521.97,105
1525.09,95
1528.2,105
1531.31,105
1534.42,103
1537.53,86
1540.64,85
1543.74,102
1546.85,75
1549.95,72
1553.05,89
1556.16,96
1559.26,92
1562.36,86
1565.45,85
1568.55,90
1571.65,100
1574.74,91
1577.83,88
1580.92,98
1584.02,83
1587.11,84
1590.19,93
1593.28,97
1596.37,71
1599.45,73
1602.54,88
1605.62,78
1608.7,84
1611.78,90
1614.86,97
1617.94,89
1621.02,88
1624.09,86
1627.17,89
1630.24,89
1633.31,89
1636.38,89
1639.45,96
1642.52,98
1645.59,103
1648.65,94
1651.72,91
1654.78,98
1657.85,108
1660.91,80
1663.97,100
1667.03,88
1670.09,101
1673.15,104
1676.2,91
1679.26,96
1682.31,98
1685.36,102
1688.41,96
1691.46,100
1694.51,82
1697.56,87
1700.61,107
1703.65,94
1706.7,105
1709.74,96
1712.78,105
1715.83,106
1718.86,110
1721.9,96
1724.94,88
1727.98,98
1731.01,94
1734.05,99
1737.08,85
1740.11,99
1743.14,93
1746.17,91
1749.2,96
1752.23,94
1755.25,103
1758.28,100
1761.3,106
1764.33,86
1767.35,105
1770.37,100
1773.39,90
1776.41,102
1779.42,100
1782.44,100
1785.46,121
1788.47,121
1791.48,107
1794.49,97
