SpectrumIdentity,SpectrumID,Organization,SpectrumType,InstrumentUsed,InstrumentAccesories,SpectralResolution,NumberofAccumulations,MaterialForm,Color,InstrumentMode,OtherInformation,MaterialProducer,RID,ContactInfo,CASNumber,MaterialPurity,MaterialQuality,InstrumentAccessories,LaserLightUsed,TotalAcquisitionTime_s,DataProcessingProcedure,LevelofConfidenceinIdentification,smoother,baseline,range,timestamp,SampleName,rsq
HDPE,HDPESample 1Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,1,
HDPE,HDPESample 2Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,2,
HDPE,HDPESample 3Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,3,
HDPE,HDPESample 4Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,4,
HDPE,HDPESample 5Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,5,
HDPE,HDPESample 6Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,6,
HDPE,HDPESample 7Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,7,
HDPE,HDPESample 8Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,8,
HDPE,HDPESample 9Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,9,
HDPE,HDPESample 10Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,10,
