SpectrumIdentity,SpectrumID,Organization,SpectrumType,InstrumentUsed,InstrumentAccesories,SpectralResolution,NumberofAccumulations,MaterialForm,Color,InstrumentMode,OtherInformation,MaterialProducer,RID,ContactInfo,CASNumber,MaterialPurity,MaterialQuality,InstrumentAccessories,LaserLightUsed,TotalAcquisitionTime_s,DataProcessingProcedure,LevelofConfidenceinIdentification,smoother,baseline,range,timestamp,SampleName,rsq
Fe3 O4,1000000,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000000.rod,,,,,,,,,,,,,,,,637,
Fe2 O3,1000001,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000001.rod,,,,,,,,,,,,,,,,638,
F4 Li Y,1000002,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000002.rod,,,,,,,,,,,,,,,,639,
F4 Li Y,1000003,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000003.rod,,,,,,,,,,,,,,,,640,
F4 Li Y,1000004,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000004.rod,,,,,,,,,,,,,,,,641,
F4 Li Y,1000005,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000005.rod,,,,,,,,,,,,,,,,642,
F4 Li Y,1000006,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000006.rod,,,,,,,,,,,,,,,,643,
Ce O2,1000009,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000009.rod,,,,,,,,,,,,,,,,644,
Cl2.18 Cu3 H5.82 O5.82 Zn,1000010,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000010.rod,,,,,,,,,,,,,,,,645,
Cl0.675 Fe4 O8,1000014,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000014.rod,,,,,,,,,,,,,,,,646,
C Fe O3,1000015,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000015.rod,,,,,,,,,,,,,,,,647,
C2 Ca Mg O6,1000016,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000016.rod,,,,,,,,,,,,,,,,648,
Co Fe2 O4,1000017,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000017.rod,,,,,,,,,,,,,,,,649,
C12 H10 N4 O2,1000018,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000018.rod,,,,,,,,,,,,,,,,650,
Al0.122 Ca1.802 Fe0.575 H1.94 K0.014 Mg4.479 Mn0.016 Na0.124 O24 Si7.94 Ti0.002,1000019,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000019.rod,,,,,,,,,,,,,,,,651,
Al0.122 Ca1.802 Fe0.575 H1.94 K0.014 Mg4.479 Mn0.016 Na0.124 O24 Si7.94 Ti0.002,1000020,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000020.rod,,,,,,,,,,,,,,,,652,
Ca O4 S,1000021,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000021.rod,,,,,,,,,,,,,,,,653,
