en,az
About,Haqqında
Welcome,Xoş gəldiniz
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Ətrafdakı yüzlərlə tədqiqatçıya qoşulun
           tərəfindən Open Specy icmasının bir hissəsi olan dünya
           təhlil etmək, paylaşmaq, emal etmək və müəyyən etmək
           onların Raman və İQ spektrləri. Bu xidmətlər partnyorlarımız sayəsində pulsuz və açıq mənbədir:"
Quick Video Tutorial,Sürətli Video Dərslik
Instructions,Təlimatlar
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Qısaca: Alətdən istifadə etmək üçün csv, asp, jdx, spc və ya spa faylını yükləmə faylı nişanına yükləyin.
                                  Əgər csv varsa, bir sütun ""dalğa nömrəsi"" (1/sm vahidləri ilə), digəri isə ""intensivlik"" adlandırılmalıdır.
                                  Siz SG filtrindən istifadə edərək məlumatlarınızı hamarlaya, iModPolyFit-in polinom sırasından istifadə edərək məlumatlarınızı bazaya düzəldə və uyğunluq üçün dalğa uzunluğu diapazonunu məhdudlaşdıra bilərsiniz.
                                  Nəticə daxili Raman və ya FTIR spektrləri kitabxanası ilə müqayisə ediləcək. Sizinlə birlikdə ən güclü 1000 matç
                                  yüklənmiş və ya işlənmiş məlumatlar interaktiv süjet və cədvəldə təqdim olunacaq. Ətraflı məlumat üçün aşağıdakı düyməyə klikləyin
                                  və ya ətraflı təlimat videosuna baxın."
Detailed Standard Operating Procedure,Ətraflı Standart Əməliyyat Proseduru
Download Open Data,Açıq məlumatı yükləyin
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","İstinad spektrləri açıq giriş mənbələrindən əldə edilmişdir
           onlayn, nəzərdən keçirilmiş nəşrlər və korporativ ianələr. Gələcəkdə
           alətə yüklənmiş spektrlər istinada daxil ediləcək
           kitabxananı daha da yaxşılaşdırmaq üçün."
Raman Reference Library,Raman Referans Kitabxanası
FTIR Reference Library,FTIR Referans Kitabxanası
Raman Reference Library Metadata,Raman Referans Kitabxanası Metadata
FTIR Reference Library Metadata,FTIR Referans Kitabxanası Metadata
Contribute Spectra,Spectra-ya töhfə verin
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Spektrləri bölüşmək üçün faylı yükləmə faylı nişanına yükləyin. Əgər ""Paylaş"" seçsəniz, spektrlərinizin bir nüsxəsi İcmaya göndəriləcək
           Açıq Elm Çərçivəsində Məlumat Anbarı. Əlavə metadata əlavə etmək üçün,
           mövcud metadata sahələrini doldurun və -Məlumatları Paylaş- üzərinə klikləyin. The
           cavablarınızla birlikdə yüklədiyiniz spektr faylı kopyalanacaq
           aşağıdakı linkdə a -Metaməlumatla- alt qovluğuna keçin. Bütün paylaşılan data saxlanılır
           Creative Commons Attribution License 4.0."
Community Data Warehouse,İcma Məlumat Anbarı
Tool Validation,Alətlərin Təsdiqlənməsi
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Bu alətdəki bütün parametrlər bunu təsdiqləmək üçün sınaqdan keçirilir
           alət mümkün qədər yaxşı işləyir və ən yaxşı standartı müəyyənləşdirir
           istifadə etmək üçün parametrlər. Cari yoxlama prosedurumuza düzəliş daxildir
           istinad kitabxanalarında təkrarlanan qeydlər, spektrlərin yoxlanılması
           spektral kitabxanada olmayan metadata və standartın təmin edilməsi
           parametrlər ilk matçda 80%-dən çox dəqiqliyi təmin edir."
Detailed Validation Procedure,Ətraflı Qiymətləndirmə Proseduru
"Updates, Feature Requests, and Bug Reports","Yeniləmələr, Xüsusiyyət Sorğuları və Baq Hesabatları"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Kodumuzdakı versiya nəzarətindən istifadə edərək bütün yeniləmələri izləyirik. Xüsusiyyətlər tələb oluna və səhvlər GitHub-da bildirilə bilər.
Stay up to date!,Güncəl qalın!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Twitter @OpenSpecy-də bizi izləyin. Poçt siyahısına əlavə etmək üçün wincowger@gmail.com ünvanına e-poçt göndərin.
Citation,Sitat
Useful Links,Faydalı Linklər
Free FTIR Software: siMPle microplastic IR spectral identification software,Pulsuz FTIR Proqramı: sadə mikroplastik IR spektral identifikasiya proqramı
Free Spectroscopy Learning Academy from ThermoFisher,ThermoFisher-dən Pulsuz Spektroskopiya Öyrənmə Akademiyası
Free Optical Microscopy Learning Resource from Florida State University,Florida Dövlət Universitetindən Pulsuz Optik Mikroskopiya Tədris Resursu
Free desktop application for spectral analysis and links to reference databases.,Spektral analiz və istinad verilənlər bazalarına keçidlər üçün pulsuz iş masası proqramı.
Terms And Conditions,Şərtlər və Qaydalar
Privacy Policy,Gizlilik Siyasəti
Upload File,Fayl Yüklə
"Upload, View, and Share Spectra","Spectraları yükləyin, baxın və paylaşın"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",".csv (üstünlük verilir), .asp, .jdx, .spc, .spa və ya .0 Faylı seçin"
Share Your Data?,Datanızı Paylaşın?
Share Help,Yardım paylaşın
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","İstəyirsinizsə, yüklədiyiniz spektrləri və parametrlərinizi spektroskopiya icması ilə paylaşırıq.
           Defolt olaraq, bütün məlumatlar Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) əsasında lisenziyalaşdırılacaq.
           Yüklənmiş spektrlər burada görünəcək: https://osf.io/rjg3c"
Upload Help,Kömək yükləyin
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Raman və ya FTIR spektr fayllarını csv, jdx, spc və ya spa kimi yükləyin. csv faylına üstünlük verilir. Əgər csv varsa, faylda (1/sm) vahidlərdə ""dalğa nömrəsi"" etiketli bir sütun və udma vahidlərində ""intensivlik"" etiketli digər sütun olmalıdır.
            jdx, spc, spa və ya 0 olarsa, fayl dalğa sayı (1/sm) olan tək absorbans spektri olmalıdır. Bu fayllar həmişə mükəmməl işləməyəcək, çünki onları oxumaq çətindir, ona görə də onları başqa proqramda yoxlayın.
            Nümunə Raman spektrini yükləmək üçün ""Sınaq Məlumatı"" düyməsini basın."
Intensity Adjustment,İntensivliyin tənzimlənməsi
None,Heç biri
Transmittance,Keçiricilik
Reflectance,Yansıtma
Intensity Correction Help,İntensivliyin düzəldilməsi üçün yardım
