en,be
About,Аб
Welcome,Сардэчна запрашаем
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Далучайцеся да сотняў даследчыкаў з усяго свету
           свету, якія з'яўляюцца часткай супольнасці Open Specy by
           аналізу, абмену, апрацоўкі і ідэнтыфікацыі
           іх раманаўскія і ВК-спектры. Гэтыя паслугі бясплатныя і з адкрытым зыходным кодам дзякуючы нашым партнёрам:"
Quick Video Tutorial,Хуткае відэа падручнік
Instructions,Інструкцыі
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Коратка: Каб выкарыстоўваць інструмент, загрузіце файл csv, asp, jdx, spc або spa на ўкладку файла загрузкі.
                                  Калі csv, адзін слупок павінен называцца «хвалевая лічба» (у адзінках 1/см), а іншы — «інтэнсіўнасць».
                                  Вы можаце згладзіць свае даныя з дапамогай фільтра SG, выправіць базавую лінію, выкарыстоўваючы паліномны парадак iModPolyFit, і абмежаваць дыяпазон даўжынь хваль для матчу.
                                  Вынік будзе параўноўвацца з унутранай бібліятэкай спектраў рамана або FTIR. 1000 наймацнейшых матчаў разам з вашымі
                                  загружаныя або апрацаваныя даныя будуць прадстаўлены ў інтэрактыўным сюжэце і табліцы. Для больш падрабязнай інфармацыі націсніце кнопку ніжэй
                                  або паглядзіце падрабязнае навучальнае відэа."
Detailed Standard Operating Procedure,Падрабязная стандартная аперацыйная працэдура
Download Open Data,Спампаваць адкрытыя даныя
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Апорныя спектры былі атрыманы з рэсурсаў адкрытага доступу
           онлайн, рэцэнзаваныя публікацыі і карпаратыўныя ахвяраванні. У будучыні
           спектры, якія загружаюцца ў інструмент, будуць уключаны ў спасылку
           бібліятэку, каб зрабіць яе яшчэ лепш."
Raman Reference Library,Даведачная бібліятэка Рамана
FTIR Reference Library,Даведачная бібліятэка FTIR
Raman Reference Library Metadata,Метададзеныя бібліятэкі Рамана
FTIR Reference Library Metadata,Метададзеныя даведачнай бібліятэкі FTIR
Contribute Spectra,Унесці свой уклад Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Каб падзяліцца спектрамі, загрузіце файл на ўкладку загрузкі файлаў. Калі вы выбралі Падзяліцца, копія вашых спектраў будзе адпраўлена ў супольнасць
           Сховішча даных на Open Science Framework. Каб дадаць дадатковыя метададзеныя,
           запоўніце даступныя палі метададзеных і націсніце -Адправіць даныя-. The
           spectra файл, які вы загрузілі разам з вашымі адказамі, будзе скапіраваны
           у падтэчку a -With Metadata- па спасылцы ніжэй. Усе агульныя даныя захоўваюцца
           ліцэнзія Creative Commons Attribution 4.0."
Community Data Warehouse,Сховішча даных супольнасці
Tool Validation,Праверка інструмента
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Усе параметры гэтага інструмента праходзяць праверку, каб пацвердзіць гэта
           інструмент працуе як мага лепш і вызначае лепшы варыянт па змаўчанні
           параметры для выкарыстання. Наша бягучая працэдура праверкі ўключае выпраўленне
           дублююцца запісы ў даведачных бібліятэках, праверка спектраў у
           метададзеныя, якіх няма ў спектральнай бібліятэцы, і забеспячэнне значэння па змаўчанні
           Параметры забяспечваюць больш за 80% дакладнасці ў першым матчы."
Detailed Validation Procedure,Падрабязная працэдура праверкі
"Updates, Feature Requests, and Bug Reports","Абнаўленні, запыты функцый і справаздачы аб памылках"
