en,bg
About,относно
Welcome,Добре дошли
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Присъединете се към стотиците изследователи от цял свят
           света, които са част от общността Open Specy от
           анализиране, споделяне, обработка и идентифициране
           техните Raman и IR спектри. Тези услуги са безплатни и с отворен код благодарение на нашите партньори:"
Quick Video Tutorial,Бърз видео урок
Instructions,Инструкции
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Накратко: За да използвате инструмента, качете csv, asp, jdx, spc или spa файл в раздела за качване на файл.
                                  Ако csv, една колона трябва да бъде наречена 'wavenumber' (в единици от 1/cm), а друга - 'intensity'.
                                  Можете да изгладите данните си с помощта на SG филтър, да коригирате базовата линия, като използвате полиномния ред на iModPolyFit, и да ограничите диапазона на дължината на вълната за съвпадението.
                                  Резултатът ще бъде сравнен с вътрешна библиотека за Raman или FTIR спектри. Най-силните 1000 мача заедно с вашия
                                  качените или обработени данни ще бъдат представени в интерактивен график и таблица. За повече подробности щракнете върху бутона по-долу
                                  или гледайте подробното видео с инструкции."
Detailed Standard Operating Procedure,Подробна стандартна оперативна процедура
Download Open Data,Изтеглете Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Референтните спектри са получени от ресурси с отворен достъп
           онлайн, рецензирани публикации и корпоративни дарения. В бъдеще
           спектрите, които са качени в инструмента, ще бъдат включени в препратката
           библиотека, за да стане още по-добра."
Raman Reference Library,Референтна библиотека на Раман
