en,bn
About,সম্পর্কিত
Welcome,স্বাগত
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","আশেপাশের শত শত গবেষকদের সাথে যোগ দিন
           বিশ্বের যারা ওপেন স্পেসিস সম্প্রদায়ের অংশ
           বিশ্লেষণ, ভাগ, প্রক্রিয়াকরণ, এবং সনাক্তকরণ
           তাদের রমন এবং আইআর স্পেকট্রা। এই পরিষেবাগুলি বিনামূল্যে এবং ওপেন সোর্স আমাদের অংশীদারদের ধন্যবাদ:"
Quick Video Tutorial,দ্রুত ভিডিও টিউটোরিয়াল
Instructions,নির্দেশনা
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","সংক্ষেপে: টুলটি ব্যবহার করতে একটি csv, asp, jdx, spc, বা spa ফাইল আপলোড ফাইল ট্যাবে আপলোড করুন।
                                  csv হলে, একটি কলামের নাম দেওয়া উচিত 'ওয়েভেনম্বার' (1/সেমি ইউনিটে) এবং অন্যটির নাম 'তীব্রতা'।
                                  আপনি একটি SG ফিল্টার ব্যবহার করে আপনার ডেটা মসৃণ করতে পারেন, iModPolyFit-এর বহুপদী ক্রম ব্যবহার করে আপনার ডেটা বেসলাইন সংশোধন করতে পারেন এবং ম্যাচের জন্য তরঙ্গদৈর্ঘ্য পরিসীমা সীমাবদ্ধ করতে পারেন।
                                  ফলাফলটি একটি অভ্যন্তরীণ রমন বা FTIR স্পেকট্রা লাইব্রেরির সাথে তুলনা করা হবে। আপনার সাথে সবচেয়ে শক্তিশালী 1000টি ম্যাচ
                                  আপলোড করা বা প্রক্রিয়াকৃত ডেটা একটি ইন্টারেক্টিভ প্লট এবং টেবিলে উপস্থাপন করা হবে। আরও বিস্তারিত জানার জন্য নীচের বোতামে ক্লিক করুন
                                  অথবা বিস্তারিত নির্দেশমূলক ভিডিও দেখুন।"
Detailed Standard Operating Procedure,বিস্তারিত স্ট্যান্ডার্ড অপারেটিং পদ্ধতি
Download Open Data,ওপেন ডেটা ডাউনলোড করুন
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","রেফারেন্স স্পেকট্রা ওপেন এক্সেস রিসোর্স থেকে উৎসারিত হয়েছিল
           অনলাইন, সহকর্মী পর্যালোচনা করা প্রকাশনা এবং কর্পোরেট অনুদান। ভবিষ্যতে
           টুলে আপলোড করা স্পেকট্রাকে রেফারেন্সে একত্রিত করা হবে
           লাইব্রেরি আরও ভালো করতে।"
Raman Reference Library,রমন রেফারেন্স লাইব্রেরি
FTIR Reference Library,FTIR রেফারেন্স লাইব্রেরি
Raman Reference Library Metadata,রামন রেফারেন্স লাইব্রেরি মেটাডেটা
FTIR Reference Library Metadata,FTIR রেফারেন্স লাইব্রেরি মেটাডেটা
Contribute Spectra,স্পেকট্রা অবদান
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","স্পেকট্রা শেয়ার করতে আপলোড ফাইল ট্যাবে একটি ফাইল আপলোড করুন। আপনি শেয়ার নির্বাচন করলে আপনার স্পেকট্রার একটি কপি কমিউনিটিতে পাঠানো হবে
           ওপেন সায়েন্স ফ্রেমওয়ার্কের উপর ডেটা গুদাম। অতিরিক্ত মেটাডেটা যোগ করতে,
           প্রাপ্য মেটাডেটা ক্ষেত্রগুলি পূরণ করুন এবং -শেয়ার ডেটা- ক্লিক করুন৷ দ্য
           আপনার প্রতিক্রিয়া সহ আপনি যে স্পেকট্রা ফাইলটি আপলোড করেছেন তা অনুলিপি করা হবে
           নীচের লিঙ্কে একটি -মেটাডেটা-সহ সাবফোল্ডারে। সমস্ত ভাগ করা ডেটা ধারণ করে
           একটি ক্রিয়েটিভ কমন্স অ্যাট্রিবিউশন লাইসেন্স 4.0।"
Community Data Warehouse,কমিউনিটি ডেটা গুদাম
Tool Validation,টুল বৈধতা
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","এই টুলের সমস্ত পরামিতি যাচাই করার জন্য পরীক্ষা করা হয়
           টুলটি যথাসম্ভব সেরা কাজ করছে এবং সেরা ডিফল্ট নির্ধারণ করছে
           ব্যবহার করার পরামিতি। আমাদের বর্তমান বৈধতা পদ্ধতি সংশোধন অন্তর্ভুক্ত
           রেফারেন্স লাইব্রেরিতে ডুপ্লিকেট এন্ট্রি, স্পেকট্রা ইনের জন্য পরীক্ষা করা
           মেটাডেটা যা বর্ণালী লাইব্রেরিতে নেই, এবং ডিফল্ট নিশ্চিত করে
           পরামিতি প্রথম ম্যাচে 80% নির্ভুলতা প্রদান করে।"
Detailed Validation Procedure,বিস্তারিত বৈধকরণ পদ্ধতি
"Updates, Feature Requests, and Bug Reports","আপডেট, বৈশিষ্ট্য অনুরোধ, এবং বাগ রিপোর্ট"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,আমরা আমাদের কোডে সংস্করণ নিয়ন্ত্রণ ব্যবহার করে সমস্ত আপডেটের ট্র্যাক রাখি। বৈশিষ্ট্যগুলি অনুরোধ করা যেতে পারে এবং গিটহাবে বাগ রিপোর্ট করা যেতে পারে।
Stay up to date!,আধুনিক থাকো!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,টুইটার @OpenSpecy-এ আমাদের অনুসরণ করুন। মেইলিং লিস্টে যুক্ত করতে wincowger@gmail.com ই-মেইল করুন।
Citation,উদ্ধৃতি
Useful Links,উপকারী সংজুক
Free FTIR Software: siMPle microplastic IR spectral identification software,বিনামূল্যে FTIR সফ্টওয়্যার: সিম্পল মাইক্রোপ্লাস্টিক আইআর বর্ণালী সনাক্তকরণ সফ্টওয়্যার
Free Spectroscopy Learning Academy from ThermoFisher,থার্মোফিশার থেকে বিনামূল্যে স্পেকট্রোস্কোপি লার্নিং একাডেমি
