en,bs
About,O
Welcome,Dobrodošli
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Pridružite se stotinama istraživača iz cijelog svijeta
           svijeta koji su dio zajednice Open Specy by
           analiziranje, dijeljenje, obrada i identifikacija
           njihov Raman i IR spektar. Ove usluge su besplatne i otvorenog koda zahvaljujući našim partnerima:"
Quick Video Tutorial,Brzi video vodič
Instructions,Instrukcije
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Ukratko: Da biste koristili alat, prenesite csv, asp, jdx, spc ili spa datoteku na karticu za otpremanje.
                                  Ako je csv, jedna kolona bi trebala biti nazvana 'talasni broj' (u jedinicama od 1/cm), a druga 'intenzitet'.
                                  Možete izgladiti svoje podatke pomoću SG filtera, ispraviti osnovne podatke koristeći polinomski red iModPolyFit i ograničiti raspon talasnih dužina za podudaranje.
                                  Rezultat će se uporediti sa internom bibliotekom Raman ili FTIR spektra. Najjačih 1000 utakmica zajedno sa vašim
                                  učitani ili obrađeni podaci će biti predstavljeni u interaktivnom prikazu i tabeli. Za više detalja kliknite na dugme ispod
                                  ili pogledajte video s detaljnim uputama."
Detailed Standard Operating Procedure,Detaljna standardna operativna procedura
Download Open Data,Preuzmite Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Referentni spektri su dobijeni iz izvora otvorenog pristupa
           online, recenzirane publikacije i korporativne donacije. U budućnosti
           spektri koji su učitani u alat će biti uključeni u referencu
           biblioteku da bude još bolje."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,FTIR referentna biblioteka
Raman Reference Library Metadata,Metapodaci Ramanove referentne biblioteke
FTIR Reference Library Metadata,Metapodaci FTIR referentne biblioteke
Contribute Spectra,Doprinesite Spectri
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Za dijeljenje spektra prenesite datoteku na karticu za otpremanje. Ako odaberete Podijeli, kopija vaših spektra će biti poslana zajednici
           Skladište podataka na Open Science Framework. Da dodate dodatne metapodatke,
           popunite dostupna polja metapodataka i kliknite na -Share Data-. The
           spectra fajl koji ste otpremili zajedno sa svojim odgovorima će biti kopiran
           u podmapu a -With Metadata- na linku ispod. Čuvaju se svi zajednički podaci
           a Creative Commons Attribution License 4.0."
Community Data Warehouse,Community Data Warehouse
Tool Validation,Validacija alata
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Svi parametri u ovom alatu su testirani kako bi se to potvrdilo
           alat radi najbolje moguće i odredi najbolju zadanu vrijednost
           parametre koje treba koristiti. Naš trenutni postupak validacije uključuje ispravljanje
           duplirani unosi u referentnim bibliotekama, provjeravanje spektra
           metapodatke koji se ne nalaze u spektralnoj biblioteci i osiguravaju zadanu vrijednost
           parametri daju preko 80% tačnosti u prvom meču."
Detailed Validation Procedure,Detaljna procedura validacije
"Updates, Feature Requests, and Bug Reports","Ažuriranja, zahtjevi za značajkama i izvještaji o greškama"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Pratimo sva ažuriranja koristeći kontrolu verzija našeg koda. Funkcije se mogu zatražiti i prijaviti greške na GitHubu.
Stay up to date!,Budite u toku!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Pratite nas na Twitteru @OpenSpecy. Pošaljite e-poštu wincowger@gmail.com da budete dodani na mailing listu.
Citation,Citiranje
Useful Links,Korisni linkovi
Free FTIR Software: siMPle microplastic IR spectral identification software,Besplatni FTIR softver: jednostavan softver za IC spektralnu identifikaciju mikroplastike
Free Spectroscopy Learning Academy from ThermoFisher,Besplatna akademija za učenje spektroskopije od ThermoFisher-a
Free Optical Microscopy Learning Resource from Florida State University,Besplatni resursi za učenje optičke mikroskopije sa Državnog univerziteta Floride
Free desktop application for spectral analysis and links to reference databases.,Besplatna desktop aplikacija za spektralnu analizu i veze do referentnih baza podataka.
Terms And Conditions,Odredbe i uslovi
Privacy Policy,Politika privatnosti
Upload File,Upload File
"Upload, View, and Share Spectra","Upload, View i Share Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Odaberite .csv (poželjno), .asp, .jdx, .spc, .spa ili .0 datoteku"
Share Your Data?,Podijelite svoje podatke?
Share Help,Podijelite pomoć
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Ako želite, dijelimo vaše otpremljene spektre i postavke sa zajednicom spektroskopije.
           Podrazumevano, svi podaci će biti licencirani pod Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Učitani spektri će se pojaviti ovdje: https://osf.io/rjg3c"
Upload Help,Upload Help
