en,co
About,À propositu
Welcome,Benvenuti
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Unisci à e centinaie di circadori da u circondu
           u mondu chì sò parti di a cumunità Open Specy da
           analizà, spartera, trasfurmà è identificà
           i so spettri Raman è IR. Questi servizii sò gratuiti è open source grazia à i nostri partenarii:"
Quick Video Tutorial,Tutorial Video Rapidu
Instructions,Istruzzioni
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","In breve: Per utilizà l'uttellu, caricate un schedariu csv, asp, jdx, spc, o spa in a tabulazione di carica.
                                  Se csv, una colonna deve esse chjamata ""number d'onda"" (in unità di 1/cm) è una altra chjamata ""intensità"".
                                  Pudete liscia i vostri dati utilizendu un filtru SG, curreghje i vostri dati di basa cù l'ordine polinomiale di iModPolyFit, è restringe a gamma di lunghezza d'onda per a partita.
                                  U risultatu serà paragunatu à una biblioteca interna di spettri Raman o FTIR. I più forti 1000 partite cù u vostru
                                  I dati caricati o processati seranu presentati in una trama interattiva è tavula. Per più dettagli cliccate u buttone sottu
                                  o fighjate u video istruttivu detallatu."
Detailed Standard Operating Procedure,Prucedura Operativa Standard dettagliata
Download Open Data,Scaricate Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","I spettri di riferimentu sò stati acquistati da risorse d'accessu apertu
           publicazioni in linea, peer reviewed, è donazioni corporative. In u futuru
           I spettri chì sò caricati à l'uttellu seranu incorporati à a riferenza
           biblioteca per fà ancu megliu."
Raman Reference Library,Biblioteca di riferimentu Raman
FTIR Reference Library,Biblioteca di riferimentu FTIR
Raman Reference Library Metadata,Metadati di Biblioteca di Riferimentu Raman
FTIR Reference Library Metadata,Metadati di a Biblioteca di Riferimentu FTIR
Contribute Spectra,Cuntribuisce Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Per sparte spettri, caricate un schedariu à a tabulazione di u schedariu di carica. Sè avete sceltu Share una copia di i vostri spettri serà mandatu à a Cumunità
           Data Warehouse nantu à Open Science Framework. Per aghjunghje metadati supplementari,
           compie i campi di metadati dispunibili è cliccate -Share Data-. U
           u schedariu spettru chì avete caricatu cù e vostre risposte serà copiatu
           à a -With Metadata- subfolder à u ligame sottu. Tutti i dati spartuti cuntenenu
           una Licenza di Attribuzione Creative Commons 4.0."
Community Data Warehouse,Magazzinu di Dati Comunitariu
Tool Validation,Validazione di u strumentu
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Tutti i paràmetri in questu strumentu sò pruvati per cunvalidà quellu
           l'uttellu funziona u megliu pussibule è determina u megliu predeterminatu
           paràmetri à aduprà. A nostra prucedura di validazione attuale include a correzione
           voci duplicate in e biblioteche di riferimentu, cuntrollà per spettri in
           metadati chì ùn sò micca in a biblioteca spettrale, è assicurendu u predeterminatu
           i paràmetri furnisce più di 80% di precisione in u primu partitu."
Detailed Validation Procedure,Prucedura di Validazione Dettagliata
"Updates, Feature Requests, and Bug Reports","Aghjurnamenti, Richieste di Funzioni, è Rapporti di Bug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Tenemu traccia di tutte l'aghjurnamenti utilizendu u cuntrollu di versione nantu à u nostru codice. E funzioni ponu esse dumandate è bug signalatu in GitHub.
Stay up to date!,Siate à ghjornu !
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Seguici in Twitter @OpenSpecy. E-mail wincowger@gmail.com per esse aghjuntu à a lista di mailing.
Citation,Citazione
Useful Links,Ligami utili
Free FTIR Software: siMPle microplastic IR spectral identification software,Software FTIR gratuitu: software d'identificazione spettrale IR microplastica simplice
Free Spectroscopy Learning Academy from ThermoFisher,Accademia di Apprendimentu di Spettroscopia Gratuita da ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Risorsa di Apprendimentu di Microscopia Ottica Gratuita da l'Università Statale di Florida
Free desktop application for spectral analysis and links to reference databases.,Applicazione desktop gratuita per analisi spettrali è ligami à basa di dati di riferimentu.
Terms And Conditions,Termini è Cundizioni
Privacy Policy,Pulitica di privacy
Upload File,Caricà u File
"Upload, View, and Share Spectra","Caricate, vede è sparte Spectra"
