en,cs
About,O
Welcome,Vítejte
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Připojte se ke stovkám výzkumníků z celého okolí
           svět, kteří jsou součástí komunity Open Specy
           analýzu, sdílení, zpracování a identifikaci
           jejich Ramanova a IR spektra. Tyto služby jsou bezplatné a open source díky našim partnerům:"
Quick Video Tutorial,Rychlý videonávod
Instructions,Instrukce
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Stručně: Chcete-li použít nástroj, nahrajte soubor csv, asp, jdx, spc nebo spa na kartu pro nahrání souboru.
                                  Je-li csv, jeden sloupec by měl být pojmenován 'číslo vlny' (v jednotkách 1/cm) a druhý 'intenzita'.
                                  Svá data můžete vyhladit pomocí filtru SG, opravit svá data pomocí polynomiálního pořadí iModPolyFit a omezit rozsah vlnových délek pro shodu.
                                  Výsledek bude porovnán s interní knihovnou Ramanových nebo FTIR spekter. Nejsilnějších 1000 zápasů spolu s vaším
                                  nahraná nebo zpracovaná data budou prezentována v interaktivním grafu a tabulce. Pro více podrobností klikněte na tlačítko níže
                                  nebo se podívejte na podrobné instruktážní video."
Detailed Standard Operating Procedure,Podrobný standardní operační postup
Download Open Data,Stáhněte si Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Referenční spektra byla získána ze zdrojů s otevřeným přístupem
           online, recenzované publikace a firemní dary. V budoucnu
           spektra nahraná do nástroje budou začleněna do reference
           knihovna, aby to bylo ještě lepší."
Raman Reference Library,Ramanova referenční knihovna
FTIR Reference Library,Referenční knihovna FTIR
Raman Reference Library Metadata,Metadata Ramanovy referenční knihovny
FTIR Reference Library Metadata,Metadata referenční knihovny FTIR
Contribute Spectra,Přispějte Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Pro sdílení spekter nahrajte soubor na záložku upload file. Pokud jste vybrali Sdílet, bude kopie vašich spekter odeslána do komunity
           Datový sklad na Open Science Framework. Chcete-li přidat další metadata,
           vyplňte dostupná pole metadat a klikněte na -Sdílet data-. The
           spectra soubor, který jste nahráli spolu s vašimi odpověďmi, bude zkopírován
           do podsložky -With Metadata- na odkazu níže. Všechna sdílená data uchovává
           Creative Commons Attribution License 4.0."
Community Data Warehouse,Komunitní datový sklad
Tool Validation,Validace nástroje
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Všechny parametry v tomto nástroji jsou testovány, aby se to potvrdilo
           nástroj funguje co nejlépe a určete nejlepší výchozí nastavení
           parametry k použití. Náš aktuální postup ověřování zahrnuje opravy
           duplicitní záznamy v referenčních knihovnách, kontrola spekter
           metadata, která nejsou ve spektrální knihovně, a zajištění výchozího nastavení
           parametry poskytují více než 80% přesnost v první shodě."
Detailed Validation Procedure,Podrobný postup ověření
"Updates, Feature Requests, and Bug Reports","Aktualizace, požadavky na funkce a hlášení chyb"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Sledujeme všechny aktualizace pomocí správy verzí našeho kódu. Funkce lze vyžádat a nahlásit chybu na GitHubu.
Stay up to date!,Zůstaň aktualní!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Sledujte nás na Twitteru @OpenSpecy. E-mail wincowger@gmail.com pro přidání do seznamu adresátů.
Citation,Citace
Useful Links,užitečné odkazy
Free FTIR Software: siMPle microplastic IR spectral identification software,Volný software FTIR: jednoduchý mikroplastový IR spektrální identifikační software
Free Spectroscopy Learning Academy from ThermoFisher,Bezplatná výuková akademie spektroskopie od ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Bezplatný zdroj výuky optické mikroskopie od Florida State University
Free desktop application for spectral analysis and links to reference databases.,Bezplatná desktopová aplikace pro spektrální analýzu a odkazy na referenční databáze.
Terms And Conditions,Pravidla a podmínky
Privacy Policy,Zásady ochrany osobních údajů
Upload File,Nahrát soubor
"Upload, View, and Share Spectra","Nahrávejte, zobrazujte a sdílejte spektrum"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Vyberte soubor .csv (preferováno), .asp, .jdx, .spc, .spa nebo .0"
Share Your Data?,Sdílet svá data?
Share Help,Sdílejte nápovědu
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Pokud chcete, sdílíme vaše nahraná spektra a nastavení s komunitou spektroskopů.
           Ve výchozím nastavení budou všechna data podléhat licenci Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Nahraná spektra se objeví zde: https://osf.io/rjg3c"
Upload Help,Nahrát nápovědu
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Nahrajte soubory spektra Raman nebo FTIR jako csv, jdx, spc nebo spa. Preferován je soubor csv. Pokud jde o csv, soubor musí obsahovat jeden sloupec označený „vlnové číslo“ v jednotkách (1/cm) a další sloupec označený „intenzita“ v jednotkách absorbance.
            Pokud je jdx, spc, spa nebo 0, soubor by měl být jediným absorbančním spektrem s vlnovým číslem v (1/cm). Tyto soubory nebudou vždy fungovat dokonale, protože je obtížné je přečíst, proto je znovu zkontrolujte v jiném softwaru.
            Klepnutím na tlačítko 'Test Data' stáhněte ukázkové Ramanovo spektrum."
Intensity Adjustment,Nastavení intenzity
None,Žádný
Transmittance,Propustnost
Reflectance,Odrazivost
Intensity Correction Help,Nápověda pro korekci intenzity
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Pokud nahrané spektrum není v jednotkách absorbance,
           použijte tento vstup k určení jednotek, které se mají převést. Open Specy může
           upravit spektra odrazivosti nebo propustnosti na jednotky absorbance pomocí
           tento rozevírací seznam na kartě nahrát soubor. Všechny předchozí karty
           předpokládejte, že data jsou v jednotkách absorbance, takže byste měli provést
           oprava, než budete v případě potřeby pokračovat. Nastavení propustnosti
           používá výpočet log10(1/T), který není pro systém správný
           a vlastnosti částic. Úprava odrazivosti využívá
           Kubelka-Munk rovnice (1-R)2/(2*R). Předpokládáme, že odrazivost
           je formátován jako procento od 1 do 100 a nejprve opravte intenzitu vydělením 100
           tak, aby odpovídal tvaru očekávanému rovnicí.
           Pokud není vybráno žádné, Open Specy předpokládá, že nahraná data jsou
           absorbanční spektrum."
Sample File,Ukázkový soubor
Sample Data Help,Nápověda k ukázkovým datům
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Toto je ukázkové spektrum, které lze nahrát do nástroje, abyste jej otestovali a pochopili, jak by měly být formátovány soubory csv."
Metadata Input,Vstup metadat
Metadata Help,Nápověda k metadatům
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Všechna nahraná spektra a metadata sdílíme se spektroskopickou komunitou, pokud zde vyplníte metadata a zvolíte sdílení.
           Nahraná spektra a metadata se objeví zde: https://osf.io/rjg3c"
Share Metadata,Sdílet metadata
Upload some data to get started...,Začněte nahráním dat...
Preprocess Spectrum,Předzpracování spektra
"Smooth, Baseline Correct, and Download Processed Spectra","Hladké, základní správné a stahování zpracovaných spekter"
Download (recommended),Stáhnout (doporučeno)
Download Help,Stáhněte si nápovědu
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Někteří uživatelé mohou chtít uložit kopii svého zpracovaného spektra. Toto tlačítko stáhne zpracované spektrum jako soubor csv.
Smoothing,Vyhlazování
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Tento vyhlazovač může zlepšit poměr signálu k šumu dat a používá Savitzky-Golayův filtr s 12 běžícími datovými body a specifikovaným polynomem.
Smoothing Polynomial,Vyhlazující polynom
Baseline Correction,Korekce základní linie
Baseline Correction Help,Nápověda k opravě základní linie
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Tato rutina korekce základní linie má dvě možnosti pro korekci základní linie, 1) proceduru polynomiálního imodpolyfitu pro iterativní nalezení základní linie spektra pomocí polynomiálního přizpůsobení celé oblasti spektra. 2) ruční čáry lze nakreslit pomocí nástroje čára na výkresu a správné tlačítko použije čáry k odečtení základní čáry."
Baseline Correction Polynomial,Základní korekční polynom
Technique,Technika
Polynomial,Polynom
Manual,Manuál
Correct With Trace,Opravit se stopou
Reset,Resetovat
Range Selection,Výběr rozsahu
Spectral Range Help,Nápověda ke spektrálnímu rozsahu
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"Omezení spektrálního rozsahu může odstranit oblasti spektra, kde neexistují žádné píky, a zlepšit shodu"
Maximum Spectral Range,Maximální spektrální rozsah
Minimum Spectral Range,Minimální spektrální rozsah
Identify Spectrum,Identifikujte spektrum
Identify Spectrum Using the Reference Library,Identifikujte spektrum pomocí referenční knihovny
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Typ
Spectrum Type Help,Nápověda k typu spektra
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Tento výběr určí, zda se použije FTIR nebo Ramanova odpovídající knihovna. Vyberte typ spektra, který byl nahrán."
Analysis,Analýza
Processed,Zpracováno
Uploaded,Nahráno
Spectrum to Analyze Help,Nápověda ke spektru k analýze
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Tento výběr určí, zda se při shodě spektra použije nahrané (nezpracované) spektrum nebo spektrum zpracované pomocí karty zpracování."
Region,Kraj
Full,Plný
Peaks,Vrcholy
Region to Match Help,"Nápověda k oblasti, která se má shodovat"
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Tento výběr určí, zda se knihovna, ke které odpovídáte, skládá z celého spektra nebo pouze vrcholů spektra."
Partner With Us,Partner s námi
Help us reach our goal of revolutionizing spectroscopy.,"Pomozte nám dosáhnout našeho cíle, kterým je převrat ve spektroskopii."
Donate Cash,Darujte hotovost
Buy From Swag Store,Koupit v obchodě Swag
Contribute time,Přispějte časem
Revolutionizing,Revoluční
Thriving,Prosperující
Maintaining,Udržování
Supporting,Vedlejší
Saving,Ukládání
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Placený tým, který posouvá Open Specy blíže ke konečnému cíli 100% přesné spektrální identifikace a hluboké spektrální diagnostiky jediným kliknutím"
A single paid staff person working to update and build the community and the tool,Jediný placený zaměstnanec pracující na aktualizaci a budování komunity a nástroje
Maintenance costs and minor ad-hoc updates and bug fixes,Náklady na údržbu a drobné ad-hoc aktualizace a opravy chyb
Keeping the app online and essential maintenance,Udržování aplikace online a nezbytná údržba
Long term storage only,Pouze dlouhodobé skladování
