en,cy
About,Am
Welcome,Croeso
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Ymunwch â'r cannoedd o ymchwilwyr o bob man
           y byd sy'n rhan o'r gymuned Open Specy gan
           dadansoddi, rhannu, prosesu ac adnabod
           eu sbectra Raman ac IR. Mae'r gwasanaethau hyn yn rhad ac am ddim ac yn ffynhonnell agored diolch i'n partneriaid:"
Quick Video Tutorial,Tiwtorial Fideo Cyflym
Instructions,Cyfarwyddiadau
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Yn gryno: I ddefnyddio'r offeryn, uwchlwythwch ffeil csv, asp, jdx, spc, neu sba i'r tab ffeil uwchlwytho.
                                  Os csv, dylid enwi un golofn yn 'wavenumber' (mewn unedau 1 / cm) ac enw arall ar 'ddwyster'.
                                  Gallwch chi lyfnhau'ch data gan ddefnyddio hidlydd SG, gwaelodlin cywiro'ch data gan ddefnyddio trefn polynomial iModPolyFit, a chyfyngu ar yr ystod tonfedd ar gyfer yr ornest.
                                  Bydd y canlyniad yn cael ei gymharu â llyfrgell sbectra Raman neu FTIR fewnol. Y 1000 gêm gryfaf ynghyd â'ch
                                  bydd data wedi'i uwchlwytho neu ei brosesu yn cael ei gyflwyno mewn plot a thabl rhyngweithiol. Am fwy o fanylion cliciwch y botwm isod
                                  neu gwyliwch y fideo cyfarwyddiadau manwl."
Detailed Standard Operating Procedure,Gweithdrefn Weithredu Safonol Fanwl
Download Open Data,Dadlwythwch Ddata Agored
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Cafwyd sbectra cyfeirio o adnoddau mynediad agored
           ar-lein, cyhoeddiadau a adolygir gan gymheiriaid, a rhoddion corfforaethol. Yn y dyfodol
           bydd sbectra sy'n cael ei lanlwytho i'r offeryn yn cael ei ymgorffori yn y cyfeirnod
           llyfrgell i'w gwneud hyd yn oed yn well."
Raman Reference Library,Llyfrgell Gyfeirio Raman
