en,da
About,Om
Welcome,Velkommen
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Slut dig til de hundredvis af forskere fra omkring
           verden, der er en del af Open Specy-fællesskabet af
           analysere, dele, bearbejde og identificere
           deres Raman- og IR-spektre. Disse tjenester er gratis og open source takket være vores partnere:"
Quick Video Tutorial,Hurtig video tutorial
Instructions,Instruktioner
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Kort fortalt: For at bruge værktøjet upload en csv-, asp-, jdx-, spc- eller spa-fil til fanen upload fil.
                                  Hvis csv, skal én kolonne hedde 'bølgenummer' (i enheder på 1/cm) og en anden navngives 'intensitet'.
                                  Du kan udjævne dine data ved hjælp af et SG-filter, baseline-korrigere dine data ved hjælp af polynomierækkefølgen af iModPolyFit og begrænse bølgelængdeområdet for kampen.
                                  Resultatet vil blive sammenlignet med et internt Raman- eller FTIR-spektrebibliotek. De stærkeste 1000 kampe sammen med din
                                  uploadede eller behandlede data vil blive præsenteret i et interaktivt plot og en tabel. For flere detaljer, klik på knappen nedenfor
                                  eller se den detaljerede instruktionsvideo."
Detailed Standard Operating Procedure,Detaljeret standarddriftsprocedure
Download Open Data,Download åbne data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Referencespektre blev hentet fra open access-ressourcer
           online, peer reviewed publikationer og virksomhedsdonationer. I fremtiden
           spektre, der uploades til værktøjet, vil blive inkorporeret i referencen
           bibliotek for at gøre det endnu bedre."
Raman Reference Library,Raman Referencebibliotek
FTIR Reference Library,FTIR Referencebibliotek
Raman Reference Library Metadata,Raman Reference Library Metadata
FTIR Reference Library Metadata,FTIR Reference Library Metadata
Contribute Spectra,Bidrag med Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","For at dele spektre skal du uploade en fil til fanen upload fil. Hvis du valgte Del, vil en kopi af dine spektre blive sendt til fællesskabet
           Data Warehouse om Open Science Framework. For at tilføje yderligere metadata,
           udfyld de tilgængelige metadatafelter og klik på -Del data-. Det
           spectra-fil, som du har uploadet sammen med dine svar, vil blive kopieret
           til undermappen -Med Metadata- på nedenstående link. Alle delte data opbevares
           en Creative Commons Attribution License 4.0."
Community Data Warehouse,Community Data Warehouse
Tool Validation,Værktøjsvalidering
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Alle parametre i dette værktøj er testet for at validere det
           værktøjet fungerer bedst muligt og bestemmer den bedste standard
           parametre, der skal bruges. Vores nuværende valideringsprocedure omfatter korrektion
           duplikerede poster i referencebibliotekerne, tjekker for spektre i
           metadata, der ikke er i spektralbiblioteket, og sikrer standarden
           parametre giver over 80 % nøjagtighed i det første match."
Detailed Validation Procedure,Detaljeret valideringsprocedure
"Updates, Feature Requests, and Bug Reports","Opdateringer, funktionsanmodninger og fejlrapporter"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Vi holder styr på alle opdateringer ved hjælp af versionskontrol på vores kode. Funktioner kan anmodes om og fejlrapporteres på GitHub.
Stay up to date!,Hold dig opdateret!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Følg os på Twitter @OpenSpecy. E-mail wincowger@gmail.com for at blive tilføjet til mailinglisten.
Citation,Citation
Useful Links,nyttige links
Free FTIR Software: siMPle microplastic IR spectral identification software,Gratis FTIR-software: enkel IR-spektralidentifikationssoftware i mikroplast
Free Spectroscopy Learning Academy from ThermoFisher,Gratis Spectroscopy Learning Academy fra ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Gratis optisk mikroskopi læringsressource fra Florida State University
Free desktop application for spectral analysis and links to reference databases.,Gratis desktopapplikation til spektralanalyse og links til referencedatabaser.
Terms And Conditions,Vilkår og betingelser
Privacy Policy,Fortrolighedspolitik
Upload File,Upload fil
"Upload, View, and Share Spectra","Upload, se og del spektre"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Vælg .csv (foretrukken), .asp, .jdx, .spc, .spa eller .0 fil"
Share Your Data?,Vil du dele dine data?
Share Help,Del hjælp
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Hvis du vil, deler vi dine uploadede spektre og indstillinger med spektroskopi-fællesskabet.
           Som standard vil alle data være licenseret under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploadede spektre vises her: https://osf.io/rjg3c"
Upload Help,Upload hjælp
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Upload Raman- eller FTIR-spektrumfiler som en csv, jdx, spc eller spa. En csv-fil foretrækkes. Hvis en csv, skal filen indeholde en kolonne mærket 'wavenumber' i enheder på (1/cm) og en anden kolonne mærket 'intensitet' i absorbansenheder.
            Hvis jdx, spc, spa eller 0, skal filen være et enkelt absorbansspektrum med bølgetal i (1/cm). Disse filer vil ikke altid fungere perfekt, fordi de er vanskelige at læse, så dobbelttjek dem i en anden software.
            Tryk på 'Test Data'-knappen for at downloade et eksempel på Raman-spektrum."
Intensity Adjustment,Intensitetsjustering
None,Ingen
Transmittance,Transmission
Reflectance,Refleksion
Intensity Correction Help,Hjælp til intensitetskorrektion
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Hvis det uploadede spektrum ikke er i absorbansenheder,
           brug dette input til at angive de enheder, der skal konverteres fra. Open Specy kan
           juster reflektans eller transmittansspektre til Absorbansenheder vha
           denne rullemenu på fanen upload fil. Alle de foregående faner
           antag, at dataene er i absorbansenheder, så du bør lave
           rettelse, før du fortsætter, hvis det er nødvendigt. Transmissionsjusteringen
           bruger log10(1/T)-beregningen, som ikke korrigerer for systemet
           og partikelegenskaber. Refleksionsjusteringen bruger
           Kubelka-Munk-ligning (1-R)2/(2*R). Vi antager, at reflektansen
           er formateret som en procent fra 1-100 og korriger først intensiteten ved at dividere med 100
           så det passer til den form, som ligningen forventer.
           Hvis ingen er valgt, antager Open Specy, at de uploadede data er
           et absorbansspektrum."
Sample File,Eksempel fil
Sample Data Help,Eksempel på datahjælp
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Dette er et eksempelspektrum, der kan uploades til værktøjet for at teste det og forstå, hvordan csv-filerne skal formateres."
Metadata Input,Metadata input
Metadata Help,Metadata Hjælp
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Vi deler alle uploadede spektre og metadata med spektroskopifællesskabet, hvis du udfylder metadataene her og vælger del.
           Uploadede spektre og metadata vises her: https://osf.io/rjg3c"
Share Metadata,Del metadata
Upload some data to get started...,Upload nogle data for at komme i gang...
Preprocess Spectrum,Forbehandlingsspektrum
"Smooth, Baseline Correct, and Download Processed Spectra","Glat, baseline korrekt, og download behandlede spektre"
Download (recommended),Download (anbefales)
Download Help,Download Hjælp
