en,de
About,Etwa
Welcome,Herzlich willkommen
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Schließen Sie sich den Hunderten von Forschern aus der ganzen Welt an
           der Welt, die Teil der Open-Specy-Community sind von
           analysieren, teilen, verarbeiten und identifizieren
           ihre Raman- und IR-Spektren. Diese Dienste sind dank unserer Partner kostenlos und Open Source:"
Quick Video Tutorial,Schnelles Video-Tutorial
Instructions,Anweisungen
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","In Kürze: Um das Tool zu verwenden, laden Sie eine csv-, asp-, jdx-, spc- oder spa-Datei auf die Registerkarte Datei hochladen hoch.
                                  Bei csv sollte eine Spalte „Wellenzahl“ (in Einheiten von 1/cm) und eine andere „Intensität“ heißen.
                                  Sie können Ihre Daten mit einem SG-Filter glätten, Ihre Daten mit der polynomischen Ordnung von iModPolyFit Basislinienkorrektur durchführen und den Wellenlängenbereich für die Übereinstimmung einschränken.
                                  Das Ergebnis wird mit einer internen Raman- oder FTIR-Spektrenbibliothek verglichen. Die stärksten 1000 Matches zusammen mit deinem
                                  hochgeladene oder verarbeitete Daten werden in einem interaktiven Diagramm und einer Tabelle dargestellt. Für weitere Details klicken Sie auf die Schaltfläche unten
                                  oder sehen Sie sich das ausführliche Anleitungsvideo an."
Detailed Standard Operating Procedure,Detaillierte Standardarbeitsanweisungen
Download Open Data,Offene Daten herunterladen
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Referenzspektren wurden aus Open-Access-Ressourcen bezogen
           Online, Peer-Review-Publikationen und Unternehmensspenden. In der Zukunft
           Spektren, die in das Tool hochgeladen werden, werden in die Referenz aufgenommen
           Bibliothek, um es noch besser zu machen."
Raman Reference Library,Raman-Referenzbibliothek
