en,el
About,Σχετικά με
Welcome,καλως ΗΡΘΑΤΕ
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Γίνετε μέλος των εκατοντάδων ερευνητών από γύρω
           τον κόσμο που είναι μέρος της κοινότητας Open Specy από
           ανάλυση, κοινή χρήση, επεξεργασία και ταυτοποίηση
           τα φάσματα Raman και IR τους. Αυτές οι υπηρεσίες είναι δωρεάν και ανοιχτού κώδικα χάρη στους συνεργάτες μας:"
Quick Video Tutorial,Γρήγορο εκπαιδευτικό βίντεο
Instructions,Οδηγίες
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Συνοπτικά: Για να χρησιμοποιήσετε το εργαλείο μεταφορτώστε ένα αρχείο csv, asp, jdx, spc ή spa στην καρτέλα του αρχείου μεταφόρτωσης.
                                  Εάν csv, μια στήλη θα πρέπει να ονομάζεται 'wavennumber' (σε μονάδες 1/cm) και μια άλλη με το όνομα 'intensity'.
                                  Μπορείτε να εξομαλύνετε τα δεδομένα σας χρησιμοποιώντας ένα φίλτρο SG, τη γραμμή βάσης να διορθώσετε τα δεδομένα σας χρησιμοποιώντας την πολυωνυμική σειρά του iModPolyFit και να περιορίσετε το εύρος μήκους κύματος για την αντιστοίχιση.
                                  Το αποτέλεσμα θα συγκριθεί με μια εσωτερική βιβλιοθήκη φασμάτων Raman ή FTIR. Οι πιο δυνατοί 1000 αγώνες μαζί με το δικό σας
                                  Τα μεταφορτωμένα ή επεξεργασμένα δεδομένα θα παρουσιαστούν σε διαδραστική γραφική παράσταση και πίνακα. Για περισσότερες λεπτομέρειες κάντε κλικ στο κουμπί παρακάτω
                                  ή δείτε το αναλυτικό εκπαιδευτικό βίντεο."
Detailed Standard Operating Procedure,Λεπτομερής Τυπική Διαδικασία Λειτουργίας
Download Open Data,Λήψη Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Τα φάσματα αναφοράς προέρχονται από πόρους ανοιχτής πρόσβασης
           διαδικτυακά, δημοσιεύσεις με αξιολόγηση από ομοτίμους και εταιρικές δωρεές. Στο μέλλον
           Τα φάσματα που αποστέλλονται στο εργαλείο θα ενσωματωθούν στην αναφορά
           βιβλιοθήκη για να το κάνουμε ακόμα καλύτερο."
Raman Reference Library,Βιβλιοθήκη Αναφοράς Raman
FTIR Reference Library,Βιβλιοθήκη Αναφοράς FTIR
Raman Reference Library Metadata,Raman Reference Library Metadata
FTIR Reference Library Metadata,Μεταδεδομένα βιβλιοθήκης αναφοράς FTIR
Contribute Spectra,Συνεισφέρετε στο Spectra
