en,eo
About,Pri
Welcome,Bonvenon
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Aliĝu al la centoj da esploristoj de ĉirkaŭe
           la mondo kiuj estas parto de la Open Specy-komunumo de
           analizi, kundividi, prilabori kaj identigi
           iliaj Raman kaj IR-spektroj. Ĉi tiuj servoj estas senpagaj kaj malfermfonte danke al niaj partneroj:"
Quick Video Tutorial,Rapida Video Lernilo
Instructions,Instrukcioj
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Mallonge: Por uzi la ilon alŝutu dosieron csv, asp, jdx, spc aŭ spa al la langeto de alŝuta dosiero.
                                  Se csv, unu kolumno devus esti nomita 'ondonombro' (en unuoj de 1/cm) kaj alia nomita 'intenseco'.
                                  Vi povas glatigi viajn datumojn per SG-filtrilo, bazlinio korekti viajn datumojn per la polinoma ordo de iModPolyFit, kaj limigi la ondolongan gamon por la matĉo.
                                  La rezulto estos komparita kun interna Raman aŭ FTIR-spektra biblioteko. La plej fortaj 1000 matĉoj kune kun via
                                  alŝutitaj aŭ prilaboritaj datumoj estos prezentitaj en interaga intrigo kaj tabelo. Por pliaj detaloj alklaku la suban butonon
                                  aŭ spektu la detalan instruan videon."
Detailed Standard Operating Procedure,Detala Norma Operacia Proceduro
Download Open Data,Elŝutu Malfermajn Datumojn
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Referencaj spektroj estis fontitaj de libera alirresursoj
           enretaj, kunreviziitaj publikaĵoj, kaj kompaniaj donacoj. Estontece
           spektroj kiuj estas alŝutitaj al la ilo estos korpigitaj al la referenco
           biblioteko por fari ĝin eĉ pli bona."
Raman Reference Library,Biblioteko de Referenco Raman
FTIR Reference Library,Biblioteko de Referenco FTIR
Raman Reference Library Metadata,Metadatumoj de Raman Reference Library
FTIR Reference Library Metadata,Metadatumoj de Biblioteko de Referenco de FTIR
Contribute Spectra,Kontribuu Spektrojn
