en,es
About,Acerca de
Welcome,Bienvenidos
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Únase a los cientos de investigadores de todo
           el mundo que forma parte de la comunidad Open Specy por
           analizar, compartir, procesar e identificar
           sus espectros Raman e IR. Estos servicios son gratuitos y de código abierto gracias a nuestros socios:"
Quick Video Tutorial,Tutorial de video rápido
Instructions,Instrucciones
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","En resumen: para usar la herramienta, cargue un archivo csv, asp, jdx, spc o spa en la pestaña de archivo de carga.
                                  Si es csv, una columna debe llamarse 'número de onda' (en unidades de 1 / cm) y otra llamada 'intensidad'.
                                  Puede suavizar sus datos usando un filtro SG, corregir la línea base de sus datos usando el orden polinómico de iModPolyFit y restringir el rango de longitud de onda para la coincidencia.
                                  El resultado se comparará con una biblioteca de espectros Raman o FTIR interna. Los 1000 partidos más fuertes junto con tu
                                  Los datos cargados o procesados se presentarán en un gráfico y una tabla interactivos. Para obtener más detalles, haga clic en el botón de abajo
                                  o mire el video instructivo detallado."
Detailed Standard Operating Procedure,Procedimiento operativo estándar detallado
Download Open Data,Descargar datos abiertos
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Los espectros de referencia se obtuvieron de recursos de acceso abierto
           en línea, publicaciones revisadas por pares y donaciones corporativas. En el futuro
           Los espectros que se cargan en la herramienta se incorporarán a la referencia.
           biblioteca para hacerlo aún mejor."
Raman Reference Library,Biblioteca de referencia Raman
FTIR Reference Library,Biblioteca de referencia FTIR
Raman Reference Library Metadata,Metadatos de la biblioteca de referencia Raman
FTIR Reference Library Metadata,Metadatos de la biblioteca de referencia FTIR
Contribute Spectra,Contribuir espectros
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Para compartir espectros, cargue un archivo en la pestaña Cargar archivo. Si seleccionó Compartir, se enviará una copia de sus espectros a la Comunidad.
           Almacén de datos en el marco de ciencia abierta. Para agregar metadatos adicionales,
           Complete los campos de metadatos disponibles y haga clic en -Compartir datos-. El
           Se copiará el archivo de espectros que cargó junto con sus respuestas.
           a la subcarpeta a -With Metadata- en el enlace de abajo. Todos los datos compartidos se mantienen
           una licencia de atribución Creative Commons 4.0."
Community Data Warehouse,Almacén de datos de la comunidad
Tool Validation,Validación de herramientas
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Todos los parámetros de esta herramienta se prueban para validar que
           la herramienta funciona lo mejor posible y determina el mejor valor predeterminado
           parámetros a utilizar. Nuestro procedimiento de validación actual incluye corregir
           entradas duplicadas en las bibliotecas de referencia, comprobando los espectros en
           metadatos que no están en la biblioteca espectral, y asegurando el valor predeterminado
           Los parámetros proporcionan más del 80% de precisión en la primera coincidencia."
Detailed Validation Procedure,Procedimiento de validación detallado
"Updates, Feature Requests, and Bug Reports","Actualizaciones, solicitudes de funciones e informes de errores"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Realizamos un seguimiento de todas las actualizaciones mediante el control de versiones de nuestro código. Se pueden solicitar funciones e informar de errores en GitHub.
Stay up to date!,¡Estar al día!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Síganos en Twitter @OpenSpecy. Envíe un correo electrónico a wincowger@gmail.com para agregarlo a la lista de correo.
Citation,Citación
Useful Links,Enlaces útiles
Free FTIR Software: siMPle microplastic IR spectral identification software,Software FTIR gratuito: software simple de identificación espectral IR de microplásticos
Free Spectroscopy Learning Academy from ThermoFisher,Academia de aprendizaje de espectroscopia gratuita de ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Recurso gratuito de aprendizaje sobre microscopía óptica de la Universidad Estatal de Florida
Free desktop application for spectral analysis and links to reference databases.,Aplicación de escritorio gratuita para análisis espectral y enlaces a bases de datos de referencia.
Terms And Conditions,Términos y condiciones
Privacy Policy,Política de privacidad
Upload File,Subir archivo
"Upload, View, and Share Spectra","Cargar, ver y compartir espectros"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Elija .csv (preferido), .asp, .jdx, .spc, .spa o .0 Archivo"
Share Your Data?,¿Comparte sus datos?
Share Help,Compartir ayuda
