en,et
About,Umbes
Welcome,Tere tulemast
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Liituge sadade teadlastega kõikjalt
           maailm, kes on osa Open Specy kogukonnast
           analüüsimine, jagamine, töötlemine ja tuvastamine
           nende Ramani ja IR spektrid. Need teenused on tasuta ja avatud lähtekoodiga tänu meie partneritele:"
Quick Video Tutorial,Kiire videoõpetus
Instructions,Juhised
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Lühidalt: tööriista kasutamiseks laadige üleslaadimisfaili vahekaardile üles csv-, asp-, jdx-, spc- või spa-fail.
                                  CSV puhul peaks ühe veeru nimeks olema „lainearv” (ühikutes 1/cm) ja teise nimega „intensiivsus”.
                                  Saate oma andmeid SG-filtri abil siluda, andmeid lähtetaseme korrigeerida, kasutades iModPolyFiti polünoomilist järjestust, ja piirata vaste lainepikkuse vahemikku.
                                  Tulemust võrreldakse sisemise Ramani või FTIR spektriteegiga. 1000 tugevaimat vastet koos teiega
                                  üleslaaditud või töödeldud andmed esitatakse interaktiivsel joonisel ja tabelis. Lisateabe saamiseks klõpsake alloleval nupul
                                  või vaadake üksikasjalikku õppevideot."
Detailed Standard Operating Procedure,Üksikasjalik standardne tööprotseduur
Download Open Data,Laadige alla avatud andmed
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Võrdlusspektrid saadi avatud juurdepääsu ressurssidest
           Internetis, eelretsenseeritud väljaanded ja ettevõtete annetused. Tulevikus
           tööriistale üles laaditud spektrid kaasatakse viitesse
           raamatukogu, et seda veelgi paremaks muuta."
Raman Reference Library,Ramani teatmik
FTIR Reference Library,FTIR teatmik
Raman Reference Library Metadata,Ramani viiteraamatukogu metaandmed
FTIR Reference Library Metadata,FTIR viiteraamatukogu metaandmed
Contribute Spectra,Panusta Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Spektrite jagamiseks laadige fail üles faili üleslaadimise vahekaardile. Kui valisite Jaga, saadetakse teie spektrite koopia kogukonnale
           Andmeladu avatud teadusraamistikus. Täiendavate metaandmete lisamiseks
           täitke saadaolevad metaandmete väljad ja klõpsake nuppu -Jaga andmeid-. The
           spectra fail, mille koos vastustega üles laadisite, kopeeritakse
           alloleval lingil alamkausta -Metaandmetega. Kõik jagatud andmed säilivad
           Creative Commonsi omistamislitsents 4.0."
