en,eu
About,Buruz
Welcome,Ongi etorri
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Batu inguruko ehunka ikerlariekin
           Open Specy komunitatearen parte diren mundua
           aztertzea, partekatzea, prozesatzea eta identifikatzea
           haien Raman eta IR espektroak. Zerbitzu hauek doakoak eta kode irekikoak dira gure bazkideei esker:"
Quick Video Tutorial,Bideo Tutorial Azkarra
Instructions,Argibideak
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Laburbilduz: Tresna erabiltzeko, kargatu csv, asp, jdx, spc edo spa fitxategi bat kargatu fitxategia fitxara.
                                  Csv bada, zutabe bati 'uhin-zenbakia' izendatu behar da (1/cm-ko unitateetan) eta beste bat 'intentsitatea'.
                                  Zure datuak leun ditzakezu SG iragazki bat erabiliz, oinarri-lerroa zure datuak zuzen ditzakezu iModPolyFit-en ordena polinomiala erabiliz eta uhin-luzera mugatu partidarako.
                                  Emaitza barneko Raman edo FTIR espektro liburutegi batekin alderatuko da. 1000 partidarik indartsuenak zurearekin batera
                                  igotako edo prozesatutako datuak grafiko eta taula interaktibo batean aurkeztuko dira. Xehetasun gehiago lortzeko, egin klik beheko botoian
                                  edo ikusi argibide-bideo zehatza."
Detailed Standard Operating Procedure,Funtzionamendu-prozedura estandar xehatua
Download Open Data,Deskargatu Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Erreferentzia-espektroak sarbide irekiko baliabideetatik atera ziren
           sarean, parekideek aztertutako argitalpenak eta enpresen dohaintzak. Etorkizunean
           tresnara kargatzen diren espektroak erreferentzian sartuko dira
           liburutegia are hobea izateko."
Raman Reference Library,Raman Erreferentzia Liburutegia
FTIR Reference Library,FTIR Erreferentzia Liburutegia
Raman Reference Library Metadata,Raman Erreferentzia Liburutegiko Metadatuak
FTIR Reference Library Metadata,FTIR Erreferentzia Liburutegiko Metadatuak
Contribute Spectra,Ekarpena Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Espektroak partekatzeko, kargatu fitxategi bat kargatu fitxategia fitxara. Partekatu hautatu baduzu zure espektroen kopia bat komunitatera bidaliko da
           Data Warehouse on Open Science Framework. Metadatu gehigarriak gehitzeko,
           bete eskuragarri dauden metadatuen eremuak eta egin klik -Partekatu datuak-. The
           Zure erantzunekin batera kargatu duzun espektro fitxategia kopiatuko da
           a -Metadatuekin- azpikarpetera beheko estekan. Partekatutako datu guztiak gordetzen dira
           Creative Commons Aitortu Lizentzia 4.0."
Community Data Warehouse,Komunitateko Datu Biltegia
Tool Validation,Tresnaren baliozkotzea
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Tresna honetako parametro guztiak probatzen dira hori balioztatzeko
           tresna ahalik eta ondoen funtzionatzen ari da eta lehenetsi onena zehaztu
           erabili beharreko parametroak. Gure egungo baliozkotze-prozesuak zuzentzea barne hartzen du
           erreferentzia-liburutegietan sarrera bikoiztuak, espektroak egiaztatzen
           Liburutegi espektralean ez dauden metadatuak eta lehenetsia bermatuz
           parametroek %80tik gorako zehaztasuna ematen dute lehen partidan."
Detailed Validation Procedure,Baliozkotze Prozedura Xehatua
"Updates, Feature Requests, and Bug Reports","Eguneraketak, eginbideen eskaerak eta akatsen txostenak"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Eguneratze guztien jarraipena egiten dugu gure kodearen bertsio-kontrola erabiliz. Eginbideak eska daitezke eta akatsen berri GitHub-en.
Stay up to date!,Egon eguneratuta!
