en,fa
About,در باره
Welcome,خوش آمدی
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","به صدها محقق از اطراف بپیوندید
           جهانی که بخشی از جامعه Open Specy هستند
           تجزیه و تحلیل، به اشتراک گذاری، پردازش و شناسایی
           طیف رامان و IR آنها. این خدمات به لطف شرکای ما رایگان و منبع باز هستند:"
Quick Video Tutorial,آموزش ویدیویی سریع
Instructions,دستورالعمل ها
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","به طور خلاصه: برای استفاده از ابزار یک فایل csv، asp، jdx، spc یا spa را در برگه فایل آپلود آپلود کنید.
                                  در صورت csv، یک ستون باید «تعداد موج» (به واحد 1/cm) و دیگری با نام «شدت» نامیده شود.
                                  می‌توانید داده‌های خود را با استفاده از فیلتر SG صاف کنید، داده‌های خود را با استفاده از ترتیب چند جمله‌ای iModPolyFit، خط مبنا تصحیح کنید، و محدوده طول موج را برای مطابقت محدود کنید.
                                  نتیجه با یک کتابخانه داخلی رامان یا FTIR مقایسه خواهد شد. قوی ترین 1000 مسابقه همراه با شما
                                  داده های آپلود شده یا پردازش شده در نمودار و جدول تعاملی ارائه می شود. برای جزئیات بیشتر روی دکمه زیر کلیک کنید
                                  یا فیلم آموزشی دقیق را تماشا کنید."
Detailed Standard Operating Procedure,روش عملیات استاندارد دقیق
Download Open Data,Open Data را دانلود کنید
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","طیف‌های مرجع از منابع دسترسی باز تهیه شده‌اند
           آنلاین، نشریات بررسی شده، و کمک های مالی شرکتی. در آینده
           طیف‌هایی که در ابزار آپلود می‌شوند به مرجع ادغام می‌شوند
           کتابخانه برای بهتر کردن آن."
Raman Reference Library,کتابخانه مرجع رامان
