en,fi
About,Noin
Welcome,Tervetuloa
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Liity satoihin tutkijoihin ympäri maailmaa
           maailmalle, jotka ovat osa Open Specy -yhteisöä
           analysointi, jakaminen, käsittely ja tunnistaminen
           niiden Raman- ja IR-spektrit. Nämä palvelut ovat ilmaisia ja avoimen lähdekoodin kumppaneidemme ansiosta:"
Quick Video Tutorial,Nopea opetusvideo
Instructions,Ohjeet
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Lyhyesti: Käytä työkalua lataamalla csv-, asp-, jdx-, spc- tai spa-tiedosto lataustiedoston välilehdelle.
                                  Jos on csv, yhden sarakkeen nimi tulee olla ""aaltonumero"" (yksiköissä 1/cm) ja toinen ""intensiteetti"".
                                  Voit tasoittaa tietojasi SG-suodattimella, korjata tietojasi perusviivalla iModPolyFitin polynomijärjestyksessä ja rajoittaa osuman aallonpituusaluetta.
                                  Tulosta verrataan sisäiseen Raman- tai FTIR-spektrikirjastoon. Vahvinta 1000 ottelua sinun kanssasi
                                  ladatut tai käsitellyt tiedot esitetään interaktiivisessa kaaviossa ja taulukossa. Saat lisätietoja napsauttamalla alla olevaa painiketta
                                  tai katso yksityiskohtainen opetusvideo."
Detailed Standard Operating Procedure,Yksityiskohtainen vakiokäyttömenettely
Download Open Data,Lataa avoimet tiedot
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Vertailuspektrit hankittiin avoimen pääsyn resursseista
           verkossa, vertaisarvioituja julkaisuja ja yritysten lahjoituksia. Tulevaisuudessa
           työkaluun ladatut spektrit sisällytetään viittaukseen
           kirjastoon, jotta se olisi vielä parempi."
Raman Reference Library,Ramanin viitekirjasto
FTIR Reference Library,FTIR-viitekirjasto
Raman Reference Library Metadata,Raman-viitekirjaston metatiedot
FTIR Reference Library Metadata,FTIR-viitekirjaston metatiedot
Contribute Spectra,Osallistu Spectraan
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Jaa spektrit lataamalla tiedosto lähetystiedoston välilehdelle. Jos valitsit Jaa, kopio spektristäsi lähetetään yhteisölle
           Tietovarasto avoimessa tiedekehyksessä. Jos haluat lisätä metatietoja,
           täytä saatavilla olevat metatietokentät ja napsauta -Jaa tiedot-. The
           spectra-tiedosto, jonka lähetit vastaustesi kanssa, kopioidaan
           a -With Metadata- -alikansioon alla olevasta linkistä. Kaikki jaetut tiedot säilyvät
           Creative Commons Attribution License 4.0."
Community Data Warehouse,Yhteisön tietovarasto
Tool Validation,Työkalun validointi
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Kaikki tämän työkalun parametrit on testattu sen vahvistamiseksi
           työkalu toimii mahdollisimman hyvin ja määritä paras oletusarvo
           käytettävät parametrit. Nykyinen validointimenettelymme sisältää korjaamisen
           päällekkäiset merkinnät viitekirjastoissa, spektrien tarkistaminen
           metatiedot, jotka eivät ole spektrikirjastossa, ja varmistavat oletusarvon
           parametrit tarjoavat yli 80 % tarkkuuden ensimmäisessä ottelussa."
Detailed Validation Procedure,Yksityiskohtainen validointimenettely
"Updates, Feature Requests, and Bug Reports","Päivitykset, ominaisuuspyynnöt ja virheraportit"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Pidämme kirjaa kaikista päivityksistä käyttämällä koodimme versionhallintaa. Ominaisuuksia voi pyytää ja virheistä ilmoittaa GitHubissa.
Stay up to date!,Pysyä ajan tasalla!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Seuraa meitä Twitterissä @OpenSpecy. Sähköposti wincowger@gmail.com lisätään postituslistalle.
Citation,Lainaus
Useful Links,hyödyllisiä linkkejä
Free FTIR Software: siMPle microplastic IR spectral identification software,Ilmainen FTIR-ohjelmisto: yksinkertainen mikromuovista valmistettu IR-spektritunnistusohjelmisto
Free Spectroscopy Learning Academy from ThermoFisher,ThermoFisherin ilmainen spektroskopian oppimisakatemia
Free Optical Microscopy Learning Resource from Florida State University,Ilmainen optisen mikroskopian oppimisresurssi Floridan osavaltion yliopistosta
Free desktop application for spectral analysis and links to reference databases.,Ilmainen työpöytäsovellus spektrianalyysiin ja linkkejä viitetietokantoihin.
Terms And Conditions,Käyttöehdot
Privacy Policy,Tietosuojakäytäntö
Upload File,Lataa tiedosto
"Upload, View, and Share Spectra","Lataa, tarkastele ja jaa spektrejä"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Valitse .csv (suositeltu), .asp, .jdx, .spc, .spa tai .0-tiedosto"
Share Your Data?,Jaa tietosi?
Share Help,Jaa Ohje
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Jos haluat, jaamme lähettämäsi spektrit ja asetukset spektroskopiayhteisön kanssa.
           Oletuksena kaikki tiedot lisensoidaan Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) mukaisesti.
           Ladatut spektrit näkyvät täällä: https://osf.io/rjg3c"
Upload Help,Lataa ohje
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Lataa Raman- tai FTIR-spektritiedostoja csv-, jdx-, spc- tai spa-muodossa. Csv-tiedosto on suositeltavaa. Jos tiedosto on csv, tiedostossa on oltava yksi sarake, jonka otsikko on ""aaltoluku"" yksiköissä (1/cm) ja toinen sarake ""intensiteetti"" absorbanssiyksiköissä.
            Jos jdx, spc, spa tai 0, tiedoston tulee olla yksi absorbanssispektri, jonka aaltoluku on (1/cm). Nämä tiedostot eivät aina toimi täydellisesti, koska niitä on vaikea lukea, joten tarkista ne toisessa ohjelmistossa.
            Lataa näyte Raman-spektristä napsauttamalla Testitiedot -painiketta."
Intensity Adjustment,Voimakkuuden säätö
None,Ei mitään
Transmittance,Läpäisevyys
Reflectance,Heijastus
Intensity Correction Help,Intensiteettikorjausohje
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Jos ladattu spektri ei ole absorbanssiyksiköissä,
           käytä tätä syötettä määrittääksesi yksiköt, joista muunnetaan.Open Specy voi
           säädä heijastus- tai läpäisyspektrit absorbanssiyksiköiksi käyttämällä
           tämä avattava valikko Lataa tiedosto -välilehdessä. Kaikki edelliset välilehdet
           oletetaan, että tiedot ovat absorbanssiyksiköissä, joten sinun tulee tehdä
           korjaus ennen jatkamista tarvittaessa. Läpäisevyyden säätö
           käyttää log10(1/T)-laskentaa, joka ei sovi järjestelmään
           ja hiukkasten ominaisuudet. Heijastusvoiman säätö käyttää
           Kubelka-Munk yhtälö (1-R)2/(2*R). Oletetaan, että heijastus
           on muotoiltu prosentteina välillä 1-100 ja korjaa ensin intensiteetti jakamalla 100:lla
           niin, että se sopii yhtälön odottamaan muotoon.
           Jos mitään ei ole valittuna, Open Specy olettaa, että ladatut tiedot ovat
           absorbanssispektri."
Sample File,Esimerkkitiedosto
Sample Data Help,Esimerkkitietojen ohje
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Tämä on esimerkkispektri, joka voidaan ladata työkaluun sen testaamiseksi ja csv-tiedostojen muotoilun ymmärtämiseksi."
Metadata Input,Metatietojen syöttö
Metadata Help,Metatietojen ohje
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Jaamme kaikki ladatut spektrit ja metatiedot spektroskopiayhteisön kanssa, jos täytät metatiedot tähän ja valitset jakamisen.
           Ladatut spektrit ja metatiedot näkyvät täällä: https://osf.io/rjg3c"
Share Metadata,Jaa metatiedot
Upload some data to get started...,Aloita lataamalla tietoja...
Preprocess Spectrum,Esikäsittelyspektri
"Smooth, Baseline Correct, and Download Processed Spectra","Tasainen, perustason korjaus ja käsitellyn spektrin lataaminen"
Download (recommended),Lataa (suositus)
Download Help,Lataa Ohjeet
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Jotkut käyttäjät saattavat haluta tallentaa kopion käsitellystä spektristään. Tämä painike lataa käsitellyn spektrin csv-tiedostona.
Smoothing,Tasoitus
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,"Tämä tasoitin voi parantaa datan signaali-kohinasuhdetta ja käyttää Savitzky-Golay-suodatinta, jossa on 12 käynnissä olevaa datapistettä ja määritetty polynomi."
Smoothing Polynomial,Tasoittava polynomi
Baseline Correction,Perustason korjaus
Baseline Correction Help,Perustason korjausohje
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.",Tällä perusviivan korjausrutiinilla on kaksi vaihtoehtoa perusviivan korjaukselle: 1) polynomi imodpolyfit-menettely löytää itteratiivisesti spektrin perusviiva käyttämällä polynomin sovitusta spektrien koko alueelle. 2) Manuaaliset viivat voidaan piirtää viivatyökalulla kuvaajan ja oikea painike käyttää viivoja vähentämään perusviivaa.
Baseline Correction Polynomial,Perustason korjauspolynomi
Technique,Tekniikka
Polynomial,Polynomi
Manual,Manuaalinen
Correct With Trace,Korjaa Tracen kanssa
Reset,Nollaa
Range Selection,Alueen valinta
Spectral Range Help,Spektrialueen ohje
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"Spektrialueen rajoittaminen voi poistaa spektrin alueita, joilla ei ole huippuja, ja parantaa yhteensopivuutta"
Maximum Spectral Range,Suurin spektrialue
Minimum Spectral Range,Minimispektrialue
Identify Spectrum,Tunnista spektri
Identify Spectrum Using the Reference Library,Tunnista spektri käyttämällä viitekirjastoa
Raman,Raman
FTIR,FTIR
Spectra,Spektri
Type,Tyyppi
Spectrum Type Help,Spektrityypin ohje
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Tämä valinta määrittää, käytetäänkö FTIR- vai Raman-sovituskirjastoa. Valitse ladatun spektrin tyyppi."
Analysis,Analyysi
Processed,Käsitelty
Uploaded,Ladattu
Spectrum to Analyze Help,Spektri analysointia varten
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Tämä valinta määrittää, käytetäänkö ladattua (käsittelemätöntä) spektriä vai prosessointivälilehdellä käsiteltyä spektriä taajuuksien vastaavuudessa."
Region,Alue
Full,Koko
Peaks,Huiput
Region to Match Help,Alueen hakuohjeet
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Tämä valinta määrittää, sisältääkö kirjasto, johon yhdistät, koko spektrin vai vain spektrin huippuja."
Partner With Us,Kumppani kanssamme
Help us reach our goal of revolutionizing spectroscopy.,Auta meitä saavuttamaan tavoitteemme mullistaa spektroskopia.
Donate Cash,Lahjoita käteistä
Buy From Swag Store,Osta Swag Storesta
Contribute time,Anna aikaa
Revolutionizing,Vallankumouksellista
Thriving,Kukoistaa
Maintaining,Ylläpito
Supporting,Tukeminen
Saving,Tallentaa
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Maksullinen tiimi, joka työntää Open Specyä lähemmäksi perimmäistä tavoitetta, joka on 100 % tarkka spektritunnistus ja syvä spektridiagnostiikka yhdellä napsautuksella"
A single paid staff person working to update and build the community and the tool,"Yksi palkallinen työntekijä, joka työskentelee yhteisön ja työkalun päivittämiseksi ja rakentamiseksi"
Maintenance costs and minor ad-hoc updates and bug fixes,Ylläpitokustannukset ja pienet ad hoc -päivitykset ja virheenkorjaukset
Keeping the app online and essential maintenance,Sovelluksen pitäminen verkossa ja välttämätön ylläpito
Long term storage only,Vain pitkäaikainen varastointi
Sharing Metadata,Metatietojen jakaminen
Thank you for sharing your data!,Kiitos tietojesi jakamisesta!
Your data will soon be available at https://osf.io/stmv4/,Tietosi ovat pian saatavilla osoitteessa https://osf.io/stmv4/
Something went wrong :-(,Jotain meni pieleen :-(
Data type not supported!,Tietotyyppiä ei tueta!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Ladattua tietotyyppiä ei tällä hetkellä tueta. ole kiltti
                      Katso lisätietoja työkaluvihjeistä ja Tietoja-välilehdestä."
Sharing Spectrum to Community Library,Spektrumin jakaminen yhteisön kirjastoon
Reading Spectrum,Lukuspektri
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Jos latasit teksti-/csv-tiedoston, varmista, että
           sarakkeet ovat numeerisia ja nimeltään ""aaltonumero"" ja
           'intensiteetti'."
absorbance intensity [-],absorbanssin intensiteetti [-]
wavenumber [cm<sup>-1</sup>],aaltoluku [cm<sup>-1</sup>]
Analyzing Spectrum,Spektrin analysointi
Finding Match,Ottelun löytäminen
Making Plot,Juoni tekeminen
Material,Materiaali
Pearson's r,Pearsonin r
Organization,Organisaatio
Selectable Matches,Valittavissa olevat ottelut
Donations,Lahjoitukset
Operation Costs,Käyttökustannukset
Selection Metadata,Valinta metatiedot
