en,fr
About,Sur
Welcome,Bienvenue
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Rejoignez les centaines de chercheurs du monde entier
           le monde qui font partie de la communauté Open Specy en
           analyser, partager, traiter et identifier
           leurs spectres Raman et IR. Ces services sont gratuits et open source grâce à nos partenaires :"
Quick Video Tutorial,Tutoriel vidéo rapide
Instructions,Instructions
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","En bref : pour utiliser l'outil, téléchargez un fichier csv, asp, jdx, spc ou spa dans l'onglet de téléchargement de fichier.
                                  Si csv, une colonne doit être nommée 'wavenumber' (en unités de 1/cm) et une autre nommée 'intensity'.
                                  Vous pouvez lisser vos données à l'aide d'un filtre SG, corriger la ligne de base de vos données à l'aide de l'ordre polynomial d'iModPolyFit et restreindre la plage de longueurs d'onde pour la correspondance.
                                  Le résultat sera comparé à une bibliothèque interne de spectres Raman ou FTIR. Les 1000 matchs les plus forts avec votre
                                  les données téléchargées ou traitées seront présentées dans un graphique et un tableau interactifs. Pour plus de détails cliquez sur le bouton ci-dessous
                                  ou regardez la vidéo d'instructions détaillée."
Detailed Standard Operating Procedure,Procédure d'exploitation standard détaillée
Download Open Data,Télécharger les données ouvertes
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Les spectres de référence proviennent de ressources en libre accès
           en ligne, des publications évaluées par des pairs et des dons d'entreprise. À l'avenir
           les spectres téléchargés dans l'outil seront incorporés à la référence
           bibliothèque pour le rendre encore meilleur."
Raman Reference Library,Bibliothèque de référence Raman
FTIR Reference Library,Bibliothèque de référence FTIR
Raman Reference Library Metadata,Métadonnées de la bibliothèque de référence Raman
FTIR Reference Library Metadata,Métadonnées de la bibliothèque de référence FTIR
Contribute Spectra,Contribuer aux spectres
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Pour partager des spectres, téléchargez un fichier dans l'onglet de fichier de téléchargement. Si vous avez sélectionné Partager, une copie de vos spectres sera envoyée à la communauté
           Entrepôt de données sur Open Science Framework. Pour ajouter des métadonnées supplémentaires,
           remplissez les champs de métadonnées disponibles et cliquez sur -Partager les données-. le
           le fichier de spectres que vous avez téléchargé avec vos réponses sera copié
           dans le sous-dossier a -With Metadata- sur le lien ci-dessous. Toutes les données partagées sont conservées
           une licence d'attribution Creative Commons 4.0."
Community Data Warehouse,Entrepôt de données communautaire
Tool Validation,Validation de l'outil
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Tous les paramètres de cet outil sont testés pour valider que
           l'outil fonctionne le mieux possible et détermine le meilleur défaut
           paramètres à utiliser. Notre procédure de validation actuelle comprend la correction
           entrées dupliquées dans les bibliothèques de référence, vérification des spectres dans
           métadonnées qui ne se trouvent pas dans la bibliothèque spectrale, et en veillant à ce que la valeur par défaut
           les paramètres fournissent plus de 80% de précision dans le premier match."
Detailed Validation Procedure,Procédure de validation détaillée
"Updates, Feature Requests, and Bug Reports","Mises à jour, demandes de fonctionnalités et rapports de bogues"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Nous gardons une trace de toutes les mises à jour en utilisant le contrôle de version sur notre code. Des fonctionnalités peuvent être demandées et des bogues signalés sur GitHub.
Stay up to date!,Tiens-toi à jour!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Suivez-nous sur Twitter @OpenSpecy. E-mail wincowger@gmail.com pour être ajouté à la liste de diffusion.
Citation,Citation
Useful Links,Liens utiles
Free FTIR Software: siMPle microplastic IR spectral identification software,Logiciel FTIR gratuit : logiciel d'identification spectrale IR microplastique simple
Free Spectroscopy Learning Academy from ThermoFisher,Académie d'apprentissage gratuite de la spectroscopie de ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Ressource d'apprentissage gratuite sur la microscopie optique de la Florida State University
Free desktop application for spectral analysis and links to reference databases.,Application de bureau gratuite pour l'analyse spectrale et des liens vers des bases de données de référence.
Terms And Conditions,Termes et conditions
Privacy Policy,Politique de confidentialité
Upload File,Téléverser un fichier
