en,fy
About,Oer
Welcome,Wolkom
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Doch mei oan de hûnderten ûndersikers fan rûnom
           de wrâld dy't diel útmeitsje fan de Open Specy mienskip troch
           analysearje, dielen, ferwurkjen en identifisearje
           harren Raman en IR spektra. Dizze tsjinsten binne fergees en iepen boarne tank oan ús partners:"
Quick Video Tutorial,Quick Video Tutorial
Instructions,Ynstruksjes
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Koartsein: Om it ark te brûken, upload in csv-, asp-, jdx-, spc- of spa-bestân nei it ljepblêd uploadbestân.
                                  As csv, ien kolom moat wurde neamd 'wavennumber' (yn ienheden fan 1/cm) en in oare neamd 'intensity'.
                                  Jo kinne jo gegevens glêdje mei in SG-filter, baseline korrigearje jo gegevens mei de polynomiale folchoarder fan iModPolyFit, en beheine it golflingteberik foar de wedstriid.
                                  It resultaat sil wurde fergelike mei in ynterne Raman- as FTIR-spektrabibleteek. De sterkste 1000 wedstriden tegearre mei dyn
                                  uploaded of ferwurke gegevens wurde presintearre yn in ynteraktive plot en tabel. Klikje op de knop hjirûnder foar mear details
                                  of besjoch de detaillearre ynstruksjefideo."
Detailed Standard Operating Procedure,Detaillearre Standert Operating Proseduere
Download Open Data,Download iepen gegevens
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Referinsjespektra waarden krigen fan boarnen foar iepen tagong
           online, peer reviewed publikaasjes, en corporate donaasjes. Yn de takomst
           spektra dy't wurdt opladen nei it ark sil wurde opnommen yn 'e referinsje
           biblioteek om it noch better te meitsjen."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,FTIR Reference Library
Raman Reference Library Metadata,Raman Reference Library Metadata
FTIR Reference Library Metadata,FTIR Reference Library Metadata
Contribute Spectra,Bydrage Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Om spektra te dielen, upload in bestân nei it ljepblêd uploadbestân. As jo diele hawwe selektearre, sil in kopy fan jo spektra nei de Mienskip stjoerd wurde
           Data Warehouse oer Open Science Framework. Om ekstra metadata ta te foegjen,
           folje de beskikbere metadatafjilden yn en klikje op -Share Data-. De
           spectra-bestân dat jo tegearre mei jo antwurden uploade sille wurde kopiearre
           nei de submap -With Metadata- op de link hjirûnder. Alle dielde gegevens hâlde
           in Creative Commons Attribution License 4.0."
Community Data Warehouse,Mienskip Data Warehouse
Tool Validation,Tool Validaasje
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Alle parameters yn dit ark wurde hifke om dat te falidearjen
           it ark wurket sa goed mooglik en bepale de bêste standert
           parameters te brûken. Us hjoeddeistige validaasjeproseduere omfettet korrigearjen
           dûbele yngongen yn 'e referinsjebiblioteken, kontrolearje op spektra yn
           metadata dy't net yn 'e spektrale bibleteek binne, en it garandearjen fan de standert
           parameters jouwe mear as 80% krektens yn de earste wedstriid."
Detailed Validation Procedure,Detaillearre Validation Proseduere
"Updates, Feature Requests, and Bug Reports","Updates, funksje-oanfragen en bugrapporten"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Wy hâlde alle updates by mei ferzjekontrôle op ús koade. Funksjes kinne wurde oanfrege en bug rapporteare op GitHub.
Stay up to date!,Bliuw op 'e hichte!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Folgje ús op Twitter @OpenSpecy. E-post wincowger@gmail.com taheakke wurde oan de mailinglist.
Citation,Sitaasje
Useful Links,Nuttige keppelings
Free FTIR Software: siMPle microplastic IR spectral identification software,Fergese FTIR-software: ienfâldige mikroplastyske IR-spektrale identifikaasjesoftware
Free Spectroscopy Learning Academy from ThermoFisher,Fergese Spektroskopy Learning Academy fan ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Fergese learboarne foar optyske mikroskopy fan Florida State University
Free desktop application for spectral analysis and links to reference databases.,Fergese buroblêdapplikaasje foar spektrale analyze en keppelings nei referinsjedatabases.
Terms And Conditions,Betingsten en kondysjes
Privacy Policy,Privacybelied
Upload File,Bestân oplade
"Upload, View, and Share Spectra","Spectra uploade, besjen en diele"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Kies .csv (foarkar), .asp, .jdx, .spc, .spa of .0-bestân"
Share Your Data?,Jo gegevens diele?
Share Help,Help diele
