en,ga
About,Faoi
Welcome,Fáilte
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Bí ar na céadta taighdeoirí ó gach cearn
           an domhan atá mar chuid den phobal Open Specy le
           anailís, comhroinnt, próiseáil, agus aithint
           a speictrim Raman agus IR. Tá na seirbhísí seo saor in aisce agus foinse oscailte a bhuíochas lenár gcomhpháirtithe:"
Quick Video Tutorial,Ceacht Físe Tapa
Instructions,Treoracha
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Go hachomair: Chun an uirlis a úsáid uaslódáil comhad csv, asp, jdx, spc, nó Spa ar an táb comhad uaslódáil.
                                  Más csv é, ba chóir colún amháin a ainmniú mar ‘wavenumber’ (in aonaid 1 / cm) agus ceann eile darb ainm ‘déine’.
                                  Is féidir leat do chuid sonraí a rianú trí scagaire SG a úsáid, do bhunlíne a cheartú trí úsáid a bhaint as ord ilpholaimiúil iModPolyFit, agus an raon tonnfhaid don chluiche a shrianadh.
                                  Cuirfear an toradh i gcomparáid le leabharlann inmheánach speictrim Raman nó FTIR. Na 1000 cluiche is láidre in éineacht le do
                                  cuirfear sonraí uaslódáilte nó próiseáilte i láthair i bplota agus i dtábla idirghníomhach. Le haghaidh tuilleadh sonraí cliceáil ar an gcnaipe thíos
                                  nó féachaint ar an bhfíseán mionsonraithe teagaisc."
Detailed Standard Operating Procedure,Nós Imeachta Oibriúcháin Caighdeánach mionsonraithe
Download Open Data,Íoslódáil Sonraí Oscailte
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Fuarthas speictrim tagartha ó acmhainní rochtana oscailte
           foilseacháin ar líne, piarmheasúnaithe, agus síntiúis chorparáideacha. Sa todhchaí
           ionchorprófar speictrim a uaslódáiltear leis an uirlis sa tagairt
           leabharlann chun é a dhéanamh níos fearr fós."
Raman Reference Library,Leabharlann Tagartha Raman
FTIR Reference Library,Leabharlann Tagartha FTIR
Raman Reference Library Metadata,Meiteashonraí Leabharlainne Tagartha Raman
FTIR Reference Library Metadata,Meiteashonraí Leabharlainne Tagartha FTIR
Contribute Spectra,Tabhair Spectra
