en,gd
About,Mu dheidhinn
Welcome,Fàilte
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Thig còmhla ris na ceudan de luchd-rannsachaidh bho air feadh
           an saoghal a tha nam pàirt den choimhearsnachd Open Specy le
           a ’dèanamh anailis, a’ roinneadh, a ’giullachd, agus a’ comharrachadh
           an spectra Raman agus IR aca. Tha na seirbheisean sin an-asgaidh agus stòr fosgailte le taing do ar com-pàirtichean:"
Quick Video Tutorial,Tutorial bhidio luath
Instructions,Stiùireadh
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Gu h-aithghearr: Gus an inneal a chleachdadh luchdaich suas faidhle csv, asp, jdx, spc, no spà chun taba faidhle luchdaidh suas.
                                  Ma tha csv, bu chòir aon cholbh a bhith air ainmeachadh mar ‘wavenumber’ (ann an aonadan 1 / cm) agus fear eile air ainmeachadh mar ‘dian’.
                                  Faodaidh tu an dàta agad a dhèanamh rèidh le bhith a ’cleachdadh criathrag SG, bun-loidhne a’ ceartachadh an dàta agad le bhith a ’cleachdadh òrdugh polynomial iModPolyFit, agus a’ cuingealachadh raon nan tonnan airson a ’ghèam.
                                  Thèid an toradh a choimeas ri leabharlann spectra Raman no FTIR a-staigh. Na 1000 geamannan as làidire còmhla ri do
                                  thèid dàta a chaidh a luchdachadh suas no a phròiseasadh a thaisbeanadh ann an cuilbheart agus clàr eadar-ghnìomhach. Airson tuilleadh fiosrachaidh cliog air a ’phutan gu h-ìosal
                                  no coimhead air a ’bhidio stiùiridh mionaideach."
Detailed Standard Operating Procedure,Modh Obrachaidh Coitcheann mionaideach
Download Open Data,Luchdaich sìos dàta fosgailte
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Chaidh spectra iomraidh fhaighinn bho stòrasan ruigsinneachd fosgailte
           air-loidhne, foillseachaidhean ath-sgrùdaichte le co-aoisean, agus tabhartasan corporra. San àm ri teachd
           thèid spectra a thèid a luchdachadh suas don inneal a thoirt a-steach don iomradh
           leabharlann gus a dhèanamh eadhon nas fheàrr."
Raman Reference Library,Leabharlann Iomraidh Raman
FTIR Reference Library,Leabharlann Iomraidh FTIR
Raman Reference Library Metadata,Meata-dàta Leabharlann Iomraidh Raman
FTIR Reference Library Metadata,Meata-dàta Leabharlann Iomraidh FTIR
Contribute Spectra,Thoir seachad Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Gus spectra a cho-roinn luchdaich suas faidhle chun taba faidhle luchdaich suas. Ma thagh thu Co-roinn thèid leth-bhreac den spectra agad a chuir chun Choimhearsnachd
           Bathar dàta air Frèam Saidheans Fosgailte. Gus meata-dàta a bharrachd a chur ris,
           lìon na raointean meata-dàta avaliable agus cliog -Share Data-. Tha an
           Thèid lethbhreac a dhèanamh den fhaidhle spectra a luchdaich thu suas còmhla ris na freagairtean agad
           chun an fho-phasgan -With Metadata aig a ’cheangal gu h-ìosal. Bidh a h-uile dàta co-roinnte a ’cumail
           Ceadachas Attribution Creative Commons 4.0."
Community Data Warehouse,Bathar Dàta Coimhearsnachd
Tool Validation,Dearbhadh Innealan
