en,gl
About,Sobre
Welcome,Benvido
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Únete aos centos de investigadores de todo o mundo
           o mundo que forman parte da comunidade Open Specy por
           analizar, compartir, procesar e identificar
           os seus espectros Raman e IR. Estes servizos son gratuítos e de código aberto grazas aos nosos socios:"
Quick Video Tutorial,Vídeo tutorial rápido
Instructions,Instrucións
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","En resumo: para usar a ferramenta, cargue un ficheiro csv, asp, jdx, spc ou spa na pestana de ficheiros de carga.
                                  Se csv, unha columna debería chamarse ""número de onda"" (en unidades de 1/cm) e outra denominada ""intensidade"".
                                  Podes suavizar os teus datos mediante un filtro SG, corrixir os teus datos de referencia mediante a orde polinómica de iModPolyFit e restrinxir o intervalo de lonxitudes de onda para a coincidencia.
                                  O resultado compararase cunha biblioteca interna de espectros Raman ou FTIR. As 1000 partidas máis fortes xunto coa túa
                                  os datos cargados ou procesados presentaranse nunha trama e táboa interactivas. Para máis detalles, fai clic no botón de abaixo
                                  ou mira o vídeo instrutivo detallado."
Detailed Standard Operating Procedure,Procedemento operativo estándar detallado
Download Open Data,Descargar Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Os espectros de referencia obtivéronse de recursos de acceso aberto
           en liña, publicacións revisadas por pares e doazóns corporativas. No futuro
           os espectros que se carguen na ferramenta incorporaranse á referencia
           biblioteca para facelo aínda mellor."
Raman Reference Library,Biblioteca de referencia Raman
FTIR Reference Library,Biblioteca de referencia FTIR
Raman Reference Library Metadata,Metadatos da biblioteca de referencia Raman
FTIR Reference Library Metadata,Metadatos da biblioteca de referencia FTIR
Contribute Spectra,Aporta Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Para compartir espectros, carga un ficheiro na pestana de carga de ficheiros. Se seleccionaches Compartir, enviarase unha copia do teu espectro á comunidade
           Data Warehouse sobre Open Science Framework. Para engadir metadatos adicionais,
           cubra os campos de metadatos dispoñibles e prema -Compartir datos-. O
           copiarase o ficheiro Spectra que cargaches xunto coas túas respostas
           ao subcartafol a -Con metadatos- na seguinte ligazón. Retén todos os datos compartidos
           unha licenza Creative Commons Attribution 4.0."
Community Data Warehouse,Almacén de datos comunitarios
Tool Validation,Validación da ferramenta
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Todos os parámetros desta ferramenta son probados para validalo
           a ferramenta funciona o mellor posible e determina a mellor opción predeterminada
           parámetros a utilizar. O noso procedemento de validación actual inclúe a corrección
           entradas duplicadas nas bibliotecas de referencia, comprobando espectros
           metadatos que non están na biblioteca espectral e garantindo o valor predeterminado
           Os parámetros proporcionan máis do 80% de precisión na primeira partida."
Detailed Validation Procedure,Procedemento de validación detallado
"Updates, Feature Requests, and Bug Reports","Actualizacións, solicitudes de funcións e informes de erros"
