en,gu
About,વિશે
Welcome,સ્વાગત છે
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","આસપાસના સેંકડો સંશોધકો સાથે જોડાઓ
           વિશ્વ કે જેઓ દ્વારા ઓપન સ્પેસી સમુદાયનો ભાગ છે
           વિશ્લેષણ, વહેંચણી, પ્રક્રિયા અને ઓળખાણ
           તેમના રામન અને IR સ્પેક્ટ્રા. આ સેવાઓ મફત અને ઓપન સોર્સ છે અમારા ભાગીદારોનો આભાર:"
Quick Video Tutorial,ઝડપી વિડિઓ ટ્યુટોરીયલ
Instructions,સૂચનાઓ
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","સંક્ષિપ્તમાં: ટૂલનો ઉપયોગ કરવા માટે અપલોડ ફાઇલ ટેબ પર csv, asp, jdx, spc અથવા spa ફાઇલ અપલોડ કરો.
                                  જો csv હોય, તો એક કૉલમનું નામ 'વેવેનમ્બર' (1/સે.મી.ના એકમોમાં) અને બીજાને 'તીવ્રતા' નામ આપવું જોઈએ.
                                  તમે SG ફિલ્ટરનો ઉપયોગ કરીને તમારા ડેટાને સરળ બનાવી શકો છો, iModPolyFit ના બહુપદી ક્રમનો ઉપયોગ કરીને તમારા ડેટાને બેઝલાઇન સુધારી શકો છો અને મેચ માટે તરંગલંબાઇ શ્રેણીને પ્રતિબંધિત કરી શકો છો.
                                  પરિણામની તુલના આંતરિક રામન અથવા FTIR સ્પેક્ટ્રા લાઇબ્રેરી સાથે કરવામાં આવશે. તમારી સાથે સૌથી મજબૂત 1000 મેચો
                                  અપલોડ કરેલ અથવા પ્રોસેસ કરેલ ડેટા ઇન્ટરેક્ટિવ પ્લોટ અને ટેબલમાં રજૂ કરવામાં આવશે. વધુ વિગતો માટે નીચેના બટન પર ક્લિક કરો
                                  અથવા વિગતવાર સૂચનાત્મક વિડિઓ જુઓ."
Detailed Standard Operating Procedure,વિગતવાર માનક ઓપરેટિંગ પ્રક્રિયા
Download Open Data,ઓપન ડેટા ડાઉનલોડ કરો
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","સંદર્ભ સ્પેક્ટ્રા ઓપન એક્સેસ સ્ત્રોતોમાંથી મેળવવામાં આવ્યો હતો
           ઑનલાઇન, પીઅર સમીક્ષા કરેલ પ્રકાશનો અને કોર્પોરેટ દાન. ભવિષ્યમાં
           સાધન પર અપલોડ કરવામાં આવેલ સ્પેક્ટ્રાને સંદર્ભમાં સામેલ કરવામાં આવશે
           તેને વધુ સારી બનાવવા માટે પુસ્તકાલય."
Raman Reference Library,રમણ સંદર્ભ પુસ્તકાલય
FTIR Reference Library,FTIR સંદર્ભ પુસ્તકાલય
Raman Reference Library Metadata,રામન સંદર્ભ પુસ્તકાલય મેટાડેટા
FTIR Reference Library Metadata,FTIR સંદર્ભ પુસ્તકાલય મેટાડેટા
Contribute Spectra,સ્પેક્ટ્રા ફાળો
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","સ્પેક્ટ્રા શેર કરવા માટે અપલોડ ફાઇલ ટેબ પર ફાઇલ અપલોડ કરો. જો તમે શેર પસંદ કરો છો, તો તમારા સ્પેક્ટ્રાની એક નકલ સમુદાયને મોકલવામાં આવશે
           ઓપન સાયન્સ ફ્રેમવર્ક પર ડેટા વેરહાઉસ. વધારાના મેટાડેટા ઉમેરવા માટે,
           ઉપલબ્ધ મેટાડેટા ફીલ્ડ્સ ભરો અને -શેર ડેટા- પર ક્લિક કરો. આ
           તમારા પ્રતિભાવો સાથે તમે અપલોડ કરેલી સ્પેક્ટ્રા ફાઇલની નકલ કરવામાં આવશે
           નીચેની લિંક પર - મેટાડેટા સાથે- સબફોલ્ડર પર. બધા વહેંચાયેલ ડેટા ધરાવે છે
           ક્રિએટિવ કોમન્સ એટ્રિબ્યુશન લાઇસન્સ 4.0."
Community Data Warehouse,સમુદાય ડેટા વેરહાઉસ
Tool Validation,સાધન માન્યતા
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","તે માન્ય કરવા માટે આ ટૂલમાં તમામ પરિમાણોનું પરીક્ષણ કરવામાં આવે છે
           સાધન શક્ય તેટલું શ્રેષ્ઠ કાર્ય કરે છે અને શ્રેષ્ઠ ડિફોલ્ટ નક્કી કરે છે
           વાપરવા માટેના પરિમાણો. અમારી વર્તમાન માન્યતા પ્રક્રિયામાં સુધારાનો સમાવેશ થાય છે
           સંદર્ભ પુસ્તકાલયોમાં ડુપ્લિકેટ એન્ટ્રીઓ, સ્પેક્ટ્રા ઇન માટે તપાસી રહ્યું છે
           મેટાડેટા કે જે સ્પેક્ટ્રલ લાઇબ્રેરીમાં નથી અને ડિફોલ્ટની ખાતરી કરે છે
           પરિમાણો પ્રથમ મેચમાં 80% થી વધુ ચોકસાઈ પ્રદાન કરે છે."
Detailed Validation Procedure,વિગતવાર માન્યતા પ્રક્રિયા
"Updates, Feature Requests, and Bug Reports","અપડેટ્સ, ફીચર વિનંતીઓ અને બગ રિપોર્ટ્સ"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,અમે અમારા કોડ પર સંસ્કરણ નિયંત્રણનો ઉપયોગ કરીને તમામ અપડેટ્સનો ટ્રૅક રાખીએ છીએ. GitHub પર સુવિધાઓની વિનંતી કરી શકાય છે અને બગની જાણ કરી શકાય છે.
Stay up to date!,અદ્યતન રહો!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Twitter @OpenSpecy પર અમને અનુસરો. મેઈલીંગ લિસ્ટમાં ઉમેરવા માટે wincowger@gmail.com પર ઈ-મેલ કરો.
Citation,અવતરણ
Useful Links,ઉપયોગી લિંક્સ
Free FTIR Software: siMPle microplastic IR spectral identification software,મફત FTIR સૉફ્ટવેર: સિમ્પલ માઇક્રોપ્લાસ્ટિક IR સ્પેક્ટ્રલ આઇડેન્ટિફિકેશન સોફ્ટવેર
Free Spectroscopy Learning Academy from ThermoFisher,થર્મોફિશર તરફથી મફત સ્પેક્ટ્રોસ્કોપી લર્નિંગ એકેડમી
Free Optical Microscopy Learning Resource from Florida State University,ફ્લોરિડા સ્ટેટ યુનિવર્સિટી તરફથી મફત ઓપ્ટિકલ માઇક્રોસ્કોપી લર્નિંગ રિસોર્સ
Free desktop application for spectral analysis and links to reference databases.,સ્પેક્ટ્રલ વિશ્લેષણ અને સંદર્ભ ડેટાબેઝની લિંક્સ માટે મફત ડેસ્કટોપ એપ્લિકેશન.
Terms And Conditions,નિયમો અને શરત
Privacy Policy,ગોપનીયતા નીતિ
Upload File,ફાઈલ અપલોડ કરો
"Upload, View, and Share Spectra","સ્પેક્ટ્રા અપલોડ કરો, જુઓ અને શેર કરો"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",".csv (પસંદગી), .asp, .jdx, .spc, .spa અથવા .0 ફાઇલ પસંદ કરો"
Share Your Data?,તમારો ડેટા શેર કરીએ?
Share Help,મદદ શેર કરો
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","જો તમને ગમે, તો અમે તમારા અપલોડ કરેલા સ્પેક્ટ્રા અને સેટિંગ્સને સ્પેક્ટ્રોસ્કોપી સમુદાય સાથે શેર કરીએ છીએ.
           ડિફૉલ્ટ રૂપે, તમામ ડેટા ક્રિએટિવ કૉમન્સ એટ્રિબ્યુશન-નોન કોમર્શિયલ 4.0 ઇન્ટરનેશનલ (CC BY-NC 4.0) હેઠળ લાઇસન્સ આપવામાં આવશે.
           અપલોડ કરેલ સ્પેક્ટ્રા અહીં દેખાશે: https://osf.io/rjg3c"
Upload Help,અપલોડ મદદ
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","રામન અથવા FTIR સ્પેક્ટ્રમ ફાઇલોને csv, jdx, spc અથવા spa તરીકે અપલોડ કરો. csv ફાઇલને પ્રાધાન્ય આપવામાં આવે છે. જો CSV હોય, તો ફાઇલમાં (1/cm) એકમોમાં 'વેવનમ્બર' લેબલવાળી એક કૉલમ અને શોષક એકમોમાં 'તીવ્રતા' લેબલવાળી બીજી કૉલમ હોવી જોઈએ.
            જો jdx, spc, spa અથવા 0 હોય તો ફાઇલ (1/cm) માં તરંગ સંખ્યા સાથે એકલ શોષક સ્પેક્ટ્રમ હોવી જોઈએ. આ ફાઇલો હંમેશા સંપૂર્ણ રીતે કામ કરશે નહીં કારણ કે તે વાંચવામાં મુશ્કેલ છે તેથી તેને બીજા સોફ્ટવેરમાં બે વાર તપાસો.
            સેમ્પલ રમન સ્પેક્ટ્રમ ડાઉનલોડ કરવા માટે 'ટેસ્ટ ડેટા' બટન દબાવો."
Intensity Adjustment,તીવ્રતા ગોઠવણ
None,કોઈ નહિ
Transmittance,ટ્રાન્સમિટન્સ
Reflectance,પ્રતિબિંબ
Intensity Correction Help,તીવ્રતા સુધારણા મદદ
