en,ha
About,Game da
Welcome,Barka da zuwa
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Haɗa ɗaruruwan masu bincike daga ko'ina
           Duniyar da ke cikin ƙungiyar Open Specy ta
           nazari, rabawa, sarrafawa, da ganowa
           su Raman da IR bakan. Waɗannan sabis ɗin kyauta ne kuma buɗe tushen godiya ga abokan aikinmu:"
Quick Video Tutorial,Koyarwar Bidiyo mai sauri
Instructions,Umarni
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","A Takaice: Don amfani da kayan aikin loda csv, asp, jdx, spc, ko fayil ɗin spa zuwa shafin fayil ɗin lodawa.
                                  Idan csv, ɗayan ginshiƙi ya kamata a sanya masa suna 'lambar kaɗa' (a cikin raka'a 1/cm) da wani mai suna 'ƙarfin'.
                                  Kuna iya sassauta bayananku ta amfani da matatar SG, tushen tushe gyara bayananku ta amfani da odar iModPolyFit mai yawa, kuma ta taƙaita kewayon tsayin wasan.
                                  Za a kwatanta sakamakon da ɗakin karatu na Raman ko FTIR na ciki. Mafi ƙarfi 1000 matches tare da naku
                                  za a gabatar da bayanan da aka ɗora ko sarrafa su a cikin maƙalli da tebur mai ma'amala. Don ƙarin bayani danna maɓallin da ke ƙasa
                                  ko kalli cikakken bidiyon koyarwa."
Detailed Standard Operating Procedure,Cikakken Tsarin Tsarin Aiki
Download Open Data,Zazzage Buɗe Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","An samo nau'ikan nau'ikan bayanai daga albarkatun samun damar buɗewa
           kan layi, wallafe-wallafen da aka yi bitar takwarorinsu, da gudummawar kamfanoni. Zuwa gaba
           spectra da aka ɗora zuwa kayan aiki za a haɗa shi zuwa ga ma'anar
           laburare don inganta shi."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,FTIR Reference Library
Raman Reference Library Metadata,Raman Reference Library metadata
FTIR Reference Library Metadata,Bayanan Bayani na Laburaren FTIR
Contribute Spectra,Taimakawa Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Don raba spectra loda fayil zuwa shafin fayil ɗin lodawa. Idan kun zaɓi Raba kwafin sikirin za a aika zuwa ga Al'umma
           Ma'ajiyar Bayanai akan Buɗe Tsarin Kimiyya. Don ƙara ƙarin metadata,
           cika filayen metadata da ake da su kuma danna -Share Data-. The
           spectra fayil ɗin da kuka ɗorawa tare da martaninku za a kwafi
           zuwa babban fayil na -With Metadata a mahaɗin da ke ƙasa. Duk bayanan da aka raba suna riƙe
           Lasisin Halayen Ƙirƙirar Commons 4.0."
Community Data Warehouse,Ma'ajiyar Bayanan Al'umma
Tool Validation,Tabbatar da Kayan aiki
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Ana gwada duk sigogin da ke cikin wannan kayan aikin don tabbatar da hakan
           kayan aiki yana aiki kamar yadda zai yiwu kuma ƙayyade mafi kyawun tsoho
           sigogi don amfani. Tsarin tabbatar da mu na yanzu ya haɗa da gyarawa
           shigarwar da aka kwafi a cikin dakunan karatu na tunani, duba don shiga ciki
           metadata wanda ba a cikin ɗakin karatu ba, da kuma tabbatar da tsoho
           sigogi suna ba da daidaito sama da 80% a wasan farko."
Detailed Validation Procedure,Cikakken Tsarin Tabbatarwa
"Updates, Feature Requests, and Bug Reports","Sabuntawa, Buƙatun fasali, da Rahoton Bug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Muna ci gaba da lura da duk sabuntawa ta amfani da sarrafa sigar akan lambar mu. Ana iya buƙatar fasali da rahoton bug akan GitHub.
Stay up to date!,Ci gaba da sabuntawa!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Bi mu akan Twitter @OpenSpecy. E-mail wincowger@gmail.com don ƙara zuwa jerin aikawasiku.
Citation,ambato
Useful Links,Hanyoyin haɗi masu amfani
Free FTIR Software: siMPle microplastic IR spectral identification software,Software na FTIR kyauta: siMPle microplastic IR spectral ganewa software
Free Spectroscopy Learning Academy from ThermoFisher,Kwalejin Koyon Spectroscopy kyauta daga ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Albarkatun Koyon gani na gani na gani kyauta daga Jami'ar Jihar Florida
Free desktop application for spectral analysis and links to reference databases.,Aikace-aikacen tebur na kyauta don bincike na gani da hanyoyin haɗi zuwa bayanan bayanai.
Terms And Conditions,Sharuɗɗa Da Sharuɗɗa
Privacy Policy,takardar kebantawa
Upload File,Loda fayil
"Upload, View, and Share Spectra","Loda, Duba, da Raba Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Zaɓi .csv (wanda aka fi so), .asp, .jdx, .spc, .spa, ko .0 Fayil"
Share Your Data?,Raba Bayananku?
Share Help,Raba Taimako
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Idan kuna so, muna raba bakan da aka ɗora muku da saituna tare da jama'ar spectroscopy.
           Ta hanyar tsohuwa, duk bayanan za su sami lasisi a ƙarƙashin Ƙarƙashin Ƙirƙirar Commons-NonCommercial 4.0 International (CC BY-NC 4.0).
           Abubuwan da aka ɗora za su bayyana a nan: https://osf.io/rjg3c"
Upload Help,Sanya Taimako
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Loda fayilolin bakan Raman ko FTIR azaman csv, jdx, spc, ko spa. An fi son fayil csv. Idan csv, fayil ɗin dole ne ya ƙunshi ginshiƙi ɗaya mai lakabin 'wavenumber' a cikin raka'a na (1/cm) da wani ginshiƙi mai lakabin 'ƙarfin' a cikin raka'o'in sha.
            Idan jdx, spc, spa, ko 0 fayil ɗin ya kamata ya zama bakan abin sha guda ɗaya tare da lambobi a cikin (1/cm). Waɗannan fayilolin ba koyaushe za su yi aiki daidai ba saboda suna da wayo don karanta don haka sau biyu duba su a cikin wata software.
            Danna maɓallin 'Test Data' don zazzage samfurin Raman spectrum."
Intensity Adjustment,Daidaita Ƙarfi
None,Babu
