en,haw
About,E pili ana
Welcome,Welina
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","E hui pū me nā haneli o nā mea noiʻi mai nā wahi a puni
           ka honua i ʻāpana o ke kaiāulu Open Specy e
           ka nānā ʻana, kaʻana like, ka hana ʻana, a me ka ʻike
           ko lākou Raman a me IR spectra. He manuahi a wehe ʻia kēia mau lawelawe i kā mākou mau hoa."
Quick Video Tutorial,Aʻoaʻo wikiō wikiwiki
Instructions,Nā kuhikuhi
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","I ka pōkole: No ka hoʻohana ʻana i ka mea hana e hoʻouka i kahi faila csv, asp, jdx, spc, a i ʻole spa i ka pā faila hoʻouka.
                                  Inā csv, pono e kapa ʻia kekahi kolamu 'helu hawewe' (ma nā ʻāpana o 1/cm) a i kapa ʻia kekahi kolamu 'intensity'.
                                  Hiki iā ʻoe ke hoʻomaʻemaʻe i kāu ʻikepili me ka hoʻohana ʻana i kahi kānana SG, hoʻoponopono i kāu ʻikepili me ka hoʻohana ʻana i ka polynomial order o iModPolyFit, a hoʻopaʻa i ka laulā hawewe no ka pāʻani.
                                  E hoʻohālikelike ʻia ka hopena me kahi waihona Raman kūloko a i ʻole FTIR spectra waihona. ʻO nā pāʻani 1000 ikaika loa me kāu
                                  e hōʻike ʻia nā ʻikepili i hoʻoili ʻia a i ʻole i hoʻoili ʻia ma kahi pākaukau a me ka papa. No ka ʻike hou aku e kaomi i ke pihi ma lalo
                                  a i ʻole e nānā i ke wikiō aʻo kikoʻī."
Detailed Standard Operating Procedure,Ke kaʻina hana maʻamau kikoʻī
Download Open Data,Hoʻoiho i ka ʻikepili wehe
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Loaʻa ʻia ka ʻike kikoʻī mai nā kumuwaiwai wehe
           ma ka pūnaewele, nā puke i nānā ʻia e nā hoa, a me nā haʻawina hui. I ka wā e hiki mai ana
           E hoʻokomo ʻia ka spectra i hoʻoili ʻia i ka hāmeʻa i ka kuhikuhi
           hale waihona puke e hoʻomaikaʻi ai."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,FTIR Reference Library
Raman Reference Library Metadata,ʻO ka metadata o ka waihona waihona ʻōlelo Raman
FTIR Reference Library Metadata,FTIR Reference Library Metadata
Contribute Spectra,Hāʻawi i ka Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","No ka kaʻana like ʻana i ka spectra e hoʻouka i kahi faila i ka pā faila hoʻouka. Inā ʻoe i koho Kaʻana like e hoʻouna ʻia kahi kope o kāu spectra i ke Kaiāulu
           Hale Waihona ʻIkepili ma Open Science Framework. No ka hoʻohui ʻana i nā metadata hou,
           hoʻopiha i nā kahua metadata hiki ke kaomi -Share Data-. ʻO ka
           E kope ʻia ka faila spectra āu i hoʻouka ai me kāu mau pane
           i ka -Me Metadata- subfolder ma ka loulou ma lalo nei. Loaʻa nā ʻikepili like ʻole a pau
           a Creative Commons Attribution License 4.0."
Community Data Warehouse,Hale Waihona ʻIke Kaiaulu
Tool Validation,Mea Hooia
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Hoʻāʻo ʻia nā ʻāpana āpau i kēia hāmeʻa e hōʻoia i kēlā
           ke hana nei ka mea hana e like me ka mea hiki loa a hoʻoholo i ka paʻamau maikaʻi loa
           nā ʻāpana e hoʻohana ai. ʻO kā mākou hana hōʻoia o kēia manawa e pili ana i ka hoʻoponopono
           hoʻokomo kope ʻia i loko o nā hale waihona puke, e nānā ana i ka spectra in
           metadata ʻaʻole i loko o ka hale waihona spectral, a me ka hōʻoia i ka paʻamau
           Hāʻawi nā ʻāpana ma luna o 80% pololei i ka pāʻani mua."
Detailed Validation Procedure,Ke kaʻina hana hōʻoia kikoʻī
"Updates, Feature Requests, and Bug Reports","Nā mea hou, nā noi hiʻohiʻona, a me nā hōʻike Bug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Mālama mākou i nā mea hou a pau me ka hoʻohana ʻana i ka mana mana ma kā mākou code. Hiki ke noi ʻia nā hiʻohiʻona a hōʻike ʻia ka bug ma GitHub.
Stay up to date!,E noho hou i kēia lā!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,E hahai mai iā mākou ma Twitter @OpenSpecy. E-mail wincowger@gmail.com e hoʻohui ʻia i ka papa inoa leka.
Citation,Kuhikuhi
Useful Links,Nā loulou pono
Free FTIR Software: siMPle microplastic IR spectral identification software,Pūnaehana FTIR manuahi: polokalamu ʻike kikoʻī IR microplastic siMPle
Free Spectroscopy Learning Academy from ThermoFisher,Hāʻawi ʻia ʻo Spectroscopy Learning Academy mai ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,ʻO ke kumu aʻo ʻo Optical Microscopy manuahi mai Florida State University
Free desktop application for spectral analysis and links to reference databases.,No ka hoʻohana ʻana i ka papa kuhikuhi manuahi a me nā loulou i nā ʻikepili kuhikuhi.
Terms And Conditions,Nā ʻŌlelo a me nā Kūlana
Privacy Policy,Kulekele pilikino
Upload File,Hoʻouka i ka faila
"Upload, View, and Share Spectra","Hoʻouka, Nānā, a kaʻana like i ka Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","E koho iā .csv (makemake), .asp, .jdx, .spc, .spa, a i ʻole .0 File"
Share Your Data?,Kaʻana like i kāu ʻikepili?
Share Help,Kaʻana kōkua
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Inā makemake ʻoe, kaʻana like mākou i kāu kikoʻī a me nā hoʻonohonoho i hoʻoili ʻia me ke kaiāulu spectroscopy.
           Ma ka paʻamau, e laikini ʻia nā ʻikepili āpau ma lalo o Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           E ʻike ʻia nā kikoʻī i hoʻouka ʻia ma aneʻi: https://osf.io/rjg3c"
Upload Help,Hoʻouka Kōkua
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Hoʻouka i nā faila kikoʻī Raman a i ʻole FTIR ma ke ʻano he csv, jdx, spc, a i ʻole spa. Makemake ʻia kahi faila csv. Inā he csv, pono ka waihona i hoʻokahi kolamu i kapa ʻia ʻo 'wavennumber' ma nā ʻāpana o (1/cm) a me kekahi kolamu i kapa ʻia ʻo 'intensity' i nā ʻāpana absorbance.
            Inā ʻo jdx, spc, spa, a i ʻole 0 pono ka faila i hoʻokahi kiko kikoʻī me ka helu hawewe ma (1/cm). ʻAʻole e hana maikaʻi kēia mau faila no ka mea paʻakikī lākou e heluhelu no laila e nānā pālua iā lākou ma kahi polokalamu ʻē aʻe.
            E kaomi i ke pihi 'Test Data' e hoʻoiho i kahi laʻana Raman spectrum."
Intensity Adjustment,Hoʻoponopono ikaika
None,ʻAʻohe
Transmittance,Ka hoʻouna ʻana
Reflectance,Hoʻomanaʻo
Intensity Correction Help,Kokua Hooponopono Intensity
