en,he
About,על אודות
Welcome,ברוך הבא
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","הצטרפו למאות החוקרים מהסביבה
           העולם שהם חלק מקהילת Open Specy על ידי
           ניתוח, שיתוף, עיבוד וזיהוי
           ספקטרום רמאן ו-IR שלהם. שירותים אלה הינם בחינם וקוד פתוח הודות לשותפים שלנו:"
Quick Video Tutorial,מדריך וידאו מהיר
Instructions,הוראות
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","בקצרה: כדי להשתמש בכלי העלה קובץ csv, asp, jdx, spc או spa ללשונית העלאת קובץ.
                                  אם csv, עמודה אחת צריכה לקבל את השם 'wavenumber' (ביחידות של 1/cm) ואחרת בשם 'עוצמה'.
                                  אתה יכול להחליק את הנתונים שלך באמצעות מסנן SG, לתקן את הנתונים שלך באמצעות הסדר הפולינומי של iModPolyFit, ולהגביל את טווח אורכי הגל עבור ההתאמה.
                                  התוצאה תושווה לספריית ספקטרום ראמאן או FTIR פנימית. 1000 ההתאמות החזקים ביותר יחד עם שלך
                                  נתונים שהועלו או מעובדים יוצגו בעלילה ובטבלה אינטראקטיבית. לפרטים נוספים לחץ על הכפתור למטה
                                  או צפו בסרטון ההדרכה המפורט."
Detailed Standard Operating Procedure,נוהל הפעלה סטנדרטי מפורט
Download Open Data,הורד נתונים פתוחים
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","ספקטרום התייחסות נלקח ממשאבי גישה פתוחה
           מקוון, פרסומים עם ביקורת עמיתים ותרומות של חברות. בעתיד
           ספקטרים שיועלו לכלי ישולבו בהפניה
           ספרייה כדי לעשות את זה אפילו טוב יותר."
Raman Reference Library,ספריית עזר רמאן
