en,hi
About,के बारे में
Welcome,स्वागत
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","आसपास के सैकड़ों शोधकर्ताओं से जुड़ें
           दुनिया जो ओपन स्पीशी समुदाय का हिस्सा हैं
           विश्लेषण, साझा करना, प्रसंस्करण करना और पहचानना
           उनके रमन और IR स्पेक्ट्रा। ये सेवाएं मुफ़्त और मुक्त स्रोत हैं, हमारे भागीदारों के लिए धन्यवाद:"
Quick Video Tutorial,त्वरित वीडियो ट्यूटोरियल
Instructions,निर्देश
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","संक्षेप में: टूल का उपयोग करने के लिए अपलोड फ़ाइल टैब पर एक csv, asp, jdx, spc, या स्पा फ़ाइल अपलोड करें।
                                  यदि csv है, तो एक कॉलम का नाम 'wavenumber' (1/cm की इकाइयों में) होना चाहिए और दूसरे का नाम 'तीव्रता' होना चाहिए।
                                  आप एक एसजी फ़िल्टर का उपयोग करके अपने डेटा को सुचारू कर सकते हैं, बेसलाइन iModPolyFit के बहुपद क्रम का उपयोग करके अपने डेटा को सही कर सकते हैं, और मैच के लिए तरंग दैर्ध्य रेंज को प्रतिबंधित कर सकते हैं।
                                  परिणाम की तुलना आंतरिक रमन या FTIR स्पेक्ट्रा लाइब्रेरी से की जाएगी। आपके साथ सबसे मजबूत 1000 मैच
                                  अपलोड या संसाधित डेटा एक इंटरैक्टिव प्लॉट और टेबल में प्रस्तुत किया जाएगा। अधिक जानकारी के लिए नीचे दिए गए बटन पर क्लिक करें
                                  या विस्तृत निर्देशात्मक वीडियो देखें।"
Detailed Standard Operating Procedure,विस्तृत मानक संचालन प्रक्रिया
Download Open Data,ओपन डेटा डाउनलोड करें
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","संदर्भ स्पेक्ट्रा ओपन एक्सेस संसाधनों से प्राप्त किया गया था
           ऑनलाइन, सहकर्मी समीक्षा प्रकाशन, और कॉर्पोरेट दान। भविष्य में
           उपकरण पर अपलोड किया गया स्पेक्ट्रा संदर्भ में शामिल किया जाएगा
           पुस्तकालय को और बेहतर बनाने के लिए।"
Raman Reference Library,रमन संदर्भ पुस्तकालय
FTIR Reference Library,एफटीआईआर संदर्भ पुस्तकालय
Raman Reference Library Metadata,रमन संदर्भ पुस्तकालय मेटाडेटा
FTIR Reference Library Metadata,एफटीआईआर संदर्भ पुस्तकालय मेटाडेटा
Contribute Spectra,योगदान स्पेक्ट्रा
