en,hmn
About,Txog
Welcome,Zoo siab txais tos
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Koom nrog ntau pua tus kws tshawb fawb los ntawm ib puag ncig
           lub ntiaj teb uas yog ib feem ntawm Open Specy zej zog los ntawm
           tsom xam, sib qhia, ua, thiab txheeb xyuas
           lawv Raman thiab IR spectra. Cov kev pabcuam no pub dawb thiab qhib qhov chaw ua tsaug rau peb cov neeg koom tes:"
Quick Video Tutorial,Video Tutorial ceev
Instructions,Cov lus qhia
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Hauv Lus Nug: Txhawm rau siv lub cuab yeej rub tawm csv, asp, jdx, spc, lossis spa cov ntaub ntawv mus rau upload cov ntaub ntawv tab.
                                  Yog tias csv, ib kem yuav tsum muaj npe 'wavenumber' (hauv units ntawm 1 / cm) thiab lwm lub npe hu ua 'kev siv'.
                                  Koj tuaj yeem du koj cov ntaub ntawv siv lub SG lim, lub hauv paus kho koj cov ntaub ntawv siv qhov kev txiav txim polynomial ntawm iModPolyFit, thiab txwv qhov kev sib tw wavelength rau qhov sib tw.
                                  Qhov tshwm sim yuav muab piv rau lub tsev qiv ntawv Raman lossis FTIR spectra. Qhov muaj zog tshaj 1000 qhov sib tw nrog koj
                                  upload los yog ua tiav cov ntaub ntawv yuav raug nthuav tawm nyob rau hauv cov lus sib tham sib tham thiab rooj. Yog xav paub ntxiv nias lub pob hauv qab no
                                  los yog saib daim vis dis aus qhia ntxaws."
Detailed Standard Operating Procedure,Cov txheej txheem ua haujlwm ntxaws ntxaws
Download Open Data,Download Qhib Cov Ntaub Ntawv
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Kev siv spectra tau muab los ntawm cov ntaub ntawv qhib nkag
           Hauv online, cov phooj ywg txheeb xyuas cov ntawv tshaj tawm, thiab cov koom haum pub dawb. Yav tom ntej
           spectra uas tau muab tso rau hauv lub cuab yeej yuav muab tso rau hauv kev siv
           tsev qiv ntawv kom nws zoo dua."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,FTIR Reference Library
Raman Reference Library Metadata,Raman Reference Library Metadata
FTIR Reference Library Metadata,FTIR Reference Library Metadata
Contribute Spectra,Pab txhawb Spectra
