en,hr
About,Oko
Welcome,Dobrodošli
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Pridružite se stotinama istraživača iz cijelog svijeta
           svijeta koji su dio zajednice Open Specy by
           analiziranje, dijeljenje, obrada i identificiranje
           njihov Raman i IR spektar. Ove su usluge besplatne i otvorenog koda zahvaljujući našim partnerima:"
Quick Video Tutorial,Brzi video vodič
Instructions,Upute
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Ukratko: za korištenje alata prenesite csv, asp, jdx, spc ili spa datoteku na karticu za prijenos.
                                  Ako je csv, jedan stupac treba imati naziv ""valni broj"" (u jedinicama od 1/cm), a drugi ""intenzitet"".
                                  Možete izgladiti svoje podatke pomoću SG filtera, ispraviti svoje podatke polinomskim redoslijedom iModPolyFit i ograničiti raspon valnih duljina za podudaranje.
                                  Rezultat će se usporediti s internom bibliotekom Raman ili FTIR spektra. Najjačih 1000 utakmica zajedno s vašim
                                  učitani ili obrađeni podaci bit će prikazani u interaktivnom prikazu i tablici. Za više detalja kliknite gumb ispod
                                  ili pogledajte video s detaljnim uputama."
Detailed Standard Operating Procedure,Detaljni standardni operativni postupak
Download Open Data,Preuzmite otvorene podatke
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Referentni spektri dobiveni su iz izvora otvorenog pristupa
           online, recenzirane publikacije i korporativne donacije. U budućnosti
           spektri koji su učitani u alat bit će uključeni u referencu
           knjižnicu kako bi bila još bolja."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,Referentna knjižnica FTIR
Raman Reference Library Metadata,Metapodaci Ramanove referentne biblioteke
FTIR Reference Library Metadata,Metapodaci referentne knjižnice FTIR
Contribute Spectra,Doprinesite Spectri
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Za dijeljenje spektra prenesite datoteku na karticu za prijenos datoteka. Ako odaberete Dijeli, kopija vaših spektra bit će poslana zajednici
           Skladište podataka u okviru Open Science Framework. Da biste dodali dodatne metapodatke,
           ispunite dostupna polja metapodataka i kliknite -Podijeli podatke-. The
           spectra datoteka koju ste prenijeli zajedno sa svojim odgovorima bit će kopirana
           u podmapu a -With Metadata- na donjoj poveznici. Svi zajednički podaci čuvaju se
           a Creative Commons Attribution License 4.0."
Community Data Warehouse,Skladište podataka zajednice
Tool Validation,Validacija alata
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Svi parametri u ovom alatu testirani su kako bi se to potvrdilo
           alat radi najbolje moguće i odredi najbolju zadanu vrijednost
           parametri za korištenje. Naš trenutni postupak validacije uključuje ispravljanje
           duplicirani unosi u referentnim bibliotekama, provjeravajući spektre
           metapodatke koji se ne nalaze u spektralnoj biblioteci i osiguravanje zadanog
           parametri daju preko 80% točnosti u prvom meču."
Detailed Validation Procedure,Detaljni postupak provjere valjanosti
"Updates, Feature Requests, and Bug Reports","Ažuriranja, zahtjevi za značajkama i izvješća o greškama"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Pratimo sva ažuriranja pomoću kontrole verzija na našem kodu. Značajke se mogu zatražiti i prijaviti bug na GitHubu.
Stay up to date!,Ostati u toku!
