en,ht
About,Konsènan
Welcome,Byenvini
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Antre nan dè santèn de chèchè ki soti nan alantou
           mond lan ki fè pati kominote Open Specy pa
           analize, pataje, trete, ak idantifye
           espèk Raman ak IR yo. Sèvis sa yo gratis ak sous ouvè gras a patnè nou yo:"
Quick Video Tutorial,Videyo Tutorial rapid
Instructions,Enstriksyon yo
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","An Brèf: Pou itilize zouti a, telechaje yon fichye csv, asp, jdx, spc, oswa spa nan tab la telechaje dosye.
                                  Si csv, yon kolòn ta dwe rele 'wavenumber' (nan inite 1/cm) ak yon lòt yo rele 'entansite'.
                                  Ou ka lise done ou yo lè l sèvi avèk yon filtè SG, debaz korije done ou yo lè l sèvi avèk lòd polinòm iModPolyFit, epi mete restriksyon sou ranje longèdonn pou match la.
                                  Rezilta a pral konpare ak yon bibliyotèk entèn Raman oswa FTIR spectre. Pi fò 1000 alimèt yo ansanm ak ou
                                  done telechaje oswa trete yo pral prezante nan yon konplo entèaktif ak yon tablo. Pou plis detay klike sou bouton ki anba a
                                  oswa gade videyo ansèyman detaye a."
Detailed Standard Operating Procedure,Detaye Pwosedi Operasyon Estanda
Download Open Data,Telechaje Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Referans spectre yo te soti nan resous aksè louvri
           sou entènèt, piblikasyon revize parèg yo, ak don antrepriz. Nan tan kap vini an
           spectre ki telechaje nan zouti a pral enkòpore nan referans la
           bibliyotèk pou fè li menm pi bon."
Raman Reference Library,Bibliyotèk referans Raman
FTIR Reference Library,Bibliyotèk referans FTIR
Raman Reference Library Metadata,Metadata bibliyotèk referans Raman
FTIR Reference Library Metadata,Metadata bibliyotèk referans FTIR
Contribute Spectra,Kontribye Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Pou pataje spectre telechaje yon fichye nan tab la telechaje dosye. Si w chwazi Pataje, y ap voye yon kopi spectre w bay Kominote a
           Data Warehouse sou Open Science Framework. Pou ajoute plis metadata,
           ranpli jaden metadata ki disponib yo epi klike sou -Share Data-. La
           Fichye spectre ke ou telechaje ansanm ak repons ou yo pral kopye
           nan yon sousdosye -With Metadata- nan lyen ki anba a. Tout done pataje yo kenbe
           yon Lisans Creative Commons Attribution 4.0."
Community Data Warehouse,Depo Done Kominotè
Tool Validation,Validasyon zouti
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Tout paramèt nan zouti sa a yo teste pou valide sa
           zouti a ap fonksyone pi byen ke posib epi detèmine pi bon default la
           paramèt pou itilize. Pwosedi validasyon aktyèl nou an gen ladan korije
           doub antre nan bibliyotèk referans yo, tcheke pou espèk nan
           metadata ki pa nan bibliyotèk espèk la, epi asire default la
           paramèt bay plis pase 80% presizyon nan premye match la."
Detailed Validation Procedure,Pwosedi Validasyon Detaye
"Updates, Feature Requests, and Bug Reports","Mizajou, Demann Karakteristik, ak Rapò Bug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Nou kenbe tras tout mizajou lè l sèvi avèk kontwòl vèsyon sou kòd nou an. Karakteristik yo ka mande ak ensèk rapòte sou GitHub.
Stay up to date!,Rete ajou!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Swiv nou sou Twitter @OpenSpecy. Imèl wincowger@gmail.com yo dwe ajoute nan lis adrès la.
Citation,Sitasyon
Useful Links,Lyen itil
Free FTIR Software: siMPle microplastic IR spectral identification software,Lojisyèl FTIR gratis: senp lojisyèl idantifikasyon spectral mikroplastik IR
Free Spectroscopy Learning Academy from ThermoFisher,Gratis Akademi Aprantisaj Spectroscopy soti nan ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Resous pou aprann mikwoskopi optik gratis nan Inivèsite Eta Florid
Free desktop application for spectral analysis and links to reference databases.,Aplikasyon Desktop gratis pou analiz espèk ak lyen ki mennen nan baz done referans.
Terms And Conditions,Tèm ak Kondisyon yo
Privacy Policy,Règ sou enfòmasyon prive
Upload File,Telechaje File
"Upload, View, and Share Spectra","Telechaje, gade ak pataje Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Chwazi .csv (pi pito), .asp, .jdx, .spc, .spa, oswa .0 File"
Share Your Data?,Pataje done w yo?
Share Help,Pataje èd
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Si ou renmen, nou pataje spectre ou telechaje ak anviwònman yo ak kominote a espektroskopi.
           Pa default, tout done yo pral gen lisans dapre Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Telechaje spectre yo ap parèt isit la: https://osf.io/rjg3c"
Upload Help,Telechaje èd
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Voye dosye Raman oswa FTIR kòm yon csv, jdx, spc, oswa spa. Yon dosye csv pi pito. Si yon csv, fichye a dwe genyen yon kolòn ki make 'wavenumber' nan inite (1/cm) ak yon lòt kolòn ki make 'entansite' nan inite absorption.
            Si jdx, spc, spa, oswa 0 fichye a ta dwe yon sèl spectre absorption ak nimewo ond nan (1/cm). Fichye sa yo p ap toujou travay pafètman paske yo difisil pou li se konsa double tcheke yo nan yon lòt lojisyèl.
            Frape bouton 'Tès Done' pou telechaje yon echantiyon Raman spectre."
Intensity Adjustment,Ajisteman entansite
None,Okenn
Transmittance,Transmisyon
Reflectance,Refleksyon
Intensity Correction Help,Èd Koreksyon Entansite
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Si spectre telechaje a pa nan inite absorbans yo,
           sèvi ak opinyon sa a pou presize inite yo pou konvèti.Open Specy kapab
           ajiste refleksyon oswa transmisyon spectre nan inite Absorbans lè l sèvi avèk
           gout sa a desann nan tab la dosye Upload. Tout onglet anvan yo
           asime ke done yo se nan inite absorbans kidonk ou ta dwe fè a
           koreksyon anvan kontinye si sa nesesè. Ajisteman transmissions la
           sèvi ak kalkil log10(1/T) ki pa korije pou sistèm lan
           ak karakteristik patikil yo. Ajisteman refleksyon an itilize
           Kubelka-Munk ekwasyon (1-R)2/(2*R). Nou sipoze ke refleksyon an
           se fòma kòm yon pousan nan 1-100 epi premye korije entansite a pa divize pa 100
           pou li anfòm fòm ekwasyon an espere.
           Si pa chwazi okenn, Open Specy sipoze ke done yo telechaje se
           yon spectre absorption."
Sample File,Egzanp File
Sample Data Help,Egzanp Done Èd
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Sa a se yon echantiyon spectre ki ka telechaje nan zouti a pou teste li soti ak konprann ki jan dosye yo csv yo ta dwe fòma.
Metadata Input,Antre metadata
Metadata Help,Èd Metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Nou pataje nenpòt spectre ak metadata ki telechaje ak kominote espektroskopi a si ou ranpli metadata yo isit la epi chwazi pataje.
           Telechaje spectre ak metadata ap parèt isit la: https://osf.io/rjg3c"
Share Metadata,Pataje Metadata
Upload some data to get started...,Telechaje kèk done pou kòmanse...
Preprocess Spectrum,Spectrum prepwosesis
"Smooth, Baseline Correct, and Download Processed Spectra","Smooth, Baseline kòrèk, ak telechaje spectre trete"
Download (recommended),Telechaje (rekòmande)
Download Help,Telechaje èd
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Gen kèk itilizatè ki ka vle sove yon kopi spectre trete yo. Bouton sa a telechaje spectre trete a kòm yon dosye csv.
Smoothing,Lisaj
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Sa a douser ka amelyore rapò siyal ak bri nan done yo epi li sèvi ak yon filtè Savitzky-Golay ak 12 pwen done kouri ak polinòm ki espesifye.
Smoothing Polynomial,Polinòm lisaj
Baseline Correction,Koreksyon debaz
Baseline Correction Help,Èd pou koreksyon debaz
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Woutin koreksyon debaz sa a gen de opsyon pou koreksyon debaz, 1) pwosedi polinòm imodpolyfit pou jwenn itterative liy debaz spectre a lè l sèvi avèk yon anfòm polinòm nan tout rejyon an nan spectre yo. 2) liy manyèl yo ka trase lè l sèvi avèk zouti liy lan sou trase a ak bouton ki kòrèk la pral sèvi ak liy yo soustraksyon debaz la."
Baseline Correction Polynomial,Polinòm debaz koreksyon
Technique,Teknik
Polynomial,Polinòm
Manual,Manyèl
Correct With Trace,Korije ak tras
Reset,Reyajiste
Range Selection,Seleksyon Range
Spectral Range Help,Èd Spectral Range
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Limite ranje spectral la ka retire rejyon nan spectre kote pa gen okenn pik ki egziste epi amelyore matche
Maximum Spectral Range,Maksimòm Gamme Spectral
Minimum Spectral Range,Minimòm Gamme Spectral
Identify Spectrum,Idantifye Spectrum
Identify Spectrum Using the Reference Library,Idantifye Spectrum lè l sèvi avèk bibliyotèk referans lan
Raman,Raman
FTIR,FTIR
