en,hu
About,Ról ről
Welcome,Üdvözöljük
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Csatlakozzon a több száz kutatóhoz a környékről
           a világ, akik az Open Specy közösség részei
           elemzése, megosztása, feldolgozása és azonosítása
           Raman és IR spektrumaik. Ezek a szolgáltatások ingyenesek és nyílt forráskódúak partnereinknek köszönhetően:"
Quick Video Tutorial,Gyors bemutató videó
Instructions,Utasítás
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Röviden: Az eszköz használatához töltsön fel egy csv-, asp-, jdx-, spc- vagy spa-fájlt a feltöltési fájl fülre.
                                  Ha csv, akkor az egyik oszlop neve „hullámszám” (1/cm egységben), a másik pedig „intenzitás”.
                                  Simíthatja az adatokat egy SG-szűrő használatával, az alapvonal korrigálhatja az adatokat az iModPolyFit polinomiális sorrendjében, és korlátozhatja az egyezés hullámhossz-tartományát.
                                  Az eredményt egy belső Raman vagy FTIR spektrumkönyvtárhoz hasonlítják majd. A legerősebb 1000 egyezés a tiéddel együtt
                                  A feltöltött vagy feldolgozott adatok interaktív diagramban és táblázatban jelennek meg. További részletekért kattintson az alábbi gombra
                                  vagy nézze meg a részletes oktatóvideót."
Detailed Standard Operating Procedure,Részletes szabványos működési eljárás
Download Open Data,Nyílt adatok letöltése
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","A referenciaspektrumokat nyílt hozzáférésű forrásokból szereztük be
           online, lektorált kiadványok és vállalati adományok. A jövőben
           az eszközbe feltöltött spektrumok beépülnek a hivatkozásba
           könyvtárat, hogy még jobb legyen."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,FTIR referenciakönyvtár
Raman Reference Library Metadata,Raman Reference Library metaadatok
FTIR Reference Library Metadata,FTIR referenciakönyvtár metaadatai
Contribute Spectra,Hozzájáruljon a Spectra-hoz
