en,hy
About,Մասին
Welcome,Բարի գալուստ
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Միացե՛ք հարյուրավոր հետազոտողների շուրջը
           աշխարհը, ովքեր Open Specy համայնքի մաս են կազմում
           վերլուծություն, համօգտագործում, մշակում և նույնականացում
           նրանց Raman և IR սպեկտրները: Այս ծառայություններն անվճար են և բաց կոդով մեր գործընկերների շնորհիվ՝"
Quick Video Tutorial,Արագ վիդեո ձեռնարկ
Instructions,Հրահանգներ
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Համառոտ. գործիքն օգտագործելու համար վերբեռնեք csv, asp, jdx, spc կամ spa ֆայլը վերբեռնման ֆայլի ներդիրում:
                                  Եթե csv, մի սյունակ պետք է անվանվի «ալիքային թիվ» (1/սմ միավորներով), իսկ մյուսը՝ «ինտենսիվություն»:
                                  Դուք կարող եք հարթեցնել ձեր տվյալները՝ օգտագործելով SG ֆիլտր, ելակետային գծով շտկել ձեր տվյալները՝ օգտագործելով iModPolyFit-ի բազմանդամ կարգը և սահմանափակել ալիքի երկարության տիրույթը համընկնումի համար:
                                  Արդյունքը կհամեմատվի ներքին Raman կամ FTIR սպեկտրային գրադարանի հետ: Ամենաուժեղ 1000 համընկնումը՝ քո հետ միասին
                                  բեռնված կամ մշակված տվյալները կներկայացվեն ինտերակտիվ սյուժեում և աղյուսակում: Լրացուցիչ մանրամասների համար սեղմեք ստորև նշված կոճակը
                                  կամ դիտեք մանրամասն ուսուցողական տեսանյութը:"
Detailed Standard Operating Procedure,Մանրամասն ստանդարտ գործառնական ընթացակարգ
Download Open Data,Ներբեռնեք բաց տվյալները
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Հղման սպեկտրները ստացվել են բաց հասանելիության ռեսուրսներից
           առցանց, գրախոսվող հրապարակումներ և կորպորատիվ նվիրատվություններ: Ապագայում
           սպեկտրները, որոնք վերբեռնվում են գործիքին, կներառվեն հղումին
           գրադարան՝ այն էլ ավելի լավը դարձնելու համար:"
Raman Reference Library,Raman Reference Library
FTIR Reference Library,FTIR տեղեկատու գրադարան
Raman Reference Library Metadata,Raman Reference Library Մետատվյալներ
FTIR Reference Library Metadata,FTIR տեղեկատու գրադարանի մետատվյալներ
Contribute Spectra,Նպաստել Spectra-ին
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Սպեկտրով համօգտագործելու համար ֆայլ վերբեռնեք վերբեռնման ֆայլի ներդիր: Եթե ընտրել եք Share, ձեր սպեկտրի պատճենը կուղարկվի Համայնք
           Բաց գիտության շրջանակի տվյալների պահեստ: Լրացուցիչ մետատվյալներ ավելացնելու համար,
           լրացրեք հասանելի մետատվյալների դաշտերը և կտտացրեք «Share Data»-: Այն
           սպեկտրային ֆայլը, որը վերբեռնել եք ձեր պատասխանների հետ միասին, կպատճենվի
           դեպի a -With Metadata- ենթաթղթապանակը ստորև նշված հղումով: Բոլոր ընդհանուր տվյալները պահվում են
           Creative Commons Attribution License 4.0."
Community Data Warehouse,Համայնքի տվյալների պահեստ
Tool Validation,Գործիքի վավերացում
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Այս գործիքի բոլոր պարամետրերը ստուգվում են դա հաստատելու համար
           գործիքը հնարավորինս լավ է աշխատում և որոշում է լավագույն լռելյայնը
           օգտագործվող պարամետրերը: Մեր ընթացիկ վավերացման ընթացակարգը ներառում է ուղղում
           կրկնօրինակված գրառումներ տեղեկատու գրադարաններում՝ ստուգելով սպեկտրների առկայությունը
           մետատվյալներ, որոնք սպեկտրային գրադարանում չեն և ապահովում են լռելյայնությունը
           պարամետրերը ապահովում են ավելի քան 80% ճշգրտություն առաջին հանդիպման ժամանակ:"
Detailed Validation Procedure,Վավերացման մանրամասն ընթացակարգ
"Updates, Feature Requests, and Bug Reports","Թարմացումներ, առանձնահատկությունների հարցումներ և վրիպակների հաշվետվություններ"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Մենք հետևում ենք բոլոր թարմացումներին՝ օգտագործելով մեր կոդի տարբերակի վերահսկումը: Առանձնահատկությունները կարող են պահանջվել և սխալի մասին տեղեկացվել GitHub-ում:
Stay up to date!,Եղեք արդիական:
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Հետևեք մեզ Twitter-ում @OpenSpecy: Փոստային ցուցակին ավելացնելու համար էլ.
Citation,Մեջբերում
Useful Links,Օգտակար հղումներ
Free FTIR Software: siMPle microplastic IR spectral identification software,Անվճար FTIR ծրագրակազմ. պարզ միկրոպլաստիկ IR սպեկտրալ նույնականացման ծրագիր
Free Spectroscopy Learning Academy from ThermoFisher,Անվճար սպեկտրոսկոպիայի ուսուցման ակադեմիա ThermoFisher-ից
Free Optical Microscopy Learning Resource from Florida State University,Օպտիկական մանրադիտակի ուսուցման անվճար ռեսուրս Ֆլորիդայի պետական համալսարանից
Free desktop application for spectral analysis and links to reference databases.,Անվճար աշխատասեղանի հավելված սպեկտրային վերլուծության և հղումների տվյալների բազաների համար:
Terms And Conditions,Ընդհանուր դրույթներր եւ պայմանները
Privacy Policy,Գաղտնիության քաղաքականություն
Upload File,Ներբեռնել ֆայլ
"Upload, View, and Share Spectra","Վերբեռնեք, դիտեք և համօգտագործեք սպեկտրաները"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Ընտրեք .csv (նախընտրելի), .asp, .jdx, .spc, .spa կամ .0 ֆայլ"
Share Your Data?,Կիսվե՞լ ձեր տվյալները
Share Help,Կիսվեք օգնությունով
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Եթե ցանկանում եք, մենք կիսում ենք ձեր վերբեռնված սպեկտրները և կարգավորումները սպեկտրոսկոպիայի համայնքի հետ:
           Լռելյայնորեն, բոլոր տվյալները լիցենզավորված կլինեն Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) համաձայն:
           Վերբեռնված սպեկտրները կհայտնվեն այստեղ՝ https://osf.io/rjg3c"
Upload Help,Վերբեռնման օգնություն
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Վերբեռնեք Raman կամ FTIR սպեկտրի ֆայլերը որպես csv, jdx, spc կամ սպա: Ցանկալի է csv ֆայլ: Եթե csv-ն է, ապա ֆայլը պետք է պարունակի մեկ սյունակ՝ «ալիքի համար» պիտակավորված (1/սմ) միավորներով, և մեկ այլ սյունակ՝ «ինտենսիվություն» պիտակավորված կլանման միավորներով:
            Եթե jdx, spc, spa կամ 0 ֆայլը պետք է լինի մեկ ներծծման սպեկտր՝ ալիքային թվով (1/սմ): Այս ֆայլերը միշտ չէ, որ կատարյալ կաշխատեն, քանի որ դրանք դժվար է կարդալ, այնպես որ կրկնակի ստուգեք դրանք մեկ այլ ծրագրաշարում:
            Սեղմեք «Test Data» կոճակը՝ Raman սպեկտրի նմուշ ներբեռնելու համար:"
Intensity Adjustment,Ինտենսիվության ճշգրտում
None,Ոչ ոք
Transmittance,Փոխանցում
Reflectance,Արտացոլում
Intensity Correction Help,Ինտենսիվության ուղղման օգնություն
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Եթե վերբեռնված սպեկտրը կլանման միավորներով չէ,
           օգտագործեք այս մուտքագրումը, որպեսզի նշեք միավորները, որոնցից պետք է փոխարկվեն: Open Specy can
           հարմարեցնել անդրադարձման կամ փոխանցման սպեկտրները կլանման միավորներին՝ օգտագործելով
           այս բացվող ներբեռնման ֆայլի ներդիրում: Բոլոր նախորդ ներդիրները
           ենթադրենք, որ տվյալները կլանման միավորներով են, այնպես որ դուք պետք է կատարեք
           անհրաժեշտության դեպքում շարունակելուց առաջ ուղղում: Հաղորդման փոխանցման ճշգրտում
           օգտագործում է log10(1/T) հաշվարկը, որը ճիշտ չէ համակարգի համար
           և մասնիկների բնութագրերը: Անդրադարձի ճշգրտումն օգտագործում է
           Կուբելկա-Մանկ հավասարումը (1-R)2/(2*R). Մենք ենթադրում ենք, որ արտացոլումը
           ձևավորվում է որպես տոկոս 1-100-ից և սկզբում ուղղում է ինտենսիվությունը՝ բաժանելով 100-ի
           այնպես, որ այն համապատասխանի հավասարման կողմից ակնկալվող ձևին:
           Եթե ոչ մեկը ընտրված չէ, Open Specy-ը ենթադրում է, որ վերբեռնված տվյալներն են
           կլանման սպեկտր:"
Sample File,Նմուշի ֆայլ
Sample Data Help,Տվյալների օրինակելի օգնություն
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Սա սպեկտրի նմուշ է, որը կարող է վերբեռնվել գործիքում՝ այն փորձարկելու և հասկանալու, թե ինչպես պետք է ձևաչափվեն csv ֆայլերը:"
Metadata Input,Մետատվյալների մուտքագրում
Metadata Help,Մետատվյալների օգնություն
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Ցանկացած վերբեռնված սպեկտրներ և մետատվյալներ մենք կիսում ենք սպեկտրոսկոպիայի համայնքի հետ, եթե լրացնեք մետատվյալներն այստեղ և ընտրեք համօգտագործում:
           Վերբեռնված սպեկտրները և մետատվյալները կհայտնվեն այստեղ՝ https://osf.io/rjg3c"
Share Metadata,Կիսվեք մետատվյալներով
Upload some data to get started...,Սկսելու համար վերբեռնեք որոշ տվյալներ...
Preprocess Spectrum,Նախամշակման սպեկտր
"Smooth, Baseline Correct, and Download Processed Spectra","Smooth, Baseline Correct, and Download Processed Spectra"
Download (recommended),Ներբեռնում (խորհուրդ է տրվում)
Download Help,Ներբեռնեք Օգնություն
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Որոշ օգտվողներ կարող են ցանկանալ պահպանել իրենց մշակված սպեկտրի պատճենը: Այս կոճակը ներբեռնում է մշակված սպեկտրը որպես csv ֆայլ:
Smoothing,Հարթեցում
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Այս հարթիչը կարող է ուժեղացնել տվյալների ազդանշանի և աղմուկի հարաբերակցությունը և օգտագործում է Savitzky-Golay ֆիլտրը 12 ընթացիկ տվյալների կետերով և նշված բազմանդամով:
Smoothing Polynomial,Հարթեցնող բազմանդամ
Baseline Correction,Ելակետային ուղղում
Baseline Correction Help,Ելակետային ուղղման օգնություն
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Այս ելակետային ուղղման ռեժիմն ունի ելակետային ուղղման երկու տարբերակ. 1) բազմանդամային imodpolyfit ընթացակարգը, որը կրկնակիորեն գտնում է սպեկտրի բազային գիծը՝ օգտագործելով բազմանդամի համապատասխանությունը սպեկտրների ողջ տարածաշրջանին: 2) ձեռքով գծեր կարելի է գծել հողամասի գծային գործիքի միջոցով, և ճիշտ կոճակը կօգտագործի գծերը՝ բազային գիծը հանելու համար:"
Baseline Correction Polynomial,Ելակետային ուղղման բազմանդամ
Technique,Տեխնիկա
Polynomial,Բազմանդամ
Manual,Ձեռնարկ
Correct With Trace,Ուղղել Հետքի հետ
Reset,Վերականգնել
Range Selection,Շրջանակի ընտրություն
Spectral Range Help,Սպեկտրալ տիրույթի օգնություն
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"Սպեկտրային տիրույթի սահմանափակումը կարող է հեռացնել սպեկտրի այն շրջանները, որտեղ գագաթներ չկան, և բարելավել համապատասխանությունը"
Maximum Spectral Range,Առավելագույն սպեկտրային տիրույթ
Minimum Spectral Range,Նվազագույն սպեկտրային տիրույթ
Identify Spectrum,Բացահայտեք սպեկտրը
Identify Spectrum Using the Reference Library,Բացահայտեք սպեկտրը՝ օգտագործելով տեղեկատու գրադարանը
Raman,Ռաման
FTIR,FTIR
Spectra,Սպեկտրա
Type,Տիպ
Spectrum Type Help,Spectrum Type Help
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Այս ընտրությունը կորոշի, թե արդյոք FTIR կամ Raman համապատասխան գրադարանը կօգտագործվի: Ընտրեք սպեկտրի տեսակը, որը վերբեռնվել է:"
Analysis,Վերլուծություն
Processed,Մշակված
Uploaded,Վերբեռնված է
Spectrum to Analyze Help,Օգնության վերլուծության սպեկտր
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Այս ընտրությունը կորոշի, թե արդյոք վերբեռնված (չմշակված) սպեկտրը կամ մշակման ներդիրի միջոցով մշակված սպեկտրը կօգտագործվի սպեկտրի համընկնում:"
Region,Տարածաշրջան
Full,Լի
Peaks,Պիկեր
Region to Match Help,"Տարածաշրջան, որը համապատասխանում է օգնություն"
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Այս ընտրությունը կորոշի, թե գրադարանը, որին դուք համապատասխանում եք, բաղկացած է ամբողջ սպեկտրից, թե միայն սպեկտրի գագաթներից:"
Partner With Us,Գործընկեր մեզ հետ
Help us reach our goal of revolutionizing spectroscopy.,Օգնեք մեզ հասնել սպեկտրոսկոպիայի հեղափոխության մեր նպատակին:
Donate Cash,Նվիրաբերեք կանխիկ գումար
Buy From Swag Store,Գնեք Swag Store-ից
Contribute time,Նպաստել ժամանակին
Revolutionizing,Հեղափոխական
Thriving,Ծաղկող
Maintaining,Պահպանում
Supporting,Աջակցող
Saving,Խնայողություն
