en,id
About,Tentang
Welcome,Selamat datang
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Bergabunglah dengan ratusan peneliti dari sekitar
           dunia yang merupakan bagian dari komunitas Open Specy dengan
           menganalisis, berbagi, memproses, dan mengidentifikasi
           spektrum Raman dan IR mereka. Layanan ini gratis dan open source berkat mitra kami:"
Quick Video Tutorial,Video Tutorial Cepat
Instructions,instruksi
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Sekilas: Untuk menggunakan alat ini, unggah file csv, asp, jdx, spc, atau spa ke tab unggah file.
                                  Jika csv, satu kolom harus diberi nama 'bilangan gelombang' (dalam satuan 1/cm) dan kolom lainnya bernama 'intensitas'.
                                  Anda dapat menghaluskan data menggunakan filter SG, mengoreksi data dasar menggunakan urutan polinomial iModPolyFit, dan membatasi rentang panjang gelombang untuk pencocokan.
                                  Hasilnya akan dibandingkan dengan perpustakaan spektrum Raman atau FTIR internal. 1000 pertandingan terkuat bersama dengan Anda
                                  data yang diunggah atau diproses akan disajikan dalam plot dan tabel interaktif. Selengkapnya klik tombol di bawah ini
                                  atau menonton video instruksional rinci."
Detailed Standard Operating Procedure,Prosedur Operasi Standar Terperinci
Download Open Data,Unduh Data Terbuka
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Spektrum referensi bersumber dari sumber daya akses terbuka
           online, publikasi peer review, dan sumbangan perusahaan. Di masa depan
           spektrum yang diunggah ke alat akan dimasukkan ke referensi
           perpustakaan agar lebih baik lagi."
Raman Reference Library,Perpustakaan Referensi Raman
FTIR Reference Library,Perpustakaan Referensi FTIR
Raman Reference Library Metadata,Metadata Perpustakaan Referensi Raman
FTIR Reference Library Metadata,Metadata Pustaka Referensi FTIR
Contribute Spectra,Sumbangkan Spektrum
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Untuk berbagi spektrum, unggah file ke tab unggah file. Jika Anda memilih Bagikan, salinan spektrum Anda akan dikirim ke Komunitas
           Data Warehouse pada Open Science Framework. Untuk menambahkan metadata tambahan,
           isi bidang metadata yang tersedia dan klik -Bagikan Data-. Itu
           file spektrum yang Anda unggah bersama dengan tanggapan Anda akan disalin
           ke subfolder a -Dengan Metadata- di tautan di bawah ini. Semua penyimpanan data bersama
           Lisensi Atribusi Creative Commons 4.0."
Community Data Warehouse,Gudang Data Komunitas
Tool Validation,Validasi Alat
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Semua parameter dalam alat ini diuji untuk memvalidasinya
           alat ini berfungsi sebaik mungkin dan menentukan default terbaik
           parameter untuk digunakan. Prosedur validasi kami saat ini mencakup koreksi
           entri duplikat di perpustakaan referensi, memeriksa spektrum di
           metadata yang tidak ada di perpustakaan spektral, dan memastikan default
           parameter memberikan akurasi lebih dari 80% di pertandingan pertama."
Detailed Validation Procedure,Prosedur Validasi Rinci
"Updates, Feature Requests, and Bug Reports","Pembaruan, Permintaan Fitur, dan Laporan Bug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Kami melacak semua pembaruan menggunakan kontrol versi pada kode kami. Fitur dapat diminta dan bug dilaporkan di GitHub.
Stay up to date!,Tetap terkini!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Ikuti kami di Twitter @OpenSpecy. Email wincowger@gmail.com untuk ditambahkan ke milis.
Citation,Kutipan
Useful Links,Tautan Berguna
Free FTIR Software: siMPle microplastic IR spectral identification software,Perangkat Lunak FTIR Gratis: perangkat lunak identifikasi spektral IR mikroplastik sederhana
Free Spectroscopy Learning Academy from ThermoFisher,Akademi Pembelajaran Spektroskopi Gratis dari ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Sumber Belajar Mikroskop Optik Gratis dari Florida State University
Free desktop application for spectral analysis and links to reference databases.,Aplikasi desktop gratis untuk analisis spektral dan tautan ke database referensi.
Terms And Conditions,Syarat dan Ketentuan
Privacy Policy,Rahasia pribadi
Upload File,Unggah data
"Upload, View, and Share Spectra","Unggah, Lihat, dan Bagikan Spektrum"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Pilih File .csv (lebih disukai), .asp, .jdx, .spc, .spa, atau .0"
Share Your Data?,Bagikan Data Anda?
Share Help,Bagikan Bantuan
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Jika Anda mau, kami membagikan spektrum dan pengaturan yang Anda unggah dengan komunitas spektroskopi.
           Secara default, semua data akan dilisensikan di bawah Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Spektrum yang diunggah akan muncul di sini: https://osf.io/rjg3c"
Upload Help,Unggah Bantuan
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Unggah file spektrum Raman atau FTIR sebagai csv, jdx, spc, atau spa. File csv lebih disukai. Jika csv, file harus berisi satu kolom berlabel 'bilangan gelombang' dalam satuan (1/cm) dan kolom lain berlabel 'intensitas' dalam satuan absorbansi.
            Jika jdx, spc, spa, atau 0 file harus berupa spektrum absorbansi tunggal dengan bilangan gelombang dalam (1/cm). File-file ini tidak akan selalu berfungsi dengan sempurna karena sulit dibaca, jadi periksa kembali di perangkat lunak lain.
            Tekan tombol 'Uji Data' untuk mengunduh sampel spektrum Raman."
Intensity Adjustment,Penyesuaian Intensitas
None,Tidak ada
Transmittance,Transmisi
Reflectance,reflektansi
Intensity Correction Help,Bantuan Koreksi Intensitas
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Jika spektrum yang diunggah tidak dalam satuan absorbansi,
           gunakan input ini untuk menentukan unit yang akan dikonversi.Open Specy can
           sesuaikan spektrum reflektansi atau transmisi ke unit Absorbansi menggunakan
           tarik-turun ini di tab unggah file. Semua tab sebelumnya
           asumsikan bahwa data dalam satuan absorbansi sehingga Anda harus membuat
           koreksi sebelum melanjutkan jika diperlukan. Penyesuaian transmisi
           menggunakan perhitungan log10(1/T) yang tidak benar untuk sistem
           dan karakteristik partikel. Penyesuaian reflektansi menggunakan
           Persamaan Kubelka-Munk (1-R)2/(2*R). Kami berasumsi bahwa reflektansi
           diformat sebagai persen dari 1-100 dan pertama-tama perbaiki intensitasnya dengan membaginya dengan 100
           sehingga sesuai dengan bentuk yang diharapkan oleh persamaan.
           Jika tidak ada yang dipilih, Open Specy mengasumsikan bahwa data yang diunggah adalah
           spektrum absorbansi."
Sample File,Contoh File
Sample Data Help,Contoh Data Bantuan
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Ini adalah spektrum sampel yang dapat diunggah ke alat untuk mengujinya dan memahami bagaimana file csv harus diformat.
Metadata Input,Masukan Metadata
Metadata Help,Bantuan Metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Kami membagikan spektrum dan metadata yang diunggah dengan komunitas spektroskopi jika Anda mengisi metadata di sini dan memilih bagikan.
           Spektrum dan metadata yang diunggah akan muncul di sini: https://osf.io/rjg3c"
Share Metadata,Bagikan Metadata
Upload some data to get started...,Unggah beberapa data untuk memulai...
Preprocess Spectrum,Spektrum Praproses
"Smooth, Baseline Correct, and Download Processed Spectra","Halus, Dasar Benar, dan Unduh Spektrum yang Diproses"
Download (recommended),Unduh (disarankan)
Download Help,Unduh Bantuan
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Beberapa pengguna mungkin ingin menyimpan salinan spektrum yang diproses. Tombol ini mengunduh spektrum yang diproses sebagai file csv.
Smoothing,menghaluskan
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Halus ini dapat meningkatkan rasio sinyal terhadap noise data dan menggunakan filter Savitzky-Golay dengan 12 titik data berjalan dan polinomial yang ditentukan.
Smoothing Polynomial,Menghaluskan Polinomial
Baseline Correction,Koreksi Dasar
Baseline Correction Help,Bantuan Koreksi Dasar
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Rutin koreksi baseline ini memiliki dua opsi untuk koreksi baseline, 1) prosedur polinomial imodpolyfit untuk mencari garis dasar spektrum secara iteratif menggunakan kecocokan polinomial ke seluruh wilayah spektrum. 2) garis manual dapat digambar menggunakan alat garis pada plot dan tombol yang benar akan menggunakan garis untuk mengurangi garis dasar."
Baseline Correction Polynomial,Polinomial Koreksi Dasar
Technique,Teknik
Polynomial,polinomial
Manual,manual
Correct With Trace,Benar Dengan Jejak
Reset,Mengatur ulang
Range Selection,Pilihan Rentang
Spectral Range Help,Bantuan Rentang Spektral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Membatasi rentang spektral dapat menghapus wilayah spektrum di mana tidak ada puncak dan meningkatkan pencocokan
Maximum Spectral Range,Rentang Spektral Maksimum
Minimum Spectral Range,Rentang Spektral Minimum
Identify Spectrum,Identifikasi Spektrum
Identify Spectrum Using the Reference Library,Identifikasi Spektrum Menggunakan Pustaka Referensi
Raman,Raman
FTIR,FTIR
Spectra,spektrum
Type,Jenis
Spectrum Type Help,Bantuan Jenis Spektrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Pemilihan ini akan menentukan apakah FTIR atau Raman matching library yang digunakan. Pilih jenis spektrum yang diunggah.
Analysis,Analisis
Processed,Diproses
Uploaded,Diunggah
Spectrum to Analyze Help,Spektrum untuk Menganalisis Bantuan
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Pemilihan ini akan menentukan apakah spektrum yang diunggah (tidak diproses) atau spektrum yang diproses menggunakan tab pemrosesan digunakan dalam pencocokan spektrum.
Region,Wilayah
Full,Penuh
Peaks,puncak
Region to Match Help,Bantuan Wilayah untuk Mencocokkan
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Pilihan ini akan menentukan apakah perpustakaan yang Anda cocokkan terdiri dari spektrum penuh atau hanya puncak spektrum.
Partner With Us,Bermitra Dengan Kami
Help us reach our goal of revolutionizing spectroscopy.,Bantu kami mencapai tujuan kami untuk merevolusi spektroskopi.
Donate Cash,Donasi Uang Tunai
Buy From Swag Store,Beli Dari Toko Swag
Contribute time,Kontribusi waktu
Revolutionizing,merevolusi
Thriving,berkembang
Maintaining,Memelihara
Supporting,mendukung
Saving,Penghematan
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Tim berbayar yang mendorong Open Specy lebih dekat ke tujuan akhir identifikasi spektral 100% akurat dan diagnostik spektral mendalam dengan satu klik
A single paid staff person working to update and build the community and the tool,Satu orang staf berbayar yang bekerja untuk memperbarui dan membangun komunitas dan alat
Maintenance costs and minor ad-hoc updates and bug fixes,Biaya pemeliharaan dan pembaruan ad-hoc kecil dan perbaikan bug
