en,ig
About,Ihe gbasara
Welcome,Nnọọ
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Soro narị narị ndị nyocha si gburugburu
           ụwa ndị bụ akụkụ nke obodo Open Specy site
           nyocha, ịkekọrịta, nhazi, na ịmata
           ha Raman na IR ụdịdị. Ọrụ ndị a bụ n'efu na ebe mepere emepe ekele maka ndị mmekọ anyị:"
Quick Video Tutorial,Nkuzi vidiyo ngwa ngwa
Instructions,Ntuziaka
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Na nkenke: Iji ngwá ọrụ bulite csv, asp, jdx, spc, ma ọ bụ spa faịlụ na taabụ faịlụ bulite.
                                  Ọ bụrụ csv, otu kọlụm kwesịrị ịkpọ 'wavenumber' (na nkeji nke 1/cm) yana nke ọzọ akpọrọ 'ike'.
                                  Ị nwere ike ime ka data gị dị nro site na iji nzacha SG, ntọala ntọala na-eji usoro iModPolyFit nke ọtụtụ ọnụọgụ na-edozi data gị, ma gbochie ogologo ogologo ogologo maka egwuregwu ahụ.
                                  A ga-atụnyere nsonaazụ ya n'ọbá akwụkwọ dị n'ime Raman ma ọ bụ FTIR. Egwuregwu 1000 kachasị ike yana gị
                                  A ga-ewepụta data ebugoro ma ọ bụ ahaziri na nkata na tebụl mmekọrịta. Maka nkọwa ndị ọzọ pịa bọtịnụ dị n'okpuru
                                  ma ọ bụ lelee vidiyo nkuzi zuru ezu."
Detailed Standard Operating Procedure,Usoro nhazi ọkọlọtọ zuru ezu
Download Open Data,Budata Mepee Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Isi nrụtụ aka sitere na akụrụngwa ohere mepere emepe
           online, akwụkwọ ndị ọgbọ nyochara, na onyinye ụlọ ọrụ. N'ọdịnihu
           spectra nke ebugoro na ngwa a ga-etinye na ntụaka
           ọbá akwụkwọ ka ọ ka mma."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,Ọbá akwụkwọ ntụaka FTIR
Raman Reference Library Metadata,Metadata ọbá akwụkwọ Reference
FTIR Reference Library Metadata,metadata akwụkwọ ntụaka FTIR
Contribute Spectra,Nye aka Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Iji kesaa spectra bulite faịlụ na taabụ faịlụ bulite. Ọ bụrụ na ị họrọ Kekọrịta otu ụdị spectra gị, a ga-ezigara Ogbe
           Ụlọ nkwakọba ihe data na usoro sayensị mepere emepe. Ka ịgbakwunye metadata ọzọ,
           dejupụta mpaghara metadata dị na ya wee pịa -Share Data-. Nke
           A ga-eṅomi faịlụ spectra nke ị bugoro yana nzaghachi gị
           na a -With Metadata- nchekwa nchekwa na njikọ dị n'okpuru. Ekekọrịtara data niile
           Ikikere njiri mara ihe okike 4.0."
Community Data Warehouse,Ụlọ nkwakọba ihe data obodo
Tool Validation,Ngwa nkwado
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","A na-anwale parampat niile dị na ngwa a iji kwado nke ahụ
           ngwá ọrụ ahụ na-arụ ọrụ dịka o kwere mee ma chọpụta ihe ndabara kacha mma
           parameters iji. Usoro nkwado anyị ugbu a gụnyere imezi
           ndenye oyiri n'ime ọba akwụkwọ ntụaka, na-elele maka spectra in
           metadata nke na-anọghị n'ọbá akwụkwọ spectral, yana hụ na ndabara adịghị
           paramita na-enye ihe karịrị 80% izi ezi na egwuregwu mbụ."
Detailed Validation Procedure,Usoro nkwado zuru ezu
"Updates, Feature Requests, and Bug Reports","Mmelite, Arịrịọ atụmatụ na mkpesa ahụhụ"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Anyị na-edobe mmelite niile site na iji njikwa ụdị na koodu anyị. Enwere ike ịrịọ atụmatụ yana kọọ ahụhụ na GitHub.
Stay up to date!,Jikọọ ihe ọhụrụ!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Soro anyị na Twitter @OpenSpecy. E-mail wincowger@gmail.com ka agbakwunyere na ndepụta nzipu ozi.
Citation,Ntụtu aka
Useful Links,Njikọ bara uru
