en,is
About,Um
Welcome,Velkominn
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Gakktu til liðs við hundruð vísindamanna víðsvegar að
           heiminum sem eru hluti af Open Specy samfélaginu af
           greina, deila, vinna úr og bera kennsl á
           Raman og IR litróf þeirra. Þessi þjónusta er ókeypis og opinn uppspretta þökk sé samstarfsaðilum okkar:"
Quick Video Tutorial,Fljótleg kennslumyndbönd
Instructions,Leiðbeiningar
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Í stuttu máli: Til að nota tólið skaltu hlaða upp csv, asp, jdx, spc eða spa skrá á upphleðsluskráarflipann.
                                  Ef csv ætti einn dálkur að heita 'bylgjutala' (í einingum 1/cm) og annar nefndur 'styrkleiki'.
                                  Þú getur slétt gögnin þín með því að nota SG síu, grunnlínu leiðrétt gögnin þín með því að nota margliðunarröð iModPolyFit og takmarka bylgjulengdarsviðið fyrir samsvörun.
                                  Niðurstaðan verður borin saman við innra Raman eða FTIR litrófssafn. Sterkustu 1000 leikirnir ásamt þínum
                                  hlaðið upp eða unnið gögn verða kynnt í gagnvirkri söguþræði og töflu. Fyrir frekari upplýsingar smelltu á hnappinn hér að neðan
                                  eða horfðu á ítarlegt kennslumyndband."
Detailed Standard Operating Procedure,Ítarlegar staðlaðar verklagsreglur
Download Open Data,Sækja opin gögn
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Tilvísunarróf voru fengin frá opnum aðgangsauðlindum
           á netinu, ritrýndar útgáfur og framlög fyrirtækja. Í framtíðinni
           litróf sem hlaðið er upp í tólið verður fellt inn í tilvísunina
           bókasafn til að gera það enn betra."
Raman Reference Library,Raman tilvísunarbókasafn
FTIR Reference Library,FTIR tilvísunarsafn
Raman Reference Library Metadata,Raman Reference Library Lýsigögn
FTIR Reference Library Metadata,Lýsigögn FTIR tilvísunarsafns
Contribute Spectra,Leggðu til Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Til að deila litróf skaltu hlaða upp skrá á upphleðsluskráarflipann. Ef þú valdir Deila verður afrit af litrófinu þínu sent til samfélagsins
           Data Warehouse on Open Science Framework. Til að bæta við viðbótar lýsigögnum,
           fylltu út tiltæka lýsigagnareitina og smelltu á -Deila gögnum-. The
           spectra skrá sem þú hlóðst upp ásamt svörum þínum verður afrituð
           í -With Metadata- undirmöppuna á hlekknum hér að neðan. Öll sameiginleg gögn geyma
           a Creative Commons Attribution License 4.0."
Community Data Warehouse,Gagnahús samfélagsins
Tool Validation,Staðfesting verkfæra
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Allar breytur í þessu tóli eru prófaðar til að sannreyna það
           tólið virkar eins vel og hægt er og ákvarðar besta sjálfgefið
           færibreytur til að nota. Núverandi staðfestingarferli okkar felur í sér leiðréttingu
           afritaðar færslur í tilvísunarsöfnunum, athuga með litróf í
           lýsigögn sem eru ekki í litrófssafninu og tryggja sjálfgefið
           færibreytur veita yfir 80% nákvæmni í fyrstu samsvörun."
Detailed Validation Procedure,Nákvæmt löggildingarferli
"Updates, Feature Requests, and Bug Reports","Uppfærslur, eiginleikabeiðnir og villuskýrslur"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Við höldum utan um allar uppfærslur með útgáfustýringu á kóðanum okkar. Hægt er að biðja um eiginleika og tilkynna villu á GitHub.
Stay up to date!,Vertu uppfærður!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Fylgdu okkur á Twitter @OpenSpecy. Tölvupóstur wincowger@gmail.com til að bætast á póstlistann.
Citation,Tilvitnun
Useful Links,Gagnlegar hlekkir
Free FTIR Software: siMPle microplastic IR spectral identification software,Ókeypis FTIR hugbúnaður: einfaldur örplast IR litrófsgreiningarhugbúnaður
Free Spectroscopy Learning Academy from ThermoFisher,Ókeypis Spectroscopy Learning Academy frá ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Ókeypis námsefni í sjónsmásjá frá Florida State University
Free desktop application for spectral analysis and links to reference databases.,Ókeypis skrifborðsforrit fyrir litrófsgreiningu og tengla á tilvísunargagnagrunna.
Terms And Conditions,Skilmálar og skilyrði
Privacy Policy,Friðhelgisstefna
Upload File,Hladdu upp skrá
"Upload, View, and Share Spectra","Hladdu upp, skoðaðu og deildu Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Veldu .csv (valið), .asp, .jdx, .spc, .spa eða .0 skrá"
Share Your Data?,Deila gögnunum þínum?
Share Help,Deila hjálp
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Ef þú vilt, deilum við upphlöðnu litrófinu þínu og stillingum með litrófsgreiningarsamfélaginu.
           Sjálfgefið er að öll gögn fá leyfi samkvæmt Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Upphlaðið litróf mun birtast hér: https://osf.io/rjg3c"
Upload Help,Hlaða upp hjálp
