en,ja
About,約
Welcome,いらっしゃいませ
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","周りから何百人もの研究者に参加する
           OpenSpecyコミュニティの一部である世界
           分析、共有、処理、および識別
           それらのラマンおよびIRスペクトル。これらのサービスは、パートナーのおかげで無料でオープンソースです。"
Quick Video Tutorial,クイックビデオチュートリアル
Instructions,手順
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","簡単に説明すると、ツールを使用するには、csv、asp、jdx、spc、またはspaファイルを[ファイルのアップロード]タブにアップロードします。
                                  csvの場合、1つの列には「波数」（1 / cm単位）という名前を付け、別の列には「強度」という名前を付ける必要があります。
                                  SGフィルターを使用してデータを平滑化し、iModPolyFitの多項式次数を使用してデータをベースライン補正し、一致の波長範囲を制限できます。
                                  結果は、内部ラマンまたはFTIRスペクトルライブラリと比較されます。あなたと一緒に最強の1000試合
                                  アップロードまたは処理されたデータは、インタラクティブなプロットとテーブルに表示されます。詳細については、下のボタンをクリックしてください
                                  または詳細な説明ビデオをご覧ください。"
Detailed Standard Operating Procedure,詳細な標準操作手順
Download Open Data,オープンデータをダウンロードする
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","参照スペクトルは、オープンアクセスリソースから供給されました
           オンライン、査読済みの出版物、および企業からの寄付。将来
           ツールにアップロードされたスペクトルは、リファレンスに組み込まれます
           それをさらに良くするためのライブラリ。"
Raman Reference Library,ラマンリファレンスライブラリ
FTIR Reference Library,FTIRリファレンスライブラリ
Raman Reference Library Metadata,ラマンリファレンスライブラリメタデータ
FTIR Reference Library Metadata,FTIRリファレンスライブラリメタデータ
Contribute Spectra,スペクトルを提供する
