en,jw
About,Babagan
Welcome,Sugeng rawuh
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Gabung karo atusan peneliti saka sak
           donya sing bagéan saka komunitas Open Specy dening
           nganalisa, nuduhake, ngolah, lan ngenali
           spektrum Raman lan IR. Layanan iki gratis lan open source thanks kanggo mitra:"
Quick Video Tutorial,Tutorial Video Cepet
Instructions,instruksi
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Singkat: Kanggo nggunakake alat, upload file csv, asp, jdx, spc, utawa spa menyang tab file unggahan.
                                  Yen csv, siji kolom kudu dijenengi 'wavenumber' (ing unit 1/cm) lan liyane dijenengi 'intensitas'.
                                  Sampeyan bisa Gamelan data nggunakake Filter SG, baseline mbenerake data nggunakake urutan polinomial saka iModPolyFit, lan matesi sawetara dawa gelombang kanggo cocog.
                                  Asil bakal dibandhingake karo Raman internal utawa perpustakaan spektrum FTIR. 1000 pertandhingan paling kuat bebarengan karo sampeyan
                                  data sing diunggah utawa diproses bakal ditampilake ing plot lan tabel interaktif. Kanggo rincian liyane klik tombol ing ngisor iki
                                  utawa nonton video instruksional sing rinci."
Detailed Standard Operating Procedure,Detailed Standard Operating Procedure
Download Open Data,Unduh Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Spektrum referensi sumber saka sumber daya akses mbukak
           online, publikasi peer reviewed, lan sumbangan perusahaan. Ing mangsa ngarep
           spektrum sing diunggah menyang alat bakal digabung menyang referensi
           perpustakaan supaya luwih apik."
Raman Reference Library,Pustaka Raman
FTIR Reference Library,Pustaka Referensi FTIR
Raman Reference Library Metadata,Metadata Pustaka Referensi Raman
FTIR Reference Library Metadata,Metadata Pustaka Referensi FTIR
Contribute Spectra,Kontribusi Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Kanggo nuduhake spektrum, upload file menyang tab upload file. Yen sampeyan milih Nuduhake salinan spektrum sampeyan bakal dikirim menyang Komunitas
           Data Warehouse ing Open Science Framework. Kanggo nambah metadata tambahan,
           isi kolom metadata sing kasedhiya banjur klik -Share Data-. Ing
           file spectra sing sampeyan upload bebarengan karo tanggapan sampeyan bakal disalin
           menyang subfolder -With Metadata- ing pranala ing ngisor iki. Kabeh data sing dienggo bareng terus
           Lisensi Atribusi Creative Commons 4.0."
Community Data Warehouse,Gudang Data Komunitas
Tool Validation,Validasi Alat
