en,ka
About,შესახებ
Welcome,მოგესალმებით
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","შეუერთდით ასობით მკვლევარს მთელი მსოფლიოს მასშტაბით
           მსოფლიოს, რომლებიც არიან Open Specy საზოგადოების ნაწილი
           ანალიზი, გაზიარება, დამუშავება და იდენტიფიცირება
           მათი რამანის და IR სპექტრები. ეს სერვისები უფასო და ღია წყაროა ჩვენი პარტნიორების წყალობით:"
Quick Video Tutorial,სწრაფი ვიდეო გაკვეთილი
Instructions,ინსტრუქციები
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","მოკლედ: ინსტრუმენტის გამოსაყენებლად ატვირთეთ csv, asp, jdx, spc ან spa ფაილი ატვირთვის ფაილის ჩანართზე.
                                  თუ csv, ერთ სვეტს უნდა ეწოდოს „ტალღის რიცხვი“ (ერთეულებში 1/სმ) და მეორეს „ინტენსივობა“.
                                  შეგიძლიათ თქვენი მონაცემების გასწორება SG ფილტრის გამოყენებით, საბაზისო შეასწოროთ თქვენი მონაცემები iModPolyFit-ის პოლინომიური რიგის გამოყენებით და შეზღუდოთ ტალღის სიგრძის დიაპაზონი შესატყვისისთვის.
                                  შედეგი შევადარებთ Raman ან FTIR სპექტრის შიდა ბიბლიოთეკას. უძლიერესი 1000 მატჩი შენთან ერთად
                                  ატვირთული ან დამუშავებული მონაცემები წარმოდგენილი იქნება ინტერაქტიულ ნახაზში და ცხრილში. დამატებითი დეტალებისთვის დააჭირეთ ქვემოთ მოცემულ ღილაკს
                                  ან ნახეთ დეტალური სასწავლო ვიდეო."
Detailed Standard Operating Procedure,დეტალური სტანდარტული საოპერაციო პროცედურა
Download Open Data,ჩამოტვირთეთ Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","საცნობარო სპექტრები მიღებული იყო ღია წვდომის რესურსებიდან
           ონლაინ, რეცენზირებული პუბლიკაციები და კორპორატიული შემოწირულობები. Მომავალში
           სპექტრები, რომლებიც ატვირთულია ხელსაწყოში, ჩართული იქნება მითითებაში
           ბიბლიოთეკა კიდევ უფრო უკეთესი გახადოს."
Raman Reference Library,რამანის საცნობარო ბიბლიოთეკა
FTIR Reference Library,FTIR საცნობარო ბიბლიოთეკა
Raman Reference Library Metadata,რამანის საცნობარო ბიბლიოთეკის მეტამონაცემები
FTIR Reference Library Metadata,FTIR საცნობარო ბიბლიოთეკის მეტამონაცემები
Contribute Spectra,წვლილი შეიტანეთ Spectra
