en,kk
About,туралы
Welcome,Қош келдіңіз
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Айналадағы жүздеген зерттеушілерге қосылыңыз
           Open Specy қауымдастығының бөлігі болып табылатын әлем
           талдау, бөлісу, өңдеу және анықтау
           олардың Раман және ИҚ спектрлері. Бұл қызметтер серіктестеріміздің арқасында тегін және ашық көзі болып табылады:"
Quick Video Tutorial,Жылдам бейне оқулық
Instructions,Нұсқаулар
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Қысқаша: Құралды пайдалану үшін csv, asp, jdx, spc немесе spa файлын жүктеп салу файлы қойындысына жүктеңіз.
                                  Егер csv болса, бір баған ""толқын саны"" (1/см өлшем бірліктерімен) және екіншісі ""қарқындылық"" деп аталу керек.
                                  SG сүзгісі арқылы деректеріңізді тегістеуге, iModPolyFit полиномдық ретін пайдаланып деректеріңізді бастапқы түзетуге және сәйкестік үшін толқын ұзындығы ауқымын шектеуге болады.
                                  Нәтиже ішкі Раман немесе FTIR спектрлерінің кітапханасымен салыстырылады. Сізбен бірге ең күшті 1000 матч
                                  жүктелген немесе өңделген деректер интерактивті сюжетте және кестеде көрсетіледі. Қосымша мәліметтер алу үшін төмендегі түймені басыңыз
                                  немесе егжей-тегжейлі нұсқаулық бейнені қараңыз."
Detailed Standard Operating Procedure,Толық стандартты операциялық процедура
Download Open Data,Ашық деректерді жүктеп алыңыз
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Анықтамалық спектрлер ашық қолжетімді ресурстардан алынды
           онлайн, сараптамалық жарияланымдар және корпоративтік қайырымдылықтар. Болашақта
           құралға жүктеп салынған спектрлер сілтемеге қосылады
           оны одан да жақсарту үшін кітапхана."
Raman Reference Library,Раман анықтамалық кітапханасы
FTIR Reference Library,FTIR анықтамалық кітапханасы
Raman Reference Library Metadata,Раман анықтамалық кітапханасының метадеректері
FTIR Reference Library Metadata,FTIR анықтамалық кітапханасының метадеректері
Contribute Spectra,Спектрге үлес қосыңыз
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Спектрлерді ортақ пайдалану үшін файлды жүктеп салу файлы қойындысына жүктеңіз. Бөлісуді таңдасаңыз, спектрлеріңіздің көшірмесі қауымдастыққа жіберіледі
           Open Science Framework бойынша деректер қоймасы. Қосымша метадеректер қосу үшін,
           қол жетімді метадеректер өрістерін толтырыңыз және -Деректерді ортақ пайдалану- түймесін басыңыз. The
           жауаптармен бірге жүктеп салған spectra файлы көшіріледі
           төмендегі сілтемедегі a -With Metdata- ішкі қалтасына өтіңіз. Барлық ортақ деректер сақталады
           Creative Commons атрибуты лицензиясы 4.0."
Community Data Warehouse,Қауымдастық деректер қоймасы
Tool Validation,Құралды тексеру
