en,km
About,អំពី
Welcome,សូមស្វាគមន៍
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","ចូលរួមជាមួយអ្នកស្រាវជ្រាវរាប់រយនាក់មកពីជុំវិញ
           ពិភពលោកដែលជាផ្នែកមួយនៃសហគមន៍ Open Specy ដោយ
           ការវិភាគ ចែករំលែក ដំណើរការ និងកំណត់អត្តសញ្ញាណ
           Raman និង IR spectra របស់ពួកគេ។ សេវាកម្មទាំងនេះគឺឥតគិតថ្លៃ និងប្រភពបើកចំហរ សូមអរគុណដល់ដៃគូរបស់យើង៖"
Quick Video Tutorial,ការបង្រៀនវីដេអូរហ័ស
Instructions,សេចក្តីណែនាំ
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","សង្ខេប៖ ដើម្បីប្រើឧបករណ៍ផ្ទុកឯកសារ csv, asp, jdx, spc ឬ spa ទៅផ្ទាំងឯកសារផ្ទុកឡើង។
                                  ប្រសិនបើ csv ជួរឈរមួយគួរតែដាក់ឈ្មោះថា 'wavenumber' (ជាឯកតានៃ 1/cm) និងមួយទៀតដាក់ឈ្មោះថា 'intensity'។
                                  អ្នកអាចធ្វើឱ្យទិន្នន័យរបស់អ្នករលូនដោយប្រើតម្រង SG បន្ទាត់មូលដ្ឋានកែតម្រូវទិន្នន័យរបស់អ្នកដោយប្រើលំដាប់ពហុនាមនៃ iModPolyFit និងដាក់កម្រិតជួររលកសម្រាប់ការប្រកួត។
                                  លទ្ធផលនឹងត្រូវបានប្រៀបធៀបទៅនឹងបណ្ណាល័យ Raman ឬ FTIR spectra ខាងក្នុង។ ការប្រកួតខ្លាំងបំផុត 1000 រួមជាមួយរបស់អ្នក។
                                  ទិន្នន័យដែលបានផ្ទុកឡើង ឬដំណើរការនឹងត្រូវបានបង្ហាញនៅក្នុងគ្រោង និងតារាងអន្តរកម្ម។ សម្រាប់ព័ត៌មានលម្អិតសូមចុចលើប៊ូតុងខាងក្រោម
                                  ឬមើលវីដេអូបង្រៀនលម្អិត។"
Detailed Standard Operating Procedure,នីតិវិធីប្រតិបត្តិការស្តង់ដារលម្អិត
Download Open Data,ទាញយកទិន្នន័យបើកចំហ
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","វិសាលគមយោងត្រូវបានប្រភពចេញពីប្រភពបើកចំហ
           តាមអ៊ីនធឺណិត មិត្តភ័ក្តិបានពិនិត្យការបោះពុម្ពផ្សាយ និងការបរិច្ចាគសាជីវកម្ម។ នៅពេលអនាគត
           spectra ដែល​ត្រូវ​បាន​ផ្ទុក​ឡើង​ទៅ​ឧបករណ៍​នឹង​ត្រូវ​បាន​បញ្ចូល​ទៅ​ក្នុង​ឯកសារ​យោង
           បណ្ណាល័យដើម្បីធ្វើឱ្យវាកាន់តែប្រសើរឡើង។"
Raman Reference Library,បណ្ណាល័យឯកសារយោង Raman
