en,kn
About,ಬಗ್ಗೆ
Welcome,ಸ್ವಾಗತ
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","ಸುತ್ತಮುತ್ತಲಿನ ನೂರಾರು ಸಂಶೋಧಕರನ್ನು ಸೇರಿಕೊಳ್ಳಿ
           ಮುಕ್ತ ಜಾತಿಯ ಸಮುದಾಯದ ಭಾಗವಾಗಿರುವ ಜಗತ್ತು
           ವಿಶ್ಲೇಷಣೆ, ಹಂಚಿಕೆ, ಸಂಸ್ಕರಣೆ ಮತ್ತು ಗುರುತಿಸುವಿಕೆ
           ಅವರ ರಾಮನ್ ಮತ್ತು ಐಆರ್ ಸ್ಪೆಕ್ಟ್ರಾ. ಈ ಸೇವೆಗಳು ಉಚಿತ ಮತ್ತು ಮುಕ್ತ ಮೂಲವಾಗಿದ್ದು ನಮ್ಮ ಪಾಲುದಾರರಿಗೆ ಧನ್ಯವಾದಗಳು:"
Quick Video Tutorial,ತ್ವರಿತ ವೀಡಿಯೊ ಟ್ಯುಟೋರಿಯಲ್
Instructions,ಸೂಚನೆಗಳು
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","ಸಂಕ್ಷಿಪ್ತವಾಗಿ: ಉಪಕರಣವನ್ನು ಬಳಸಲು csv, asp, jdx, spc, ಅಥವಾ ಸ್ಪಾ ಫೈಲ್ ಅನ್ನು ಅಪ್‌ಲೋಡ್ ಫೈಲ್ ಟ್ಯಾಬ್‌ಗೆ ಅಪ್‌ಲೋಡ್ ಮಾಡಿ.
                                  csv ಆಗಿದ್ದರೆ, ಒಂದು ಕಾಲಮ್ ಅನ್ನು 'ವೇವೆನಂಬರ್' ಎಂದು ಹೆಸರಿಸಬೇಕು (1/cm ನ ಘಟಕಗಳಲ್ಲಿ) ಮತ್ತು ಇನ್ನೊಂದು 'ತೀವ್ರತೆ' ಎಂದು ಹೆಸರಿಸಬೇಕು.
                                  ನೀವು SG ಫಿಲ್ಟರ್ ಅನ್ನು ಬಳಸಿಕೊಂಡು ನಿಮ್ಮ ಡೇಟಾವನ್ನು ಸುಗಮಗೊಳಿಸಬಹುದು, iModPolyFit ನ ಬಹುಪದೀಯ ಕ್ರಮವನ್ನು ಬಳಸಿಕೊಂಡು ನಿಮ್ಮ ಡೇಟಾವನ್ನು ಬೇಸ್‌ಲೈನ್ ಸರಿಪಡಿಸಬಹುದು ಮತ್ತು ಹೊಂದಾಣಿಕೆಗಾಗಿ ತರಂಗಾಂತರ ಶ್ರೇಣಿಯನ್ನು ನಿರ್ಬಂಧಿಸಬಹುದು.
                                  ಫಲಿತಾಂಶವನ್ನು ಆಂತರಿಕ ರಾಮನ್ ಅಥವಾ FTIR ಸ್ಪೆಕ್ಟ್ರಾ ಲೈಬ್ರರಿಗೆ ಹೋಲಿಸಲಾಗುತ್ತದೆ. ನಿಮ್ಮ ಜೊತೆಗೆ ಪ್ರಬಲವಾದ 1000 ಹೊಂದಾಣಿಕೆಗಳು
                                  ಅಪ್‌ಲೋಡ್ ಮಾಡಿದ ಅಥವಾ ಸಂಸ್ಕರಿಸಿದ ಡೇಟಾವನ್ನು ಸಂವಾದಾತ್ಮಕ ಕಥಾವಸ್ತು ಮತ್ತು ಕೋಷ್ಟಕದಲ್ಲಿ ಪ್ರಸ್ತುತಪಡಿಸಲಾಗುತ್ತದೆ. ಹೆಚ್ಚಿನ ವಿವರಗಳಿಗಾಗಿ ಕೆಳಗಿನ ಬಟನ್ ಅನ್ನು ಕ್ಲಿಕ್ ಮಾಡಿ
                                  ಅಥವಾ ವಿವರವಾದ ಸೂಚನಾ ವೀಡಿಯೊವನ್ನು ವೀಕ್ಷಿಸಿ."
Detailed Standard Operating Procedure,ವಿವರವಾದ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಆಪರೇಟಿಂಗ್ ಪ್ರೊಸೀಜರ್
Download Open Data,ತೆರೆದ ಡೇಟಾವನ್ನು ಡೌನ್‌ಲೋಡ್ ಮಾಡಿ
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","ರೆಫರೆನ್ಸ್ ಸ್ಪೆಕ್ಟ್ರಾವನ್ನು ಮುಕ್ತ ಪ್ರವೇಶ ಸಂಪನ್ಮೂಲಗಳಿಂದ ಪಡೆಯಲಾಗಿದೆ
           ಆನ್‌ಲೈನ್, ಪೀರ್ ಪರಿಶೀಲಿಸಿದ ಪ್ರಕಟಣೆಗಳು ಮತ್ತು ಕಾರ್ಪೊರೇಟ್ ದೇಣಿಗೆಗಳು. ಭವಿಷ್ಯದಲ್ಲಿ
           ಉಪಕರಣಕ್ಕೆ ಅಪ್‌ಲೋಡ್ ಮಾಡಲಾದ ಸ್ಪೆಕ್ಟ್ರಾವನ್ನು ಉಲ್ಲೇಖಕ್ಕೆ ಸೇರಿಸಲಾಗುತ್ತದೆ
           ಅದನ್ನು ಇನ್ನಷ್ಟು ಉತ್ತಮಗೊಳಿಸಲು ಗ್ರಂಥಾಲಯ."
Raman Reference Library,ರಾಮನ್ ರೆಫರೆನ್ಸ್ ಲೈಬ್ರರಿ
FTIR Reference Library,FTIR ಉಲ್ಲೇಖ ಗ್ರಂಥಾಲಯ
Raman Reference Library Metadata,ರಾಮನ್ ರೆಫರೆನ್ಸ್ ಲೈಬ್ರರಿ ಮೆಟಾಡೇಟಾ
FTIR Reference Library Metadata,FTIR ರೆಫರೆನ್ಸ್ ಲೈಬ್ರರಿ ಮೆಟಾಡೇಟಾ
Contribute Spectra,ಸ್ಪೆಕ್ಟ್ರಾ ಕೊಡುಗೆ
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","ಸ್ಪೆಕ್ಟ್ರಾವನ್ನು ಹಂಚಿಕೊಳ್ಳಲು ಫೈಲ್ ಅನ್ನು ಅಪ್‌ಲೋಡ್ ಫೈಲ್ ಟ್ಯಾಬ್‌ಗೆ ಅಪ್‌ಲೋಡ್ ಮಾಡಿ. ನೀವು ಹಂಚಿಕೆ ಆಯ್ಕೆ ಮಾಡಿದರೆ ನಿಮ್ಮ ಸ್ಪೆಕ್ಟ್ರಾ ನಕಲನ್ನು ಸಮುದಾಯಕ್ಕೆ ಕಳುಹಿಸಲಾಗುತ್ತದೆ
           ಓಪನ್ ಸೈನ್ಸ್ ಫ್ರೇಮ್‌ವರ್ಕ್‌ನಲ್ಲಿ ಡೇಟಾ ವೇರ್‌ಹೌಸ್. ಹೆಚ್ಚುವರಿ ಮೆಟಾಡೇಟಾವನ್ನು ಸೇರಿಸಲು,
           ಲಭ್ಯವಿರುವ ಮೆಟಾಡೇಟಾ ಕ್ಷೇತ್ರಗಳನ್ನು ಭರ್ತಿ ಮಾಡಿ ಮತ್ತು -ಹಂಚಿಕೊಳ್ಳಿ ಡೇಟಾ- ಕ್ಲಿಕ್ ಮಾಡಿ. ದಿ
           ನಿಮ್ಮ ಪ್ರತಿಕ್ರಿಯೆಗಳೊಂದಿಗೆ ನೀವು ಅಪ್‌ಲೋಡ್ ಮಾಡಿದ ಸ್ಪೆಕ್ಟ್ರಾ ಫೈಲ್ ಅನ್ನು ನಕಲಿಸಲಾಗುತ್ತದೆ
           ಕೆಳಗಿನ ಲಿಂಕ್‌ನಲ್ಲಿ -ವಿತ್ ಮೆಟಾಡೇಟಾ- ಉಪಫೋಲ್ಡರ್‌ಗೆ. ಎಲ್ಲಾ ಹಂಚಿದ ಡೇಟಾ ಹೋಲ್ಡ್‌ಗಳು
           ಕ್ರಿಯೇಟಿವ್ ಕಾಮನ್ಸ್ ಗುಣಲಕ್ಷಣ ಪರವಾನಗಿ 4.0."
Community Data Warehouse,ಸಮುದಾಯ ಡೇಟಾ ವೇರ್ಹೌಸ್
Tool Validation,ಪರಿಕರ ಮೌಲ್ಯೀಕರಣ
