en,ko
About,에 대한
Welcome,어서 오십시오
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","주변의 수백 명의 연구원과 함께하십시오.
           Open Specy 커뮤니티의 일부인 세계
           분석, 공유, 처리 및 식별
           그들의 라만 및 IR 스펙트럼. 이 서비스는 파트너 덕분에 무료이며 오픈 소스입니다."
Quick Video Tutorial,빠른 비디오 자습서
Instructions,지침
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","요약: 도구를 사용하려면 csv, asp, jdx, spc 또는 spa 파일을 업로드 파일 탭에 업로드하십시오.
                                  csv인 경우 한 열의 이름은 '파수'(1/cm 단위)로 지정하고 다른 열의 이름은 '강도'로 지정해야 합니다.
                                  SG 필터를 사용하여 데이터를 평활화하고, iModPolyFit의 다항식 차수를 사용하여 데이터의 기준선을 수정하고, 일치의 파장 범위를 제한할 수 있습니다.
                                  결과는 내부 라만 또는 FTIR 스펙트럼 라이브러리와 비교됩니다. 당신과 함께하는 최강의 1000경기
                                  업로드되거나 처리된 데이터는 대화형 플롯 및 테이블에 표시됩니다. 자세한 내용은 아래 버튼을 클릭하세요
                                  또는 자세한 교육 비디오를 시청하십시오."
Detailed Standard Operating Procedure,세부 표준 운영 절차
Download Open Data,오픈 데이터 다운로드
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","참조 스펙트럼은 오픈 액세스 리소스에서 가져왔습니다.
           온라인, 동료 검토 간행물 및 기업 기부금. 미래에
           도구에 업로드된 스펙트럼은 참조에 통합됩니다.
           라이브러리를 더 좋게 만듭니다."
Raman Reference Library,라만 참조 라이브러리
FTIR Reference Library,FTIR 참조 라이브러리
Raman Reference Library Metadata,라만 참조 라이브러리 메타데이터
FTIR Reference Library Metadata,FTIR 참조 라이브러리 메타데이터
Contribute Spectra,스펙트럼 기여
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","스펙트럼을 공유하려면 파일 업로드 탭에 파일을 업로드하십시오. 공유를 선택하면 스펙트럼 사본이 커뮤니티로 전송됩니다.
           Open Science Framework의 데이터 웨어하우스. 추가 메타데이터를 추가하려면
           사용 가능한 메타데이터 필드를 채우고 -데이터 공유-를 클릭합니다. 그만큼
           응답과 함께 업로드한 스펙트럼 파일이 복사됩니다.
           아래 링크에서 a -With Metadata- 하위 폴더로 이동합니다. 모든 공유 데이터 보유
           크리에이티브 커먼즈 저작자 표시 라이선스 4.0."
Community Data Warehouse,커뮤니티 데이터 웨어하우스
Tool Validation,도구 검증
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","이 도구의 모든 매개변수는 다음을 검증하기 위해 테스트됩니다.
           도구가 최대한 잘 작동하고 최상의 기본값을 결정합니다.
           사용할 매개변수. 현재 검증 절차에는 수정이 포함됩니다.
           참조 라이브러리의 중복 항목, 스펙트럼 확인
           스펙트럼 라이브러리에 없는 메타데이터 및 기본값 보장
           매개변수는 첫 번째 경기에서 80% 이상의 정확도를 제공합니다."
Detailed Validation Procedure,세부 검증 절차
"Updates, Feature Requests, and Bug Reports","업데이트, 기능 요청 및 버그 보고서"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,우리는 코드의 버전 제어를 사용하여 모든 업데이트를 추적합니다. 기능을 요청하고 GitHub에서 버그를 보고할 수 있습니다.
Stay up to date!,최신 정보를 유지하세요!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Twitter @OpenSpecy에서 팔로우하세요. 메일링 리스트에 추가할 이메일 wincowger@gmail.com.
Citation,소환
Useful Links,유용한 링크
Free FTIR Software: siMPle microplastic IR spectral identification software,무료 FTIR 소프트웨어: 간단한 미세 플라스틱 IR 스펙트럼 식별 소프트웨어
Free Spectroscopy Learning Academy from ThermoFisher,ThermoFisher의 무료 분광학 학습 아카데미
Free Optical Microscopy Learning Resource from Florida State University,플로리다 주립 대학의 무료 광학 현미경 학습 리소스
Free desktop application for spectral analysis and links to reference databases.,스펙트럼 분석 및 참조 데이터베이스에 대한 링크를 위한 무료 데스크톱 응용 프로그램입니다.
Terms And Conditions,이용약관
Privacy Policy,개인 정보 정책
Upload File,파일 업로드
"Upload, View, and Share Spectra","스펙트럼 업로드, 보기 및 공유"
