en,ku
About,Ji dor
Welcome,Bi xêr hatî
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Tevlî bi sedan lêkolînerên ji derdorê bibin
           cîhanê ku beşek ji civaka Open Specy in ji aliyê
           analîzkirin, parvekirin, pêvajokirin û naskirin
           Raman û IR spectra wan. Bi saya hevkarên me ev karûbar belaş û çavkaniya vekirî ne:"
Quick Video Tutorial,Zû Vîdyo Tutorial
Instructions,Instructions
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Bi kurtasî: Ji bo ku amûrê bikar bînin pelek csv, asp, jdx, spc, an spa li tabloya pelê barkirinê bar bikin.
                                  Ger csv, stûnek divê bi navê 'hejmara pêlê' (bi yekîneyên 1/cm) û yê din jî bi navê 'tundî' were navandin.
                                  Hûn dikarin daneyên xwe bi karanîna parzûnek SG xweş bikin, bi rêza bingehîn daneyên xwe bi karanîna nîzama polînomî ya iModPolyFit rast bikin, û rêza dirêjahiya pêlê ji bo hevberdanê sînordar bikin.
                                  Encam dê bi pirtûkxaneyek hundurîn a Raman an FTIR re were berhev kirin. 1000 maçên herî xurt digel we
                                  Daneyên barkirî an pêvajoyî dê di nexşeyek û tabloyek înteraktîf de bêne pêşkêş kirin. Ji bo bêtir agahdarî bişkoja jêrîn bikirtînin
                                  an vîdyoya hînkirinê ya berfireh temaşe bikin."
Detailed Standard Operating Procedure,Pêvajoya Operasyona Standard ya Berfireh
Download Open Data,Daneyên vekirî dakêşin
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Spektrên referansê ji çavkaniyên gihîştina vekirî hatine peyda kirin
           serhêl, weşanên peer nirxand, û bexşên pargîdanî. Di pêşerojê de
           spekteyên ku li amûrê têne barkirin dê di referansê de werin girêdan
           pirtûkxaneyê da ku wê hîn çêtir bikin."
Raman Reference Library,Pirtûkxaneya Referansa Raman
FTIR Reference Library,Pirtûkxaneya Referansê ya FTIR
Raman Reference Library Metadata,Metadata Pirtûkxaneya Çavkaniya Raman
FTIR Reference Library Metadata,Metadata Pirtûkxaneya Referansê ya FTIR
Contribute Spectra,Beşdarî Spectra bibin
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Ji bo parvekirina spektrayan pelek li tabloya pelê barkirinê barkirin. Ger we Parve bike hilbijart, kopiyek ji spektrên we dê ji Civatê re were şandin
           Wargeha Daneyên li ser Çarçoveya Zanistiya Vekirî. Ji bo zêdekirina metadaneyên din,
           qadên metadaneyên heyî dagirin û -Daneyên Parvekirin- bikirtînin. Ew
           pelê spektra ku we digel bersivên xwe barkiriye dê were kopî kirin
           li jêrpeldanka -With Metadata- li ser zencîreya jêrîn. Hemî daneyên hevpar digire
           lîsansek Creative Commons Attribution 4.0."
Community Data Warehouse,Wargeha Daneyên Civakî
Tool Validation,Validation Tool
