en,la
About,De
Welcome,Grata
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Coniunge centum inquisitores e circuitu
           mundus qui pars est Open Specy community by
           dividendo, communicando, dispensando, cognoscendo
           Raman et IR spectris eorum. Haec officia gratuita sunt et aperta fonte gratiae sociis nostris:"
Quick Video Tutorial,Quick Video Tutorial
Instructions,Instructiones
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","In summa: Uti instrumento imposito csv, asp, jdx, spc, vel spa fasciculi ad fasciculi fasciculi tab.
                                  Si csv, una columna nominetur 'fluctus' (per turmas 1/cm) et alia 'intensitas'.
                                  Datam tuam colum SG utendo, baseline datam tuam corrige utentem ordinem polynomiae iModPolyFit, ac necem ad certamen coarctare potes.
                                  Eventus comparabitur bibliothecae spectris Raman vel FTIR internae. Fortissimum 1000 par una cum tuis
                                  uploaded or processit data will be presented in an interactive plot and table. Pro magis details preme ipsum infra
                                  aut singula instructoriam spectare video."
Detailed Standard Operating Procedure,Detailed Standard Operating De modo procedendi
Download Open Data,Download Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Respectu spectris oriundus erat ex aperto accessu facultates
           online, pervideas publicationes recensuit et donationes corporatum. In futuro
           spectra quae ad instrumentum impositi sunt et ad relationem incorporentur
           bibliothecam facere meliorem."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,FTIR Reference Library
Raman Reference Library Metadata,Raman Reference Library Metadata
FTIR Reference Library Metadata,FTIR Reference Library Metadata
Contribute Spectra,Contribuere Spectra
