en,lb
About,Iwwer
Welcome,Wëllkomm
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Maacht mat den Honnerte vu Fuerscher aus ronderëm
           der Welt déi Deel vun der Open Specy Communautéit sinn duerch
           Analyse, Deele, Veraarbechtung an Identifikatioun
           hir Raman an IR Spektrum. Dës Servicer si gratis an oppe Quell dank eise Partner:"
Quick Video Tutorial,Quick Video Tutorial
Instructions,Uweisungen
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Kuerz gesot: Fir den Tool ze benotzen lued eng Csv, asp, jdx, spc oder Spa Datei op den Upload Datei Tab.
                                  Wann csv, soll eng Kolonn 'Wavenumber' genannt ginn (an Eenheeten vun 1/cm) an eng aner 'Intensitéit'.
                                  Dir kënnt Är Donnéeën mat engem SG-Filter glat, Baseline korrigéieren Är Donnéeën mat der polynomialer Uerdnung vun iModPolyFit, a beschränken d'Wellelängtberäich fir de Match.
                                  D'Resultat gëtt mat enger interner Raman oder FTIR Spektrabibliothéik verglach. De stäerkste 1000 Matcher zesumme mat Äre
                                  eropgelueden oder veraarbecht Daten ginn an engem interaktiven Komplott an Dësch presentéiert. Fir méi Detailer klickt op de Knäppchen hei ënnen
                                  oder kuckt den detailléierte Instruktiounsvideo."
Detailed Standard Operating Procedure,Detailléiert Standard Operatiounsprozedur
Download Open Data,Download Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Referenz Spektre goufe vun Open Access Ressourcen entstanen
           online, peer reviewed Publikatiounen, a Firmen Donen. An der Zukunft
           Spektren déi an d'Tool eropgeluede ginn, ginn an d'Referenz agebaut
           Bibliothéik fir et nach besser ze maachen."
Raman Reference Library,Raman Referenzbibliothéik
FTIR Reference Library,FTIR Referenzbibliothéik
Raman Reference Library Metadata,Raman Referenzbibliothéik Metadaten
FTIR Reference Library Metadata,FTIR Referenzbibliothéik Metadaten
Contribute Spectra,Bäitrag Spektrum
