en,lv
About,Par
Welcome,Laipni lūdzam
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Pievienojieties simtiem pētnieku no visas pasaules
           pasaule, kas ir daļa no Open Specy kopienas
           analizējot, kopīgojot, apstrādājot un identificējot
           to Ramana un IR spektri. Šie pakalpojumi ir bezmaksas un atvērtā koda, pateicoties mūsu partneriem:"
Quick Video Tutorial,Ātra video apmācība
Instructions,Instrukcijas
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Īsumā: lai izmantotu rīku, augšupielādējiet faila augšupielādes cilnē CSV, ASP, jdx, spc vai spa failu.
                                  Ja ir csv, vienai kolonnai jābūt nosauktai “viļņu numurs” (vienībās 1/cm), bet otrai – “intensitāte”.
                                  Varat izlīdzināt savus datus, izmantojot SG filtru, bāzes līniju koriģēt datus, izmantojot iModPolyFit polinoma secību, un ierobežot atbilstības viļņa garuma diapazonu.
                                  Rezultāts tiks salīdzināts ar iekšējo Ramana vai FTIR spektru bibliotēku. 1000 spēcīgākās spēles kopā ar jūsu
                                  augšupielādētie vai apstrādātie dati tiks parādīti interaktīvā diagrammā un tabulā. Lai iegūtu sīkāku informāciju, noklikšķiniet uz zemāk esošās pogas
                                  vai noskatieties detalizēto mācību video."
Detailed Standard Operating Procedure,Detalizēta standarta darbības procedūra
Download Open Data,Lejupielādējiet atvērtos datus
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Atsauces spektri tika iegūti no brīvpiekļuves resursiem
           tiešsaistē, recenzētas publikācijas un korporatīvie ziedojumi. Nākotnē
           spektri, kas ir augšupielādēti rīkā, tiks iekļauti atsaucē
           bibliotēku, lai padarītu to vēl labāku."
Raman Reference Library,Ramana uzziņu bibliotēka
FTIR Reference Library,FTIR uzziņu bibliotēka
Raman Reference Library Metadata,Ramana uzziņu bibliotēkas metadati
FTIR Reference Library Metadata,FTIR uzziņu bibliotēkas metadati
Contribute Spectra,Piedalieties Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Lai kopīgotu spektrus, augšupielādējiet failu augšupielādes faila cilnē. Ja atlasījāt Kopīgot, jūsu spektra kopija tiks nosūtīta kopienai
           Datu noliktava par atvērto zinātnes sistēmu. Lai pievienotu papildu metadatus,
           aizpildiet pieejamos metadatu laukus un noklikšķiniet uz -Koplietot datus-. The
           spektra fails, ko augšupielādējāt kopā ar atbildēm, tiks kopēts
           uz apakšmapi a -With Metadata- tālāk norādītajā saitē. Visi koplietotie dati glabājas
           Creative Commons Attribution License 4.0."
Community Data Warehouse,Kopienas datu noliktava
Tool Validation,Rīka apstiprināšana
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Visi šī rīka parametri tiek pārbaudīti, lai to apstiprinātu
           rīks darbojas pēc iespējas labāk un nosaka labāko noklusējuma iestatījumu
           izmantojamie parametri. Mūsu pašreizējā apstiprināšanas procedūra ietver labošanu
           dublēti ieraksti atsauces bibliotēkās, pārbaudot spektrus iekšā
           metadatus, kas nav spektrālo bibliotēkā, un nodrošina noklusējuma iestatījumus
           parametri nodrošina vairāk nekā 80% precizitāti pirmajā mačā."
Detailed Validation Procedure,Detalizēta apstiprināšanas procedūra
"Updates, Feature Requests, and Bug Reports","Atjauninājumi, funkciju pieprasījumi un kļūdu ziņojumi"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,"Mēs sekojam līdzi visiem atjauninājumiem, izmantojot mūsu koda versiju kontroli. Funkcijas var pieprasīt un ziņot par kļūdām vietnē GitHub."
Stay up to date!,Esiet lietas kursā!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,"Sekojiet mums Twitter @OpenSpecy. E-pasts wincowger@gmail.com, lai to pievienotu adresātu sarakstam."
Citation,Citāts
Useful Links,Noderīgas saites
Free FTIR Software: siMPle microplastic IR spectral identification software,Bezmaksas FTIR programmatūra: vienkārša mikroplastmasas IR spektrālās identifikācijas programmatūra
Free Spectroscopy Learning Academy from ThermoFisher,ThermoFisher bezmaksas spektroskopijas mācību akadēmija
Free Optical Microscopy Learning Resource from Florida State University,Bezmaksas optiskās mikroskopijas mācību resurss no Floridas štata universitātes
Free desktop application for spectral analysis and links to reference databases.,Bezmaksas darbvirsmas lietojumprogramma spektrālās analīzes veikšanai un saitēm uz atsauces datu bāzēm.
Terms And Conditions,Noteikumi un nosacījumi
Privacy Policy,Privātuma politika
Upload File,Augšupielādēt failu
