en,mg
About,About
Welcome,tonga soa
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Miaraha amin'ireo mpikaroka an-jatony avy amin'ny manodidina
           izao tontolo izao izay ao anatin'ny vondrom-piarahamonina Open Specy amin'ny
           famakafakana, fizarana, fanodinana ary famantarana
           ny Raman sy ny IR spectra. Maimaim-poana sy misokatra ireo tolotra ireo noho ny mpiara-miombon'antoka:"
Quick Video Tutorial,Haingana Video Tutorial
Instructions,torolalana
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Raha fintinina: Raha hampiasa ilay fitaovana dia ampidiro ny rakitra csv, asp, jdx, spc, na spa mankany amin'ny tabilao fampiakarana.
                                  Raha csv, ny tsanganana iray dia tokony atao hoe 'wavennumber' (amin'ny singa 1/cm) ary ny iray hafa antsoina hoe 'intensity'.
                                  Azonao atao ny manitsy ny angonao amin'ny alàlan'ny sivana SG, manitsy ny angon-drakitrao amin'ny alàlan'ny lamina polynomial an'ny iModPolyFit, ary mametra ny halavan'ny onjam-pandrefesana amin'ny lalao.
                                  Ny vokatra dia ampitahaina amin'ny tranomboky spectra Raman na FTIR anatiny. Ny lalao 1000 mahery indrindra miaraka amin'ny anao
                                  ny angon-drakitra nampidirina na nokarakaraina dia haseho amin'ny tabilao sy tabilao mifampitohy. Raha mila fanazavana fanampiny dia tsindrio ny bokotra eto ambany
                                  na jereo ny video fampianarana amin'ny antsipiriany."
Detailed Standard Operating Procedure,Fomba fiasa manara-penitra amin'ny antsipiriany
Download Open Data,Download Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Reference spectra dia nipoitra avy amin'ny loharano fidirana misokatra
           an-tserasera, boky navoakan'ny mpiara-mianatra, ary fanomezana avy amin'ny orinasa. Any aoriana
           Ny spectra izay ampidirina amin'ny fitaovana dia ampidirina amin'ny reference
           trano famakiam-boky mba hahatonga azy io ho tsara kokoa."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,FTIR Reference Library
Raman Reference Library Metadata,Raman Reference Library Metadata
FTIR Reference Library Metadata,FTIR Reference Library Metadata
Contribute Spectra,Mandray anjara amin'ny Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Raha hizara spectra dia ampidiro ao amin'ny tabilao fampiakarana rakitra. Raha nisafidy Zarazarao dia halefa any amin'ny Vondrom-piarahamonina ny dika mitovy amin'ny spectrao
           Tranoben'ny angona momba ny Open Science Framework. Mba hanampiana metadata fanampiny,
           fenoy ny saha metadata azo ampiasaina ary tsindrio -Mizara Data-. ny
           Ny rakitra spectra nampidirinao niaraka tamin'ny valinteninao dia ho adika
           mankany amin'ny subfolder a -With Metadata- amin'ny rohy eto ambany. Ny angona iombonana rehetra dia mitazona
           Creative Commons Attribution License 4.0."
Community Data Warehouse,Trano fitehirizam-baovaon'ny vondrom-piarahamonina
Tool Validation,Fanamarinana fitaovana
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Ny paramètre rehetra amin'ity fitaovana ity dia nosedraina mba hanamarina izany
           miasa araka izay tratra ny fitaovana ary mamaritra ny default tsara indrindra
           paramètre ampiasaina. Tafiditra ao anatin'ny dingana fanamarinana ataontsika ankehitriny ny fanitsiana
           entri duplicated ao amin'ny tranomboky reference, manamarina ny spectra in
           metadata izay tsy ao amin'ny tranomboky spectral, ary miantoka ny default
           ny mason-tsivana dia manome fahitsiana mihoatra ny 80% amin'ny lalao voalohany."
Detailed Validation Procedure,Fomba fanamarinana amin'ny antsipiriany
"Updates, Feature Requests, and Bug Reports","Fanavaozana, fangatahana endri-javatra ary tatitra momba ny bug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Manara-maso ny fanavaozana rehetra izahay amin'ny alàlan'ny fanaraha-maso ny dikan-teny amin'ny code. Azo angatahina ireo endri-javatra ary taterina ao amin'ny GitHub ny bug.
Stay up to date!,Araho hatrany ny vaovao!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Araho izahay ao amin'ny Twitter @OpenSpecy. E-mail wincowger@gmail.com ampidirina amin'ny lisitry ny mailaka.
Citation,ambadika
Useful Links,Rohy mahasoa
Free FTIR Software: siMPle microplastic IR spectral identification software,Lozisialy FTIR maimaim-poana: logiciel famantarana IR spectral microplastic tsotra
Free Spectroscopy Learning Academy from ThermoFisher,Akademia fianarana Spectroscopy maimaim-poana avy amin'ny ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Loharanom-pianarana Microscopy Optical maimaim-poana avy amin'ny Florida State University
