en,mk
About,За
Welcome,Добредојдовте
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Придружете се на стотиците истражувачи од околу
           светот кои се дел од заедницата Open Specy од
           анализирање, споделување, обработка и идентификување
           нивните Раман и IR спектри. Овие услуги се бесплатни и со отворен код благодарение на нашите партнери:"
Quick Video Tutorial,Брзо видео туторијал
Instructions,Инструкции
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Накратко: за да ја користите алатката, поставете датотека csv, asp, jdx, spc или spa во картичката за подигање датотека.
                                  Ако csv, една колона треба да биде именувана како „бранов број“ (во единици од 1/cm), а друга со име „интензитет“.
                                  Можете да ги измазните вашите податоци користејќи SG филтер, основната линија да ги корегира вашите податоци користејќи го полиномниот редослед на iModPolyFit и да го ограничите опсегот на бранова должина за совпаѓањето.
                                  Резултатот ќе се спореди со внатрешна библиотека со спектри Раман или FTIR. Најсилните 1000 натпревари заедно со вашите
                                  подигнатите или обработените податоци ќе бидат претставени во интерактивна шема и табела. За повеќе детали кликнете на копчето подолу
                                  или погледнете го деталното видео за обука."
Detailed Standard Operating Procedure,Детална стандардна оперативна процедура
Download Open Data,Преземете Отворени податоци
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Референтните спектри беа добиени од ресурси со отворен пристап
           онлајн, рецензирани публикации и корпоративни донации. Во иднина
           спектрите што се поставени на алатката ќе бидат вградени во референцата
           библиотека за да биде уште подобра."
Raman Reference Library,Референтна библиотека Раман
FTIR Reference Library,Референтна библиотека на FTIR
Raman Reference Library Metadata,Метаподатоци за референтна библиотека Раман
FTIR Reference Library Metadata,Метаподатоци за референтна библиотека на FTIR
Contribute Spectra,Придонесете Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","За споделување спектри, поставете датотека во картичката за подигнување датотека. Ако изберете Сподели, копија од вашите спектри ќе биде испратена до Заедницата
           Магацин на податоци за отворена научна рамка. За да додадете дополнителни метаподатоци,
           пополнете ги достапните полиња за метаподатоци и кликнете -Сподели податоци-. На
           спектра датотеката што сте ја подигнале заедно со вашите одговори ќе бидат копирани
           во подпапката -With Metadata- на врската подолу. Сите споделени податоци се задржани
           лиценца за наведен извор на Криејтив комонс 4.0."
