en,ml
About,കുറിച്ച്
Welcome,സ്വാഗതം
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","ചുറ്റുമുള്ള നൂറുകണക്കിന് ഗവേഷകരോടൊപ്പം ചേരുക
           ഓപ്പൺ സ്പൈസി കമ്മ്യൂണിറ്റിയുടെ ഭാഗമായ ലോകം
           വിശകലനം, പങ്കിടൽ, പ്രോസസ്സിംഗ്, തിരിച്ചറിയൽ
           അവരുടെ രാമൻ, IR സ്പെക്ട്ര. ഈ സേവനങ്ങൾ സൗജന്യവും ഓപ്പൺ സോഴ്‌സ് ആണ്, ഞങ്ങളുടെ പങ്കാളികൾക്ക് നന്ദി:"
Quick Video Tutorial,ദ്രുത വീഡിയോ ട്യൂട്ടോറിയൽ
Instructions,നിർദ്ദേശങ്ങൾ
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","ചുരുക്കത്തിൽ: ടൂൾ ഉപയോഗിക്കുന്നതിന് ഒരു csv, asp, jdx, spc, അല്ലെങ്കിൽ spa ഫയൽ അപ്‌ലോഡ് ഫയൽ ടാബിലേക്ക് അപ്‌ലോഡ് ചെയ്യുക.
                                  csv ആണെങ്കിൽ, ഒരു കോളത്തിന് 'wavenumber' എന്നും (1/cm യൂണിറ്റുകളിൽ) മറ്റൊരു കോളത്തിന് 'തീവ്രത' എന്നും പേരിടണം.
                                  നിങ്ങൾക്ക് ഒരു SG ഫിൽട്ടർ ഉപയോഗിച്ച് നിങ്ങളുടെ ഡാറ്റ സുഗമമാക്കാനും iModPolyFit-ന്റെ പോളിനോമിയൽ ക്രമം ഉപയോഗിച്ച് നിങ്ങളുടെ ഡാറ്റ ബേസ്‌ലൈൻ ശരിയാക്കാനും പൊരുത്തത്തിനായുള്ള തരംഗദൈർഘ്യ ശ്രേണി നിയന്ത്രിക്കാനും കഴിയും.
                                  ഫലം ഒരു ആന്തരിക രാമൻ അല്ലെങ്കിൽ FTIR സ്പെക്ട്ര ലൈബ്രറിയുമായി താരതമ്യം ചെയ്യും. നിങ്ങളോടൊപ്പം ഏറ്റവും ശക്തമായ 1000 പൊരുത്തങ്ങൾ
                                  അപ്‌ലോഡ് ചെയ്തതോ പ്രോസസ്സ് ചെയ്തതോ ആയ ഡാറ്റ ഒരു ഇന്ററാക്ടീവ് പ്ലോട്ടിലും ടേബിളിലും അവതരിപ്പിക്കും. കൂടുതൽ വിവരങ്ങൾക്ക് താഴെയുള്ള ബട്ടൺ ക്ലിക്ക് ചെയ്യുക
                                  അല്ലെങ്കിൽ വിശദമായ നിർദ്ദേശ വീഡിയോ കാണുക."
Detailed Standard Operating Procedure,വിശദമായ സ്റ്റാൻഡേർഡ് ഓപ്പറേറ്റിംഗ് നടപടിക്രമം
Download Open Data,ഓപ്പൺ ഡാറ്റ ഡൗൺലോഡ് ചെയ്യുക
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","റഫറൻസ് സ്പെക്ട്ര ഓപ്പൺ ആക്സസ് ഉറവിടങ്ങളിൽ നിന്നാണ്
           ഓൺലൈനിൽ, പിയർ അവലോകനം ചെയ്ത പ്രസിദ്ധീകരണങ്ങൾ, കോർപ്പറേറ്റ് സംഭാവനകൾ. ഭാവിയിൽ
           ടൂളിലേക്ക് അപ്‌ലോഡ് ചെയ്യുന്ന സ്പെക്‌ട്ര റഫറൻസിൽ ഉൾപ്പെടുത്തും
           കൂടുതൽ മികച്ചതാക്കാൻ ലൈബ്രറി."
Raman Reference Library,രാമൻ റഫറൻസ് ലൈബ്രറി
FTIR Reference Library,FTIR റഫറൻസ് ലൈബ്രറി
Raman Reference Library Metadata,രാമൻ റഫറൻസ് ലൈബ്രറി മെറ്റാഡാറ്റ
FTIR Reference Library Metadata,FTIR റഫറൻസ് ലൈബ്രറി മെറ്റാഡാറ്റ
Contribute Spectra,സ്പെക്ട്ര സംഭാവന ചെയ്യുക
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","സ്പെക്ട്ര പങ്കിടുന്നതിന്, അപ്‌ലോഡ് ഫയൽ ടാബിലേക്ക് ഒരു ഫയൽ അപ്‌ലോഡ് ചെയ്യുക. നിങ്ങൾ പങ്കിടുക എന്നത് തിരഞ്ഞെടുത്താൽ നിങ്ങളുടെ സ്പെക്ട്രയുടെ ഒരു പകർപ്പ് കമ്മ്യൂണിറ്റിയിലേക്ക് അയയ്‌ക്കും
           ഓപ്പൺ സയൻസ് ഫ്രെയിംവർക്കിലെ ഡാറ്റ വെയർഹൗസ്. അധിക മെറ്റാഡാറ്റ ചേർക്കാൻ,
           ലഭ്യമായ മെറ്റാഡാറ്റ ഫീൽഡുകൾ പൂരിപ്പിച്ച് -ഷെയർ ഡാറ്റ- ക്ലിക്ക് ചെയ്യുക. ദി
           നിങ്ങളുടെ പ്രതികരണങ്ങൾക്കൊപ്പം നിങ്ങൾ അപ്‌ലോഡ് ചെയ്ത സ്പെക്ട്ര ഫയൽ പകർത്തപ്പെടും
           താഴെയുള്ള ലിങ്കിൽ ഒരു -വിത്ത് മെറ്റാഡാറ്റ- സബ്ഫോൾഡറിലേക്ക്. എല്ലാ പങ്കിട്ട ഡാറ്റ ഹോൾഡുകളും
           ഒരു ക്രിയേറ്റീവ് കോമൺസ് ആട്രിബ്യൂഷൻ ലൈസൻസ് 4.0."
Community Data Warehouse,കമ്മ്യൂണിറ്റി ഡാറ്റ വെയർഹൗസ്
Tool Validation,ടൂൾ മൂല്യനിർണ്ണയം
