en,mn
About,тухай
Welcome,Тавтай морил
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Эргэн тойрон дахь олон зуун судлаачидтай нэгдээрэй
           Open Specy нийгэмлэгийн нэг хэсэг болох ертөнц
           дүн шинжилгээ хийх, хуваалцах, боловсруулах, тодорхойлох
           тэдгээрийн Раман ба IR спектрүүд. Эдгээр үйлчилгээ нь манай түншүүдийн ачаар үнэ төлбөргүй бөгөөд нээлттэй эх сурвалж юм:"
Quick Video Tutorial,Шуурхай видео заавар
Instructions,Зааварчилгаа
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Товчхондоо: Хэрэгслийг ашиглахын тулд csv, asp, jdx, spc, эсвэл spa файлыг байршуулах файлын таб руу байршуулна уу.
                                  Хэрэв csv бол нэг баганыг ""долгионы дугаар"" (1/см-ийн нэгжээр), нөгөө баганыг ""эрчим"" гэж нэрлэх ёстой.
                                  Та SG шүүлтүүр ашиглан өгөгдлөө жигдрүүлж, iModPolyFit-ийн олон гишүүнт дарааллыг ашиглан өгөгдлөө үндсэн шугамаар засч, тохирох долгионы уртын мужийг хязгаарлаж болно.
                                  Үр дүнг дотоод Раман эсвэл FTIR спектрийн сантай харьцуулах болно. Таны хамт хамгийн хүчтэй 1000 тоглолт
                                  байршуулсан эсвэл боловсруулсан өгөгдлийг интерактив график, хүснэгтэд үзүүлнэ. Дэлгэрэнгүй мэдээллийг доорх товчийг дарна уу
                                  эсвэл дэлгэрэнгүй заавар видеог үзээрэй."
Detailed Standard Operating Procedure,Нарийвчилсан стандарт үйл ажиллагааны журам
Download Open Data,Нээлттэй өгөгдлийг татаж авах
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Лавлагаа спектрийг нээлттэй хандалтын эх сурвалжаас авсан
           онлайн, үе тэнгийнхний хянан үзсэн хэвлэл, байгууллагын хандив. Ирээдүйд
           хэрэгсэлд байршуулсан спектрийг лавлагаанд оруулах болно
           номын сан нь үүнийг улам сайжруулах болно."
Raman Reference Library,Раман лавлах номын сан
FTIR Reference Library,FTIR лавлах номын сан
Raman Reference Library Metadata,Раман лавлах номын сангийн мета өгөгдөл
FTIR Reference Library Metadata,FTIR лавлах номын сангийн мета өгөгдөл
Contribute Spectra,Spectra-д хувь нэмэр оруулах
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Спектрүүдийг хуваалцахын тулд файл байршуулах таб руу файл байршуулна уу. Хэрэв та Хуваалцах гэснийг сонгосон бол спектрийн хуулбарыг Нийгэмлэгт илгээх болно
           Нээлттэй шинжлэх ухааны хүрээний мэдээллийн агуулах. Нэмэлт мета өгөгдөл нэмэхийн тулд,
           боломжтой мета өгөгдлийн талбаруудыг бөглөөд -Өгөгдлийг хуваалцах- дээр дарна уу. The
           Таны хариултын хамт байршуулсан spectra файлыг хуулах болно
           Доорх холбоос дээрх -With Metadata- дэд хавтас руу орно уу. Бүх хуваалцсан өгөгдөл хадгалагдана
           Creative Commons Attribution License 4.0."
Community Data Warehouse,Олон нийтийн мэдээллийн агуулах
Tool Validation,Хэрэгслийн баталгаажуулалт
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Үүнийг баталгаажуулахын тулд энэ хэрэгслийн бүх параметрүүдийг шалгасан
           хэрэгсэл нь аль болох сайн ажиллаж байгаа бөгөөд хамгийн сайн өгөгдмөлийг тодорхойлно
           ашиглах параметрүүд. Бидний одоогийн баталгаажуулалтын журамд залруулга орно
           лавлагааны сангууд дахь давхардсан оруулгууд, спектрийг шалгах
           спектрийн санд байхгүй мета өгөгдөл бөгөөд анхдагч тохиргоог баталгаажуулна
           Параметрүүд нь эхний тохиролд 80 гаруй хувийн нарийвчлалыг өгдөг."
Detailed Validation Procedure,Баталгаажуулалтын нарийвчилсан журам
"Updates, Feature Requests, and Bug Reports","Шинэчлэлт, онцлог хүсэлт, алдааны тайлан"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,"Бид кодынхоо хувилбарын хяналтыг ашиглан бүх шинэчлэлтийг хянадаг. Онцлогуудыг GitHub дээр мэдээлэх, хүсэлт гаргах боломжтой."
Stay up to date!,Шинэ мэдээлэлтэй байгаарай!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Twitter @OpenSpecy дээр биднийг дагаарай. Цахим шуудангийн жагсаалтад wincowger@gmail.com хаягаар оруулна уу.
Citation,Ишлэл
Useful Links,хэрэгтэй холбоосууд
Free FTIR Software: siMPle microplastic IR spectral identification software,Үнэгүй FTIR програм хангамж: энгийн микропластик IR спектрийн таних програм хангамж
Free Spectroscopy Learning Academy from ThermoFisher,ThermoFisher-ийн үнэгүй Спектроскопи сургалтын академи
Free Optical Microscopy Learning Resource from Florida State University,Флорида мужийн их сургуулийн үнэгүй оптик микроскопийн сургалтын нөөц
Free desktop application for spectral analysis and links to reference databases.,"Спектрийн шинжилгээнд зориулсан үнэгүй ширээний програм, лавлагааны мэдээллийн сан руу холбох."
Terms And Conditions,Нөхцөл ба нөхцөл
Privacy Policy,Нууцлалын бодлого
Upload File,Файл байршуулах
"Upload, View, and Share Spectra","Spectra байршуулах, үзэх, хуваалцах"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",".csv (давуу), .asp, .jdx, .spc, .spa, эсвэл .0 файлыг сонгоно уу."
Share Your Data?,Өгөгдлөө хуваалцах уу?
Share Help,Тусламжийг хуваалцах
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Хэрэв та хүсвэл бид таны байршуулсан спектр болон тохиргоог спектроскопийн нийгэмлэгтэй хуваалцана.
           Анхдагч байдлаар, бүх өгөгдлийг Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) дагуу лицензжүүлнэ.
           Байршуулсан спектрүүд энд гарч ирнэ: https://osf.io/rjg3c"
Upload Help,Тусламж байршуулах
