en,mr
About,बद्दल
Welcome,स्वागत आहे
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","आजूबाजूच्या शेकडो संशोधकांमध्ये सामील व्हा
           द्वारे मुक्त प्रजाती समुदायाचा भाग असलेले जग
           विश्लेषण करणे, शेअर करणे, प्रक्रिया करणे आणि ओळखणे
           त्यांचे रामन आणि आयआर स्पेक्ट्रा. या सेवा विनामूल्य आणि मुक्त स्रोत आहेत आमच्या भागीदारांचे आभार:"
Quick Video Tutorial,द्रुत व्हिडिओ ट्यूटोरियल
Instructions,सूचना
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","थोडक्यात: टूल वापरण्यासाठी अपलोड फाइल टॅबवर csv, asp, jdx, spc किंवा spa फाइल अपलोड करा.
                                  csv असल्यास, एका स्तंभाला 'wavenumber' (1/cm च्या युनिटमध्ये) आणि दुसर्‍याला 'तीव्रता' असे नाव दिले पाहिजे.
                                  तुम्ही SG फिल्टर वापरून तुमचा डेटा गुळगुळीत करू शकता, iModPolyFit च्या बहुपदी क्रमाने तुमचा डेटा बेसलाइन दुरुस्त करू शकता आणि सामन्यासाठी तरंगलांबी श्रेणी मर्यादित करू शकता.
                                  परिणामाची तुलना अंतर्गत रामन किंवा FTIR स्पेक्ट्रा लायब्ररीशी केली जाईल. तुमच्या सोबत सर्वात मजबूत 1000 सामने
                                  अपलोड केलेला किंवा प्रक्रिया केलेला डेटा परस्पर प्लॉट आणि टेबलमध्ये सादर केला जाईल. अधिक तपशीलांसाठी खालील बटणावर क्लिक करा
                                  किंवा तपशीलवार निर्देशात्मक व्हिडिओ पहा."
Detailed Standard Operating Procedure,तपशीलवार मानक ऑपरेटिंग प्रक्रिया
Download Open Data,ओपन डेटा डाउनलोड करा
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","संदर्भ स्पेक्ट्रा ओपन ऍक्सेस संसाधनांमधून प्राप्त केले गेले
           ऑनलाइन, समवयस्कांचे पुनरावलोकन केलेली प्रकाशने आणि कॉर्पोरेट देणग्या. भविष्यात
           टूलवर अपलोड केलेला स्पेक्ट्रा संदर्भामध्ये समाविष्ट केला जाईल
           लायब्ररी ते आणखी चांगले करण्यासाठी."
Raman Reference Library,रमण संदर्भ ग्रंथालय
