en,ms
About,Tentang
Welcome,selamat datang
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Sertai ratusan penyelidik dari sekitar
           dunia yang merupakan sebahagian daripada komuniti Spesies Terbuka oleh
           menganalisis, berkongsi, memproses dan mengenal pasti
           spektrum Raman dan IR mereka. Perkhidmatan ini adalah percuma dan sumber terbuka terima kasih kepada rakan kongsi kami:"
Quick Video Tutorial,Tutorial Video Pantas
Instructions,Arahan
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Secara ringkas: Untuk menggunakan alat muat naik fail csv, asp, jdx, spc atau spa ke tab fail muat naik.
                                  Jika csv, satu lajur hendaklah dinamakan 'nombor gelombang' (dalam unit 1/cm) dan satu lagi dinamakan 'intensiti'.
                                  Anda boleh melicinkan data anda menggunakan penapis SG, garis dasar membetulkan data anda menggunakan susunan polinomial iModPolyFit dan mengehadkan julat panjang gelombang untuk padanan.
                                  Hasilnya akan dibandingkan dengan pustaka spektrum Raman atau FTIR dalaman. 1000 perlawanan terkuat bersama-sama dengan anda
                                  data yang dimuat naik atau diproses akan dibentangkan dalam plot dan jadual interaktif. Untuk butiran lanjut klik butang di bawah
                                  atau tonton video pengajaran terperinci."
Detailed Standard Operating Procedure,Prosedur Operasi Standard Terperinci
Download Open Data,Muat turun Data Terbuka
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Spektrum rujukan diperoleh daripada sumber akses terbuka
           dalam talian, penerbitan semakan rakan sebaya, dan derma korporat. Pada masa hadapan
           spektrum yang dimuat naik ke alat akan dimasukkan ke dalam rujukan
           perpustakaan untuk menjadikannya lebih baik."
Raman Reference Library,Perpustakaan Rujukan Raman
FTIR Reference Library,Perpustakaan Rujukan FTIR
Raman Reference Library Metadata,Metadata Perpustakaan Rujukan Raman
FTIR Reference Library Metadata,Metadata Pustaka Rujukan FTIR
Contribute Spectra,Sumbangkan Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Untuk berkongsi spektrum muat naik fail ke tab muat naik fail. Jika anda memilih Kongsi salinan spektrum anda akan dihantar kepada Komuniti
           Gudang Data pada Rangka Kerja Sains Terbuka. Untuk menambah metadata tambahan,
           isikan medan metadata yang tersedia dan klik -Kongsi Data-. The
           fail spectra yang anda muat naik bersama-sama dengan jawapan anda akan disalin
           ke subfolder -Dengan Metadata- di pautan di bawah. Semua data yang dikongsi disimpan
           Lesen Atribusi Creative Commons 4.0."
Community Data Warehouse,Gudang Data Komuniti
Tool Validation,Pengesahan Alat
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Semua parameter dalam alat ini diuji untuk mengesahkannya
           alat berfungsi sebaik mungkin dan menentukan lalai terbaik
           parameter untuk digunakan. Proses pengesahan semasa kami termasuk pembetulan
           entri pendua dalam perpustakaan rujukan, menyemak spektrum masuk
           metadata yang tiada dalam perpustakaan spektrum, dan memastikan fail lalai
           parameter memberikan ketepatan lebih 80% dalam perlawanan pertama."
Detailed Validation Procedure,Prosedur Pengesahan Terperinci
"Updates, Feature Requests, and Bug Reports","Kemas Kini, Permintaan Ciri dan Laporan Pepijat"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Kami menjejaki semua kemas kini menggunakan kawalan versi pada kod kami. Ciri boleh diminta dan pepijat dilaporkan pada GitHub.
Stay up to date!,Ikuti perkembangan terkini!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Ikuti kami di Twitter @OpenSpecy. E-mel wincowger@gmail.com untuk ditambahkan ke senarai mel.
Citation,Petikan
Useful Links,Pautan Berguna
Free FTIR Software: siMPle microplastic IR spectral identification software,Perisian FTIR Percuma: perisian pengenalan spektrum IR mikroplastik ringkas
Free Spectroscopy Learning Academy from ThermoFisher,Akademi Pembelajaran Spektroskopi Percuma daripada ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Sumber Pembelajaran Mikroskopi Optik Percuma daripada Florida State University
Free desktop application for spectral analysis and links to reference databases.,Aplikasi desktop percuma untuk analisis spektrum dan pautan ke pangkalan data rujukan.
Terms And Conditions,Terma dan syarat
Privacy Policy,Dasar Privasi
Upload File,Muat Naik Fail
"Upload, View, and Share Spectra","Muat Naik, Lihat dan Kongsi Spektrum"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Pilih .csv (diutamakan), .asp, .jdx, .spc, .spa atau .0 Fail"
Share Your Data?,Kongsi Data Anda?
Share Help,Kongsi Bantuan
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Jika anda suka, kami berkongsi spektrum dan tetapan anda yang dimuat naik dengan komuniti spektroskopi.
           Secara lalai, semua data akan dilesenkan di bawah Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Spektrum yang dimuat naik akan muncul di sini: https://osf.io/rjg3c"
Upload Help,Muat naik Bantuan
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Muat naik fail spektrum Raman atau FTIR sebagai csv, jdx, spc atau spa. Fail csv lebih disukai. Jika csv, fail mesti mengandungi satu lajur berlabel 'nombor gelombang' dalam unit (1/cm) dan lajur lain berlabel 'intensiti' dalam unit penyerapan.
            Jika jdx, spc, spa atau 0, fail hendaklah spektrum penyerapan tunggal dengan nombor gelombang dalam (1/cm). Fail ini tidak akan sentiasa berfungsi dengan sempurna kerana ia sukar dibaca, jadi semak semula fail tersebut dalam perisian lain.
            Tekan butang 'Data Ujian' untuk memuat turun sampel spektrum Raman."
Intensity Adjustment,Pelarasan Intensiti
None,tiada
Transmittance,Penghantaran
Reflectance,Refleksi
Intensity Correction Help,Bantuan Pembetulan Intensiti
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Jika spektrum yang dimuat naik tidak berada dalam unit penyerapan,
           gunakan input ini untuk menentukan unit untuk ditukar daripada.Open Specy boleh
           laraskan pemantulan atau spektrum pemancaran kepada unit Penyerapan menggunakan
           lungsur turun ini dalam tab muat naik fail. Semua tab sebelumnya
           andaikan bahawa data berada dalam unit penyerapan jadi anda harus membuat
           pembetulan sebelum meneruskan jika perlu. Pelarasan penghantaran
           menggunakan pengiraan log10(1/T) yang tidak betul untuk sistem
           dan ciri-ciri zarah. Pelarasan pemantulan menggunakan
           Persamaan Kubelka-Munk (1-R)2/(2*R). Kami menganggap bahawa pemantulan
           diformatkan sebagai peratus daripada 1-100 dan mula-mula betulkan keamatan dengan membahagikan dengan 100
           supaya ia sesuai dengan bentuk yang dijangkakan oleh persamaan.
           Jika tiada satu pun dipilih, Open Specy menganggap bahawa data yang dimuat naik adalah
           spektrum penyerapan."
Sample File,Fail Contoh
Sample Data Help,Bantuan Data Contoh
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Ini ialah spektrum sampel yang boleh dimuat naik ke alat untuk mengujinya dan memahami cara fail csv harus diformatkan.
Metadata Input,Input Metadata
Metadata Help,Bantuan Metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Kami berkongsi sebarang spektrum dan metadata yang dimuat naik dengan komuniti spektroskopi jika anda mengisi metadata di sini dan memilih kongsi.
           Spektrum dan metadata yang dimuat naik akan dipaparkan di sini: https://osf.io/rjg3c"
Share Metadata,Kongsi Metadata
Upload some data to get started...,Muat naik beberapa data untuk bermula...
Preprocess Spectrum,Spektrum Praproses
"Smooth, Baseline Correct, and Download Processed Spectra","Lancar, Garis Dasar Betul dan Muat Turun Spektrum Diproses"
Download (recommended),Muat turun (disyorkan)
Download Help,Muat turun Bantuan
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Sesetengah pengguna mungkin ingin menyimpan salinan spektrum yang diproses mereka. Butang ini memuat turun spektrum yang diproses sebagai fail csv.
Smoothing,Melicinkan
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Lebih lancar ini boleh meningkatkan nisbah isyarat kepada hingar data dan menggunakan penapis Savitzky-Golay dengan 12 titik data berjalan dan polinomial yang ditentukan.
Smoothing Polynomial,Polinomial Melicinkan
Baseline Correction,Pembetulan Garis Dasar
Baseline Correction Help,Bantuan Pembetulan Garis Dasar
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Rutin pembetulan garis dasar ini mempunyai dua pilihan untuk pembetulan garis dasar, 1) prosedur imodpolyfit polinomial untuk mencari garis dasar spektrum secara berulang menggunakan padanan polinomial ke seluruh kawasan spektrum. 2) garisan manual boleh dilukis menggunakan alat garis pada plot dan butang yang betul akan menggunakan garisan untuk menolak garis dasar."
Baseline Correction Polynomial,Polinomial Pembetulan Garis Dasar
Technique,Teknik
Polynomial,Polinomial
Manual,Manual
Correct With Trace,Betul Dengan Jejak
Reset,Tetapkan semula
Range Selection,Pemilihan Julat
Spectral Range Help,Bantuan Julat Spektrum
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Mengehadkan julat spektrum boleh mengalih keluar kawasan spektrum yang tiada puncak wujud dan menambah baik padanan
Maximum Spectral Range,Julat Spektrum Maksimum
Minimum Spectral Range,Julat Spektrum Minimum
Identify Spectrum,Kenalpasti Spektrum
Identify Spectrum Using the Reference Library,Kenalpasti Spektrum Menggunakan Pustaka Rujukan
Raman,Raman
FTIR,FTIR
Spectra,Spektrum
Type,taip
Spectrum Type Help,Bantuan Jenis Spektrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Pemilihan ini akan menentukan sama ada pustaka padanan FTIR atau Raman digunakan. Pilih jenis spektrum yang telah dimuat naik.
Analysis,Analisis
Processed,Telah di proses
Uploaded,Dimuat naik
Spectrum to Analyze Help,Spektrum untuk Menganalisis Bantuan
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Pemilihan ini akan menentukan sama ada spektrum yang dimuat naik (tidak diproses) atau spektrum yang diproses menggunakan tab pemprosesan digunakan dalam padanan spektrum.
Region,Wilayah
Full,penuh
Peaks,Puncak
Region to Match Help,Bantuan Wilayah untuk Dipadankan
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Pemilihan ini akan menentukan sama ada pustaka yang anda padankan terdiri daripada spektrum penuh atau hanya puncak spektrum.
Partner With Us,Rakan Kongsi Dengan Kami
Help us reach our goal of revolutionizing spectroscopy.,Bantu kami mencapai matlamat kami untuk merevolusikan spektroskopi.
Donate Cash,Menderma Wang Tunai
Buy From Swag Store,Beli Dari Swag Store
Contribute time,Sumbangkan masa
Revolutionizing,Merevolusikan
Thriving,Berjaya
Maintaining,Mengekalkan
Supporting,Menyokong
Saving,Menyimpan
