en,mt
About,Dwar
Welcome,Merħba
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Ingħaqad mal-mijiet ta' riċerkaturi minn madwar
           id-dinja li huma parti mill-komunità Speċi Miftuħa minn
           analiżi, qsim, ipproċessar, u identifikazzjoni
           l-ispettri Raman u IR tagħhom. Dawn is-servizzi huma b'xejn u open source grazzi għall-imsieħba tagħna:"
Quick Video Tutorial,Tutorial Quick Video
Instructions,Istruzzjonijiet
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Fil-Qosor: Biex tuża l-għodda ittella fajl csv, asp, jdx, spc, jew spa fit-tab tal-fajl ittella.
                                  Jekk csv, kolonna waħda għandha tkun imsemmija 'wavenumber' (f'unitajiet ta' 1/ċm) u oħra msejħa 'intensità'.
                                  Tista' twitti d-dejta tiegħek billi tuża filtru SG, tikkoreġi l-linja bażi tad-dejta tiegħek billi tuża l-ordni polinomjali ta' iModPolyFit, u tirrestrinġi l-firxa tal-wavelength għall-partita.
                                  Ir-riżultat se jitqabbel ma 'librerija interna ta' spettri Raman jew FTIR. L-aktar b'saħħithom 1000 logħbiet flimkien ma tiegħek
                                  data uploaded jew ipproċessata tiġi ppreżentata fi plott interattiv u tabella. Għal aktar dettalji ikklikkja l-buttuna hawn taħt
                                  jew ara l-video istruttiv dettaljat."
Detailed Standard Operating Procedure,Proċedura Operattiva Standard dettaljata
Download Open Data,Niżżel Data Miftuħa
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","L-ispettri ta' referenza nkisbu minn riżorsi ta' aċċess miftuħ
           pubblikazzjonijiet onlajn, riveduti mill-pari, u donazzjonijiet korporattivi. Fil-futur
           spettri li jittellgħu fl-għodda se jiġu inkorporati mar-referenza
           librerija biex tagħmilha saħansitra aħjar."
Raman Reference Library,Librerija ta' Referenza Raman
FTIR Reference Library,Librerija ta' Referenza FTIR
Raman Reference Library Metadata,Metadata tal-Librerija ta' Referenza Raman
FTIR Reference Library Metadata,Metadata tal-Librerija ta' Referenza tal-FTIR
Contribute Spectra,Ikkontribwixxi Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Biex taqsam l-ispettri, ittella fajl fit-tab tal-fajl ittella. Jekk għażilt Share kopja tal-ispettra tiegħek tintbagħat lill-Komunità
           Data Warehouse dwar il-Qafas tax-Xjenza Miftuħa. Biex iżżid metadejta addizzjonali,
           imla l-oqsma tal-metadata disponibbli u kklikkja -Share Data-. Il-
           Il-fajl spectra li ttella’ flimkien mar-risposti tiegħek se jiġi kkupjat
           għas-subfolder a -With Metadata- fil-link hawn taħt. Id-dejta kondiviża kollha żżomm
           Liċenzja ta' Attribuzzjoni Creative Commons 4.0."
Community Data Warehouse,Ħażna tad-Data tal-Komunità
Tool Validation,Validazzjoni tal-Għodda
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Il-parametri kollha f'din l-għodda huma ttestjati biex jivvalidaw dak
           l-għodda qed taħdem bl-aħjar mod possibbli u tiddetermina l-aħjar default
           parametri li għandhom jintużaw. Il-proċedura ta' validazzjoni attwali tagħna tinkludi l-korrezzjoni
           entrati duplikati fil-libreriji ta' referenza, iċċekkjar għal spettri ġewwa
           metadata li mhix fil-librerija spettrali, u tiżgura l-inadempjenza
           parametri jipprovdu aktar minn 80% preċiżjoni fl-ewwel logħba."
Detailed Validation Procedure,Proċedura ta' Validazzjoni Dettaljata
"Updates, Feature Requests, and Bug Reports","Aġġornamenti, Talbiet għall-Karatteristiċi, u Rapporti dwar il-Bugs"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Aħna nżommu rekord tal-aġġornamenti kollha bl-użu tal-kontroll tal-verżjoni fuq il-kodiċi tagħna. Il-karatteristiċi jistgħu jintalbu u l-bug irrappurtat fuq GitHub.
Stay up to date!,Ibqa' aġġornat!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Segwina fuq Twitter @OpenSpecy. E-mail wincowger@gmail.com biex tiżdied mal-lista tal-posta.
Citation,Ċitazzjoni
Useful Links,Links Utli
Free FTIR Software: siMPle microplastic IR spectral identification software,Softwer FTIR b'xejn: softwer ta' identifikazzjoni spettrali IR mikroplastiku sempliċi
Free Spectroscopy Learning Academy from ThermoFisher,Akkademja tat-Tagħlim tal-Ispettroskopija Ħieles minn ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Riżorsi ta 'Tagħlim tal-Mikroskopija Ottika b'xejn mill-Università tal-Istat ta' Florida
Free desktop application for spectral analysis and links to reference databases.,Applikazzjoni tad-desktop b'xejn għall-analiżi spettrali u links għal databases ta' referenza.
Terms And Conditions,Termini u Kundizzjonijiet
Privacy Policy,Regoli tal-privatezza
Upload File,Tella Fajl
"Upload, View, and Share Spectra","Ittella’, Ara u Aqsam l-Ispettri"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Agħżel .csv (preferut), .asp, .jdx, .spc, .spa, jew .0 File"
Share Your Data?,Taqsam id-Data Tiegħek?
Share Help,Aqsam Għajnuna
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Jekk tixtieq, naqsmu l-ispettri u s-settings li ttellgħu tiegħek mal-komunità tal-ispettroskopija.
           B'mod awtomatiku, id-dejta kollha tkun liċenzjata taħt Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           L-ispettri mtellgħin se jidhru hawn: https://osf.io/rjg3c"
Upload Help,Ittella' Għajnuna
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Tella' fajls tal-ispettru Raman jew FTIR bħala csv, jdx, spc, jew spa. Fajl csv huwa preferut. Jekk csv, il-fajl għandu jkun fih kolonna waħda mmarkata 'numru tal-mewġ' f'unitajiet ta' (1/ċm) u kolonna oħra mmarkata 'intensità' f'unitajiet ta' assorbiment.
            Jekk jdx, spc, spa, jew 0 il-fajl għandu jkun spettru ta 'assorbiment wieħed b'numru ta' mewġ f'(1/cm). Dawn il-fajls mhux dejjem se jaħdmu perfettament minħabba li huma diffiċli biex jinqraw hekk iċċekkjahom f'softwer ieħor.
            Agħfas il-buttuna 'Test Data' biex tniżżel kampjun ta' spettru Raman."
Intensity Adjustment,Aġġustament tal-Intensità
None,Xejn
Transmittance,Trasmittanza
Reflectance,Riflettanza
Intensity Correction Help,Għajnuna għall-Korezzjoni tal-Intensità
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Jekk l-ispettru mtella' mhuwiex f'unitajiet ta' assorbiment,
           uża dan l-input biex tispeċifika l-unitajiet minn fejn tikkonverti.Open Specy can
           aġġusta spettri ta 'riflettanza jew trażmissjoni għal unitajiet ta' assorbiment bl-użu
           din drop down fit-tab tal-fajl ittella. It-tabs kollha preċedenti
           jassumu li d-data hija f'unitajiet ta 'assorbiment għalhekk għandek tagħmel il-
           korrezzjoni qabel tkompli jekk meħtieġ. L-aġġustament tat-trażmissjoni
           juża l-kalkolu log10(1/T) li ma jikkoreġix għas-sistema
           u l-karatteristiċi tal-partiċelli. L-aġġustament tar-riflettanza juża l-
           Kubelka-Munk ekwazzjoni (1-R)2/(2*R). Nassumu li r-riflettanza
           hija fformattjata bħala perċentwali minn 1-100 u l-ewwel tikkoreġi l-intensità billi taqsam b'100
           sabiex taqbel mal-forma mistennija mill-ekwazzjoni.
           Jekk ma jintgħażel l-ebda waħda, Open Specy jassumi li d-dejta mtellgħa hija
           spettru ta' assorbiment."
Sample File,Fajl tal-Kampjun
Sample Data Help,Għajnuna tad-Data tal-Kampjun
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Dan huwa spettru ta 'kampjun li jista' jittella' fuq l-għodda biex jiġi ttestjat u jifhem kif il-fajls csv għandhom jiġu fformattjati.
Metadata Input,Input tal-metadata
Metadata Help,Metadata Għajnuna
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Aħna naqsmu kwalunkwe spettra u metadejta mtellgħa mal-komunità tal-ispettroskopija jekk timla l-metadejta hawn u tagħżel sehem.
           L-ispettri u l-metadejta mtellgħin se jidhru hawn: https://osf.io/rjg3c"
Share Metadata,Aqsam il-Metadata
Upload some data to get started...,Ittella' xi dejta biex tibda...
Preprocess Spectrum,Spettru ta' Preproċess
"Smooth, Baseline Correct, and Download Processed Spectra","Lixx, Linja Bażi Korretta, u Niżżel l-Ispettri Ipproċessati"
Download (recommended),Niżżel (rakkomandat)
Download Help,Niżżel l-Għajnuna
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Xi utenti jistgħu jixtiequ jiffrankaw kopja tal-ispettru pproċessat tagħhom. Din il-buttuna tniżżel l-ispettru pproċessat bħala fajl csv.
Smoothing,twittija
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Dan lixx jista 'jtejjeb il-proporzjon tas-sinjal għall-istorbju tad-dejta u juża filtru Savitzky-Golay bi 12-il punt ta' data li jaħdem u l-polinomju speċifikat.
Smoothing Polynomial,Polinomjali ta' twittija
Baseline Correction,Korrezzjoni tal-linja bażi
Baseline Correction Help,Għajnuna għall-Korezzjoni tal-Linja Bażi
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Din ir-rutina ta 'korrezzjoni tal-linja bażi għandha żewġ għażliet għall-korrezzjoni tal-linja bażi, 1) il-proċedura polinomjali imodpolyfit biex issib b'mod itterattiv il-linja bażi tal-ispettru bl-użu ta' adattament polinomjali għar-reġjun kollu tal-ispettru. 2) linji manwali jistgħu jinġibdu bl-użu tal-għodda tal-linja fuq il-plott u l-buttuna korretta tuża l-linji biex tnaqqas il-linja bażi."
Baseline Correction Polynomial,Polinomjali tal-Korezzjoni tal-Linja Bażi
Technique,Teknika
Polynomial,Polinomjali
Manual,Manwal
Correct With Trace,Ikkoreġi Bit-Traċċa
Reset,Irrisettja
Range Selection,Għażla tal-Medda
Spectral Range Help,Għajnuna Firxa Spettrali
