en,my
About,အကြောင်း
Welcome,ကြိုဆိုပါတယ်။
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","ရာနှင့်ချီသော သုတေသီများနှင့် ပူးပေါင်းပါ။
           Open Specy အသိုက်အဝန်း၏တစ်စိတ်တစ်ပိုင်းဖြစ်သောကမ္ဘာ
           ခွဲခြမ်းစိတ်ဖြာခြင်း၊ မျှဝေခြင်း၊ လုပ်ဆောင်ခြင်းနှင့် ခွဲခြားသတ်မှတ်ခြင်း။
           ၎င်းတို့၏ Raman နှင့် IR ရောင်စဉ်။ ဤဝန်ဆောင်မှုများသည် ကျွန်ုပ်တို့၏လုပ်ဖော်ကိုင်ဖက်များ၏ ကျေးဇူးကြောင့် အခမဲ့ဖြစ်ပြီး open source ဖြစ်ပါသည်-"
Quick Video Tutorial,အမြန်ဗီဒီယိုကျူတိုရီရယ်
Instructions,ညွှန်ကြားချက်များ
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","အတိုချုပ်အားဖြင့်- ကိရိယာကိုအသုံးပြုရန် csv၊ asp၊ jdx၊ spc၊ သို့မဟုတ် spa ဖိုင်တစ်ခုကို အပ်လုဒ်ဖိုင်တက်ဘ်သို့ အပ်လုဒ်လုပ်ပါ။
                                  csv ဖြစ်ပါက၊ ကော်လံတစ်ခုအား 'wavenumber' (1/cm ယူနစ်ဖြင့်) နှင့် နောက်တစ်ခုအား 'ပြင်းထန်မှု' ဟု အမည်ပေးရပါမည်။
                                  iModPolyFit ၏ polynomial အစီအစဥ်ကို အသုံးပြု၍ သင့်ဒေတာကို SG စစ်ထုတ်မှုဖြင့် ချောမွေ့အောင်ပြုလုပ်နိုင်ပြီး၊ ကိုက်ညီမှုအတွက် လှိုင်းအလျားကို ကန့်သတ်နိုင်သည်။
                                  ရလဒ်အား အတွင်းပိုင်း Raman သို့မဟုတ် FTIR spectra စာကြည့်တိုက်နှင့် နှိုင်းယှဉ်ပါမည်။ သင့်နှင့်အတူ အပြင်းထန်ဆုံး 1000 ပွဲများ
                                  အပ်လုဒ်လုပ်ထားသော သို့မဟုတ် လုပ်ဆောင်ပြီးသောဒေတာကို အပြန်အလှန်အကျိုးပြုသော ကွက်ကွက်နှင့် ဇယားတွင် တင်ပြပါမည်။ အသေးစိတ်အချက်အလက်များအတွက် အောက်ပါခလုတ်ကိုနှိပ်ပါ။
                                  သို့မဟုတ် အသေးစိတ် သင်ကြားရေး ဗီဒီယိုကို ကြည့်ရှုပါ။"
Detailed Standard Operating Procedure,အသေးစိတ် Standard Operating Procedure
Download Open Data,Open Data ကိုဒေါင်းလုဒ်လုပ်ပါ။
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","အကိုးအကား Spectra ကို open access အရင်းအမြစ်များမှ ရင်းမြစ်ဖြစ်သည်။
           အွန်လိုင်း၊ ရွယ်တူချင်း သုံးသပ်ထားသော စာစောင်များနှင့် စုပေါင်းလှူဒါန်းမှုများ။ အနာဂတ်မှာ
           ကိရိယာသို့ အပ်လုဒ်လုပ်ထားသော spectra ကို ကိုးကားချက်တွင် ထည့်သွင်းပါမည်။
           စာကြည့်တိုက်ကို ပိုကောင်းအောင်လုပ်ပါ။"
Raman Reference Library,Raman ရည်ညွှန်းစာကြည့်တိုက်
