en,ne
About,बारे
Welcome,स्वागत छ
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","वरपरका सयौं अनुसन्धानकर्ताहरूसँग सामेल हुनुहोस्
           विश्व जो खुल्ला प्रजाति समुदायको हिस्सा हो
           विश्लेषण, साझेदारी, प्रशोधन, र पहिचान
           तिनीहरूको रमन र IR स्पेक्ट्रा। यी सेवाहरू नि:शुल्क र खुला स्रोत हुन् हाम्रा साझेदारहरूलाई धन्यवाद:"
Quick Video Tutorial,द्रुत भिडियो ट्यूटोरियल
Instructions,निर्देशनहरू
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","संक्षिप्तमा: उपकरण प्रयोग गर्नको लागि अपलोड फाइल ट्याबमा csv, asp, jdx, spc, वा स्पा फाइल अपलोड गर्नुहोस्।
                                  यदि csv हो भने, एउटा स्तम्भलाई 'wavenumber' (1/cm को एकाइहरूमा) र अर्को नाम 'intensity' हुनुपर्छ।
                                  तपाईंले SG फिल्टर प्रयोग गरेर आफ्नो डेटालाई सहज बनाउन सक्नुहुन्छ, iModPolyFit को बहुपदीय क्रम प्रयोग गरेर आफ्नो डाटालाई बेसलाइन सच्याउन सक्नुहुन्छ, र मिलानको लागि तरंग लम्बाइको दायरालाई सीमित गर्नुहोस्।
                                  परिणामलाई आन्तरिक रमन वा FTIR स्पेक्ट्रा पुस्तकालयसँग तुलना गरिनेछ। तपाईको साथमा सबैभन्दा बलियो 1000 म्याचहरू
                                  अपलोड वा प्रशोधित डाटा अन्तरक्रियात्मक प्लट र तालिकामा प्रस्तुत गरिनेछ। थप विवरणहरूको लागि तलको बटनमा क्लिक गर्नुहोस्
                                  वा विस्तृत निर्देशनात्मक भिडियो हेर्नुहोस्।"
Detailed Standard Operating Procedure,विस्तृत मानक परिचालन प्रक्रिया
Download Open Data,ओपन डाटा डाउनलोड गर्नुहोस्
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","सन्दर्भ स्पेक्ट्रा खुला पहुँच स्रोतहरूबाट प्राप्त गरिएको थियो
           अनलाइन, सहकर्मी समीक्षा प्रकाशनहरू, र कर्पोरेट दानहरू। भविष्यमा
           उपकरणमा अपलोड गरिएको स्पेक्ट्रा सन्दर्भमा समावेश गरिनेछ
           पुस्तकालय यसलाई अझ राम्रो बनाउन।"
Raman Reference Library,रमन सन्दर्भ पुस्तकालय
FTIR Reference Library,FTIR सन्दर्भ पुस्तकालय
Raman Reference Library Metadata,रमन सन्दर्भ पुस्तकालय मेटाडाटा
FTIR Reference Library Metadata,FTIR सन्दर्भ पुस्तकालय मेटाडेटा
Contribute Spectra,स्पेक्ट्रा योगदान गर्नुहोस्
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","स्पेक्ट्रा साझा गर्नको लागि अपलोड फाइल ट्याबमा फाइल अपलोड गर्नुहोस्। यदि तपाईंले साझेदारी चयन गर्नुभयो भने तपाईंको स्पेक्ट्राको प्रतिलिपि समुदायलाई पठाइनेछ
           खुला विज्ञान फ्रेमवर्कमा डाटा वेयरहाउस। थप मेटाडेटा थप्नको लागि,
           उपलब्ध मेटाडेटा क्षेत्रहरू भर्नुहोस् र क्लिक गर्नुहोस् - डाटा साझेदारी गर्नुहोस्। द
           तपाईंले आफ्नो प्रतिक्रियाहरू सहित अपलोड गर्नुभएको स्पेक्ट्रा फाइल प्रतिलिपि गरिनेछ
           तलको लिङ्कमा - मेटाडाटासँग - सबफोल्डरमा। सबै साझा डाटा होल्ड
           क्रिएटिभ कमन्स एट्रिब्युसन लाइसेन्स ४.०।"
Community Data Warehouse,सामुदायिक डाटा गोदाम
Tool Validation,उपकरण प्रमाणीकरण
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","यो उपकरणमा सबै प्यारामिटरहरू प्रमाणित गर्न परीक्षण गरिन्छ
           उपकरणले सकेसम्म राम्रोसँग काम गरिरहेको छ र उत्तम पूर्वनिर्धारित निर्धारण गर्दछ
           प्रयोग गर्न प्यारामिटरहरू। हाम्रो हालको प्रमाणीकरण प्रक्रियामा सुधार समावेश छ
           सन्दर्भ पुस्तकालयहरूमा डुप्लिकेट प्रविष्टिहरू, स्पेक्ट्रा इनको लागि जाँच गर्दै
           मेटाडेटा जुन स्पेक्ट्रल पुस्तकालयमा छैन, र पूर्वनिर्धारित सुनिश्चित गर्दै
           प्यारामिटरहरूले पहिलो खेलमा 80% भन्दा बढी शुद्धता प्रदान गर्दछ।"
Detailed Validation Procedure,विस्तृत प्रमाणीकरण प्रक्रिया
"Updates, Feature Requests, and Bug Reports","अद्यावधिकहरू, सुविधा अनुरोधहरू, र बग रिपोर्टहरू"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,हामी हाम्रो कोडमा संस्करण नियन्त्रण प्रयोग गरेर सबै अद्यावधिकहरूको ट्र्याक राख्छौं। सुविधाहरू अनुरोध गर्न सकिन्छ र GitHub मा बग रिपोर्ट गर्न सकिन्छ।
Stay up to date!,अद्यावधिक रहनुहोस्!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,ट्विटर @OpenSpecy मा हामीलाई पछ्याउनुहोस्। ईमेलिङ सूचीमा थप्नको लागि wincowger@gmail.com इ-मेल गर्नुहोस्।
Citation,उद्धरण
Useful Links,उपयोगी लिङ्कहरू
Free FTIR Software: siMPle microplastic IR spectral identification software,नि: शुल्क FTIR सफ्टवेयर: सिम्पल माइक्रोप्लास्टिक आईआर स्पेक्ट्रल पहिचान सफ्टवेयर
Free Spectroscopy Learning Academy from ThermoFisher,ThermoFisher बाट नि: शुल्क स्पेक्ट्रोस्कोपी लर्निंग एकेडेमी
Free Optical Microscopy Learning Resource from Florida State University,फ्लोरिडा स्टेट युनिभर्सिटीबाट नि:शुल्क अप्टिकल माइक्रोस्कोपी लर्निंग रिसोर्स
Free desktop application for spectral analysis and links to reference databases.,स्पेक्ट्रल विश्लेषण र सन्दर्भ डाटाबेस लिङ्कहरूको लागि नि: शुल्क डेस्कटप अनुप्रयोग।
Terms And Conditions,नियम र सर्तहरू
Privacy Policy,गोपनीयता नीति
Upload File,फाइल अपलोड गर्नुहोस्
"Upload, View, and Share Spectra","स्पेक्ट्रा अपलोड गर्नुहोस्, हेर्नुहोस् र साझेदारी गर्नुहोस्"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",".csv (रुचाइएका), .asp, .jdx, .spc, .spa, वा .0 फाइल छान्नुहोस्"
Share Your Data?,आफ्नो डाटा साझा गर्ने?
Share Help,मद्दत साझेदारी गर्नुहोस्
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","यदि तपाइँ चाहनुहुन्छ भने, हामी तपाइँको अपलोड गरिएको स्पेक्ट्रा र सेटिङ्हरू स्पेक्ट्रोस्कोपी समुदायसँग साझा गर्छौं।
           पूर्वनिर्धारित रूपमा, सबै डेटा Creative Commons Attribution-Noncommercial 4.0 International (CC BY-NC 4.0) अन्तर्गत इजाजतपत्र दिइनेछ।
           अपलोड गरिएको स्पेक्ट्रा यहाँ देखा पर्नेछ: https://osf.io/rjg3c"
Upload Help,मद्दत अपलोड गर्नुहोस्
