en,nl
About,Over
Welcome,Welkom
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Sluit je aan bij de honderden onderzoekers uit de hele wereld
           de wereld die deel uitmaken van de Open Specy-gemeenschap door
           analyseren, delen, verwerken en identificeren
           hun Raman- en IR-spectra. Deze diensten zijn gratis en open source dankzij onze partners:"
Quick Video Tutorial,Snelle videozelfstudie
Instructions,instructies:
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","In het kort: Om de tool te gebruiken, upload een csv-, asp-, jdx-, spc- of spa-bestand naar het uploadbestand-tabblad.
                                  Als csv, moet een kolom 'golfnummer' (in eenheden van 1/cm) worden genoemd en een andere 'intensiteit'.
                                  U kunt uw gegevens gladstrijken met een SG-filter, uw gegevens op baseline corrigeren met behulp van de polynomiale volgorde van iModPolyFit en het golflengtebereik voor de match beperken.
                                  Het resultaat wordt vergeleken met een interne Raman- of FTIR-spectrabibliotheek. De sterkste 1000 matches samen met jouw
                                  geüploade of verwerkte gegevens worden gepresenteerd in een interactieve plot en tabel. Voor meer details klik op de onderstaande knop
                                  of bekijk de gedetailleerde instructievideo."
Detailed Standard Operating Procedure,Gedetailleerde standaard werkprocedure:
Download Open Data,Open gegevens downloaden
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Referentiespectra zijn afkomstig van bronnen met open toegang
           online, peer-reviewed publicaties en bedrijfsdonaties. In de toekomst
           spectra die naar de tool zijn geüpload, worden opgenomen in de referentie
           bibliotheek om het nog beter te maken."
Raman Reference Library,Raman-referentiebibliotheek
FTIR Reference Library,FTIR-referentiebibliotheek
Raman Reference Library Metadata,Raman Reference Library Metadata
FTIR Reference Library Metadata,Metagegevens van de FTIR-referentiebibliotheek
Contribute Spectra,Draag Spectra bij
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Om spectra te delen, uploadt u een bestand naar het tabblad Bestand uploaden. Als je Share hebt geselecteerd, wordt een kopie van je spectra naar de community gestuurd
           Datawarehouse op Open Science Framework. Om extra metadata toe te voegen,
           vul de beschikbare metadatavelden in en klik op -Share Data-. De
           spectra-bestand dat u samen met uw antwoorden heeft geüpload, worden gekopieerd
           naar de a -Met Metadata- submap op de onderstaande link. Alle gedeelde gegevens worden bewaard
           een Creative Commons Attribution License 4.0."
Community Data Warehouse,Community datawarehouse
Tool Validation,Gereedschapsvalidatie
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Alle parameters in deze tool zijn getest om te valideren dat
           de tool werkt zo goed mogelijk en bepaal de beste standaard
           parameters te gebruiken. Onze huidige validatieprocedure omvat correctie
           dubbele vermeldingen in de referentiebibliotheken, controleren op spectra in
           metadata die niet in de spectrale bibliotheek staan, en zorgen voor de standaard
           parameters bieden meer dan 80% nauwkeurigheid in de eerste wedstrijd."
Detailed Validation Procedure,Gedetailleerde validatieprocedure
"Updates, Feature Requests, and Bug Reports","Updates, functieverzoeken en bugrapporten"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,We houden alle updates bij met behulp van versiebeheer op onze code. Functies kunnen worden aangevraagd en bugs gerapporteerd op GitHub.
Stay up to date!,Blijf op de hoogte!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Volg ons op Twitter @OpenSpecy. E-mail wincowger@gmail.com om te worden toegevoegd aan de mailinglijst.
Citation,Citaat
Useful Links,handige links
Free FTIR Software: siMPle microplastic IR spectral identification software,Gratis FTIR-software: eenvoudige microplastic IR spectrale identificatiesoftware
Free Spectroscopy Learning Academy from ThermoFisher,Gratis Spectroscopie Learning Academy van ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Gratis leermiddel voor optische microscopie van de Florida State University
Free desktop application for spectral analysis and links to reference databases.,Gratis desktop-applicatie voor spectrale analyse en links naar referentiedatabases.
Terms And Conditions,Voorwaarden
Privacy Policy,Privacybeleid
Upload File,Upload bestand
"Upload, View, and Share Spectra","Upload, bekijk en deel Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Kies .csv (voorkeur), .asp, .jdx, .spc, .spa of .0 Bestand"
Share Your Data?,Uw gegevens delen?
Share Help,Help delen
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Als je wilt, delen we je geüploade spectra en instellingen met de spectroscopiegemeenschap.
           Standaard worden alle gegevens gelicentieerd onder Creative Commons Naamsvermelding-NietCommercieel 4.0 Internationaal (CC BY-NC 4.0).
           Geüploade spectra verschijnen hier: https://osf.io/rjg3c"
Upload Help,Hulp bij uploaden
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Upload Raman- of FTIR-spectrumbestanden als csv, jdx, spc of spa. Een csv-bestand heeft de voorkeur. Als het een csv is, moet het bestand één kolom bevatten met het label 'golfnummer' in eenheden van (1/cm) en een andere kolom met het label 'intensiteit' in absorptie-eenheden.
            Als jdx, spc, spa of 0 het bestand een enkel absorptiespectrum moet zijn met een golfgetal in (1/cm). Deze bestanden zullen niet altijd perfect werken omdat ze lastig te lezen zijn, dus controleer ze in een andere software.
            Druk op de knop 'Testgegevens' om een voorbeeld van een Raman-spectrum te downloaden."
Intensity Adjustment,Intensiteitsaanpassing
None,Geen
Transmittance,doorlaatbaarheid
Reflectance,reflectie
Intensity Correction Help,Hulp bij intensiteitscorrectie
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Als het geüploade spectrum niet in absorptie-eenheden is,
           gebruik deze invoer om de eenheden op te geven waaruit moet worden geconverteerd.Open Specy kan
           pas reflectie- of transmissiespectra aan Absorptie-eenheden aan met behulp van:
           deze vervolgkeuzelijst in het uploadbestand-tabblad. Alle voorgaande tabbladen
           neem aan dat de gegevens in absorptie-eenheden zijn, dus u moet de
           corrigeren voordat u doorgaat, indien nodig. De transmissie aanpassing:
           gebruikt de log10(1/T)-berekening die niet corrigeert voor systeem
           en deeltjeskenmerken. De reflectie-aanpassing maakt gebruik van de
           Kubelka-Munk-vergelijking (1-R)2/(2*R). We nemen aan dat de reflectie
           is opgemaakt als een percentage van 1-100 en corrigeer eerst de intensiteit door te delen door 100
           zodat het past in de vorm die door de vergelijking wordt verwacht.
           Als er geen is geselecteerd, gaat Open Specy ervan uit dat de geüploade gegevens:
           een absorptiespectrum."
Sample File,Voorbeeldbestand
Sample Data Help,Hulp bij voorbeeldgegevens
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Dit is een voorbeeldspectrum dat naar de tool kan worden geüpload om het uit te testen en te begrijpen hoe de csv-bestanden moeten worden geformatteerd.
Metadata Input,Metagegevensinvoer
Metadata Help,Hulp bij metagegevens
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","We delen alle geüploade spectra en metadata met de spectroscopiegemeenschap als je de metadata hier invult en delen selecteert.
           Geüploade spectra en metadata verschijnen hier: https://osf.io/rjg3c"
Share Metadata,Metagegevens delen
Upload some data to get started...,Upload wat gegevens om aan de slag te gaan...
Preprocess Spectrum,Preprocess-spectrum
"Smooth, Baseline Correct, and Download Processed Spectra","Vloeiend, basislijn correct en download verwerkte spectra"
Download (recommended),Downloaden (aanbevolen)
Download Help,Help downloaden
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Sommige gebruikers willen misschien een kopie van hun verwerkte spectrum opslaan. Deze knop downloadt het verwerkte spectrum als csv-bestand.
Smoothing,gladmaken
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Deze smoother kan de signaal-ruisverhouding van de data verbeteren en maakt gebruik van een Savitzky-Golay-filter met 12 lopende datapunten en de gespecificeerde polynoom.
Smoothing Polynomial,Gladmakende veelterm
Baseline Correction,Basislijncorrectie
Baseline Correction Help,Hulp bij basislijncorrectie
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Deze routine voor basislijncorrectie heeft twee opties voor basislijncorrectie, 1) de polynomiale imodpolyfit-procedure om iteratief de basislijn van het spectrum te vinden met behulp van een polynoomaanpassing voor het hele gebied van de spectra. 2) handmatige lijnen kunnen worden getekend met behulp van het lijngereedschap op de plot en de juiste knop zal de lijnen gebruiken om de basislijn af te trekken."
Baseline Correction Polynomial,Basislijncorrectiepolynoom
Technique,Techniek
Polynomial,veelterm
Manual,Handleiding
Correct With Trace,Corrigeer met trace
Reset,Resetten
Range Selection,Bereikselectie
Spectral Range Help,Spectraal bereik hulp
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"Door het spectrale bereik te beperken, kunnen spectrumgebieden worden verwijderd waar geen pieken bestaan en kan de afstemming worden verbeterd"
Maximum Spectral Range,Maximaal spectraal bereik
Minimum Spectral Range,Minimaal spectraal bereik
Identify Spectrum,Identificeer spectrum
Identify Spectrum Using the Reference Library,Spectrum identificeren met behulp van de referentiebibliotheek
Raman,Raman
FTIR,FTIR
Spectra,spectrum
Type,Type
Spectrum Type Help,Hulp bij spectrumtype
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Deze selectie bepaalt of de FTIR- of Raman-overeenkomstbibliotheek wordt gebruikt. Kies het spectrumtype dat is geüpload.
Analysis,Analyse
Processed,Verwerkt
Uploaded,Geüpload
Spectrum to Analyze Help,Hulp bij het analyseren van spectrum
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Deze selectie bepaalt of het geüploade (niet-verwerkte) spectrum of het spectrum dat is verwerkt met behulp van het tabblad Verwerken, wordt gebruikt in de spectrumovereenkomst."
Region,Regio
Full,Vol
Peaks,pieken
Region to Match Help,Help bij overeenkomende regio
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Deze selectie bepaalt of de bibliotheek waarmee u overeenkomt, bestaat uit het volledige spectrum of alleen spectrumpieken."
Partner With Us,Partner met ons
Help us reach our goal of revolutionizing spectroscopy.,Help ons ons doel te bereiken: een revolutie teweegbrengen in de spectroscopie.
Donate Cash,Doneer contant
Buy From Swag Store,Koop bij Swag Store
Contribute time,Tijd bijdragen
Revolutionizing,Revolutionair
Thriving,Gezond
Maintaining,Onderhouden
Supporting,Ondersteunend
Saving,Besparing
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Een betaald team dat Open Specy met één klik dichter bij het uiteindelijke doel van 100% nauwkeurige spectrale identificatie en diepe spectrale diagnostiek brengt
A single paid staff person working to update and build the community and the tool,Een enkele betaalde medewerker die werkt aan het updaten en bouwen van de community en de tool
Maintenance costs and minor ad-hoc updates and bug fixes,Onderhoudskosten en kleine ad-hoc updates en bugfixes
Keeping the app online and essential maintenance,De app online houden en essentieel onderhoud
Long term storage only,Alleen langdurige opslag
Sharing Metadata,Metagegevens delen
Thank you for sharing your data!,Bedankt voor het delen van je gegevens!
Your data will soon be available at https://osf.io/stmv4/,Uw gegevens zijn binnenkort beschikbaar op https://osf.io/stmv4/
Something went wrong :-(,Er is iets fout gegaan :-(
Data type not supported!,Gegevenstype niet ondersteund!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Geüploade gegevenstype wordt momenteel niet ondersteund; Alsjeblieft
                      check tooltips en 'Over' tab voor details."
Sharing Spectrum to Community Library,Spectrum delen met gemeenschapsbibliotheek
Reading Spectrum,Leesspectrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Als je een tekst/csv-bestand hebt geüpload, zorg er dan voor dat de
           kolommen zijn numeriek en hebben de naam 'wavenumber' en
           'intensiteit'."
absorbance intensity [-],absorptie-intensiteit [-]
wavenumber [cm<sup>-1</sup>],golfgetal [cm<sup>-1</sup>]
Analyzing Spectrum,Spectrum analyseren
Finding Match,Match vinden
Making Plot,Plot maken
Material,Materiaal
Pearson's r,Pearson's r
Organization,Organisatie
Selectable Matches,Selecteerbare overeenkomsten
Donations,Donaties
Operation Costs,Operatie kosten
Selection Metadata,Selectie metadata
