en,or
About,ବିଷୟରେ
Welcome,ସ୍ Welcome ାଗତ
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","ଆଖପାଖରୁ ଶହ ଶହ ଗବେଷକ ଯୋଗ ଦିଅନ୍ତୁ |
           ବିଶ୍ the ଯେଉଁମାନେ ଓପନ୍ ସ୍ପେସି ସମ୍ପ୍ରଦାୟର ଅଂଶ ଅଟନ୍ତି |
           ବିଶ୍ଳେଷଣ, ଅଂଶୀଦାର, ପ୍ରକ୍ରିୟାକରଣ ଏବଂ ଚିହ୍ନଟ |
           ସେମାନଙ୍କର ରମଣ ଏବଂ ଆଇଆର ସ୍ପେକ୍ଟ୍ରା | ଏହି ସେବାଗୁଡିକ ଆମର ଅଂଶୀଦାରମାନଙ୍କୁ ଧନ୍ୟବାଦ ଏବଂ ମୁକ୍ତ ଉତ୍ସ ଅଟେ:"
Quick Video Tutorial,ଦ୍ରୁତ ଭିଡିଓ ଟ୍ୟୁଟୋରିଆଲ୍ |
Instructions,ନିର୍ଦ୍ଦେଶାବଳୀ
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","ସଂକ୍ଷେପରେ: ଟୁଲ୍ ବ୍ୟବହାର କରିବାକୁ ଏକ csv, asp, jdx, spc, କିମ୍ବା ସ୍ପା ଫାଇଲ୍ ଅପଲୋଡ୍ ଫାଇଲ୍ ଟ୍ୟାବ୍ ରେ ଅପଲୋଡ୍ କରନ୍ତୁ |
                                  ଯଦି csv, ଗୋଟିଏ ସ୍ତମ୍ଭର ନାମ 'ୱେଭେମ୍ବର' (1 / ସେମି ୟୁନିଟରେ) ଏବଂ ଅନ୍ୟଟିର ନାମ 'ତୀବ୍ରତା' ରଖାଯିବା ଉଚିତ |
                                  ଆପଣ ଏକ SG ଫିଲ୍ଟର୍ ବ୍ୟବହାର କରି ଆପଣଙ୍କର ତଥ୍ୟକୁ ମସୃଣ କରିପାରିବେ, iModPolyFit ର ବହୁଭୂତ କ୍ରମ ବ୍ୟବହାର କରି ଆପଣଙ୍କର ତଥ୍ୟକୁ ବେସ୍ ଲାଇନ୍ ସଠିକ୍ କରିପାରିବେ ଏବଂ ମ୍ୟାଚ୍ ପାଇଁ ତରଙ୍ଗଦ eng ର୍ଘ୍ୟ ସୀମାକୁ ସୀମିତ କରିପାରିବେ |
                                  ଫଳାଫଳକୁ ଏକ ଆଭ୍ୟନ୍ତରୀଣ ରମଣ କିମ୍ବା FTIR ସ୍ପେକ୍ଟ୍ରା ଲାଇବ୍ରେରୀ ସହିତ ତୁଳନା କରାଯିବ | ଆପଣଙ୍କ ସହିତ ଶକ୍ତିଶାଳୀ 1000 ମ୍ୟାଚ୍ |
                                  ଅପଲୋଡ୍ କିମ୍ବା ପ୍ରକ୍ରିୟାକୃତ ତଥ୍ୟ ଏକ ଇଣ୍ଟରାକ୍ଟିଭ୍ ପ୍ଲଟ୍ ଏବଂ ଟେବୁଲରେ ଉପସ୍ଥାପିତ ହେବ | ଅଧିକ ବିବରଣୀ ପାଇଁ ନିମ୍ନରେ ଥିବା ବଟନ୍ କ୍ଲିକ୍ କରନ୍ତୁ |
                                  କିମ୍ବା ବିସ୍ତୃତ ନିର୍ଦ୍ଦେଶନାମା ଭିଡିଓ ଦେଖନ୍ତୁ |"
Detailed Standard Operating Procedure,ବିସ୍ତୃତ ମାନକ ଅପରେଟିଂ ପ୍ରଣାଳୀ |
Download Open Data,ଖୋଲା ଡାଟା ଡାଉନଲୋଡ୍ କରନ୍ତୁ |
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","ଖୋଲା ଆକ୍ସେସ୍ ଉତ୍ସରୁ ରେଫରେନ୍ସ ସ୍ପେକ୍ଟ୍ରା ସୋର୍ସ କରାଯାଇଥିଲା |
           ଅନଲାଇନ୍, ସାଥି ସମୀକ୍ଷା ପ୍ରକାଶନ, ଏବଂ କର୍ପୋରେଟ୍ ଦାନ | ଭବିଷ୍ୟତରେ
           ଟୁଲ୍କୁ ଅପଲୋଡ୍ ହୋଇଥିବା ସ୍ପେକ୍ଟ୍ରା ରେଫରେନ୍ସରେ ଅନ୍ତର୍ଭୂକ୍ତ ହେବ |
           ଏହାକୁ ଆହୁରି ଉନ୍ନତ କରିବା ପାଇଁ ଲାଇବ୍ରେରୀ |"
Raman Reference Library,ରମଣ ରେଫରେନ୍ସ ଲାଇବ୍ରେରୀ |
FTIR Reference Library,FTIR ରେଫରେନ୍ସ ଲାଇବ୍ରେରୀ |
Raman Reference Library Metadata,ରମଣ ରେଫରେନ୍ସ ଲାଇବ୍ରେରୀ ମେଟାଡାଟା |
FTIR Reference Library Metadata,FTIR ରେଫରେନ୍ସ ଲାଇବ୍ରେରୀ ମେଟାଡାଟା |
Contribute Spectra,ସ୍ପେକ୍ଟ୍ରା ଯୋଗଦାନ କରନ୍ତୁ |
