en,pl
About,O
Welcome,Witamy
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Dołącz do setek naukowców z całego świata
           świat, który jest częścią społeczności Open Specy przez
           analizowanie, udostępnianie, przetwarzanie i identyfikacja
           ich widma Ramana i IR. Te usługi są bezpłatne i otwarte dzięki naszym partnerom:"
Quick Video Tutorial,Szybki samouczek wideo
Instructions,Instrukcje
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","W skrócie: Aby użyć narzędzia, prześlij plik csv, asp, jdx, spc lub spa do zakładki przesyłania plików.
                                  Jeśli csv, jedna kolumna powinna być nazwana „liczba fal” (w jednostkach 1/cm), a druga nazwać „intensywność”.
                                  Możesz wygładzić swoje dane za pomocą filtra SG, skorygować bazowe dane za pomocą kolejności wielomianowej iModPolyFit i ograniczyć zakres długości fal dla dopasowania.
                                  Wynik zostanie porównany z wewnętrzną biblioteką widm Ramana lub FTIR. Najsilniejsze 1000 meczów wraz z twoim
                                  przesłane lub przetworzone dane zostaną zaprezentowane na interaktywnym wykresie i tabeli. Aby uzyskać więcej informacji, kliknij przycisk poniżej
                                  lub obejrzyj szczegółowy film instruktażowy."
Detailed Standard Operating Procedure,Szczegółowa standardowa procedura operacyjna
Download Open Data,Pobierz otwarte dane
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Widma referencyjne zostały pozyskane z zasobów o otwartym dostępie
           online, recenzowane publikacje i darowizny korporacyjne. W przyszłości
           widma przesłane do narzędzia zostaną włączone do referencji
           bibliotekę, aby było jeszcze lepiej."
Raman Reference Library,Biblioteka referencyjna Ramana
FTIR Reference Library,Biblioteka referencyjna FTIR
Raman Reference Library Metadata,Metadane biblioteki referencyjnej Ramana
FTIR Reference Library Metadata,Metadane biblioteki referencyjnej FTIR
Contribute Spectra,Wkład widma
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Aby udostępnić widma, prześlij plik do zakładki przesyłania plików. Jeśli wybrałeś opcję Udostępnij, kopia twoich widm zostanie wysłana do społeczności
           Hurtownia danych w ramach Open Science Framework. Aby dodać dodatkowe metadane,
           wypełnij dostępne pola metadanych i kliknij -Udostępnij dane-. ten
           plik widma, który przesłałeś wraz z odpowiedziami, zostanie skopiowany
           do podfolderu -With Metadata- pod linkiem poniżej. Wszystkie udostępnione dane są blokowane
           Licencja Creative Commons Attribution 4.0."
Community Data Warehouse,Społeczna hurtownia danych
Tool Validation,Walidacja narzędzia
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Wszystkie parametry w tym narzędziu są testowane, aby to potwierdzić
           narzędzie działa najlepiej, jak to możliwe i określa najlepszą wartość domyślną
           parametry do użycia. Nasza obecna procedura walidacji obejmuje korekty
           zduplikowane wpisy w bibliotekach referencyjnych, sprawdzanie widm w
           metadane, których nie ma w bibliotece spektralnej i zapewnienie wartości domyślnej
           parametry zapewniają ponad 80% dokładności w pierwszym meczu."
Detailed Validation Procedure,Szczegółowa procedura walidacji
"Updates, Feature Requests, and Bug Reports","Aktualizacje, prośby o nowe funkcje i raporty o błędach"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,"Śledzimy wszystkie aktualizacje, korzystając z kontroli wersji w naszym kodzie. Funkcje można zgłaszać w serwisie GitHub i zgłaszać błędy."
Stay up to date!,Bądź na bieżąco!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Śledź nas na Twitterze @OpenSpecy. E-mail wincowger@gmail.com do dodania do listy mailingowej.
Citation,Cytat
Useful Links,Przydatne linki
Free FTIR Software: siMPle microplastic IR spectral identification software,Darmowe oprogramowanie FTIR: proste oprogramowanie do identyfikacji widmowej w podczerwieni z mikroplastiku
Free Spectroscopy Learning Academy from ThermoFisher,Darmowa Akademia Nauki Spektroskopii firmy ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Bezpłatny materiał edukacyjny dotyczący mikroskopii optycznej z Florida State University
Free desktop application for spectral analysis and links to reference databases.,Bezpłatna aplikacja komputerowa do analizy spektralnej i łącza do referencyjnych baz danych.
Terms And Conditions,Zasady i warunki
Privacy Policy,Polityka prywatności
Upload File,Przesyłanie pliku
"Upload, View, and Share Spectra","Przesyłaj, przeglądaj i udostępniaj widma"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Wybierz plik .csv (preferowany), .asp, .jdx, .spc, .spa lub .0"
Share Your Data?,Udostępniać swoje dane?
Share Help,Udostępnij Pomoc
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Jeśli chcesz, udostępniamy przesłane przez Ciebie widma i ustawienia społeczności spektroskopii.
           Domyślnie wszystkie dane będą objęte licencją Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Przesłane widma pojawią się tutaj: https://osf.io/rjg3c"
Upload Help,Prześlij pomoc
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Prześlij pliki widma Ramana lub FTIR jako csv, jdx, spc lub spa. Preferowany jest plik csv. Jeśli plik csv, plik musi zawierać jedną kolumnę oznaczoną „liczba falowa” w jednostkach (1/cm) i drugą kolumnę oznaczoną „intensywność” w jednostkach absorbancji.
            Jeśli jdx, spc, spa lub 0 plik powinien być pojedynczym widmem absorbancji z liczbą falową w (1/cm). Pliki te nie zawsze będą działać idealnie, ponieważ są trudne do odczytania, więc sprawdź je dokładnie w innym oprogramowaniu.
            Naciśnij przycisk „Testuj dane”, aby pobrać przykładowe widmo Ramana."
Intensity Adjustment,Regulacja intensywności
None,Nic
Transmittance,Przepuszczalność
Reflectance,Odbicie
Intensity Correction Help,Pomoc w korekcji intensywności
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Jeżeli przesłane widmo nie jest w jednostkach absorbancji,
           użyj tych danych wejściowych, aby określić jednostki, z których mają zostać przeliczone. Open Specy can
           dostosuj widma reflektancji lub transmitancji do jednostek absorbancji za pomocą
           to menu rozwijane w zakładce przesyłania plików. Wszystkie poprzednie zakładki
           załóżmy, że dane są w jednostkach absorbancji, więc należy wykonać
           korekta przed kontynuowaniem w razie potrzeby. Regulacja przepuszczalności
           używa obliczenia log10(1/T), które nie jest poprawne dla systemu
           i charakterystykę cząstek. Regulacja odbicia wykorzystuje
           Równanie Kubelki-Munk (1-R)2/(2*R). Zakładamy, że współczynnik odbicia
           jest sformatowany jako procent od 1-100 i najpierw popraw intensywność, dzieląc przez 100
           tak, aby pasował do postaci oczekiwanej przez równanie.
           Jeśli nie wybrano żadnego, Open Specy zakłada, że przesłane dane są
           widmo absorbancji."
Sample File,Przykładowy plik
Sample Data Help,Pomoc dotycząca przykładowych danych
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Jest to przykładowe widmo, które można przesłać do narzędzia w celu przetestowania go i zrozumienia, jak powinny być formatowane pliki csv."
Metadata Input,Wprowadzanie metadanych
Metadata Help,Pomoc dotycząca metadanych
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Udostępniamy wszelkie przesłane widma i metadane społeczności spektroskopów, jeśli wypełnisz tutaj metadane i wybierzesz udostępnij.
           Przesłane widma i metadane pojawią się tutaj: https://osf.io/rjg3c"
Share Metadata,Udostępnij metadane
Upload some data to get started...,"Prześlij trochę danych, aby rozpocząć..."
Preprocess Spectrum,Widmo przetwarzania wstępnego
"Smooth, Baseline Correct, and Download Processed Spectra","Wygładź, popraw linię bazową i pobierz przetworzone widma"
Download (recommended),Pobierz (zalecane)
Download Help,Pobierz Pomoc
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Niektórzy użytkownicy mogą chcieć zapisać kopię przetworzonego widma. Ten przycisk pobiera przetworzone widmo jako plik csv.
Smoothing,Wygładzanie
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,To gładsze może poprawić stosunek sygnału do szumu danych i wykorzystuje filtr Savitzky-Golay z 12 bieżącymi punktami danych i określonym wielomianem.
Smoothing Polynomial,Wygładzanie wielomianu
Baseline Correction,Korekta linii bazowej
Baseline Correction Help,Pomoc dotycząca korekty linii bazowej
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Ta procedura korekcji linii bazowej ma dwie opcje korekcji linii bazowej: 1) wielomianową procedurę imodpolyfit, która iteracyjnie znajduje linię bazową widma przy użyciu wielomianowego dopasowania do całego obszaru widm. 2) linie można narysować ręcznie za pomocą narzędzia linii na wykresie, a właściwy przycisk użyje linii do odjęcia linii bazowej."
Baseline Correction Polynomial,Wielomian korekcji linii bazowej
Technique,Technika
Polynomial,Wielomian
Manual,podręcznik
Correct With Trace,Popraw ze śladem
Reset,Resetowanie
Range Selection,Wybór zakresu
Spectral Range Help,Pomoc dotycząca zakresu spektralnego
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"Ograniczenie zakresu widmowego może usunąć obszary widma, w których nie ma pików i poprawić dopasowanie"
Maximum Spectral Range,Maksymalny zakres widmowy
Minimum Spectral Range,Minimalny zakres widmowy
Identify Spectrum,Zidentyfikuj widmo
Identify Spectrum Using the Reference Library,Zidentyfikuj widmo za pomocą biblioteki referencyjnej
Raman,Ramana
FTIR,FTIR
Spectra,Widma
Type,Rodzaj
Spectrum Type Help,Pomoc dotycząca typu widma
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Ten wybór określi, czy używana jest biblioteka dopasowująca FTIR czy Ramana. Wybierz typ widma, który został przesłany."
Analysis,Analiza
Processed,Obrobiony
Uploaded,Załadowany
Spectrum to Analyze Help,Widmo do analizy pomocy
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Ten wybór określi, czy przesłane (nie przetworzone) widmo, czy widmo przetworzone przy użyciu zakładki przetwarzania jest używane w dopasowaniu widma."
Region,Region
Full,Pełny
Peaks,Szczyty
Region to Match Help,Region do dopasowania Pomoc
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Ten wybór określi, czy biblioteka, do której dopasowujesz, składa się z pełnego widma, czy tylko z pików widma."
Partner With Us,Współpracuj z nami
Help us reach our goal of revolutionizing spectroscopy.,"Pomóż nam osiągnąć nasz cel, jakim jest zrewolucjonizowanie spektroskopii."
Donate Cash,Wpłać gotówkę
Buy From Swag Store,Kup w sklepie Swag
Contribute time,Poświęć czas
Revolutionizing,Rewolucjonizuje
Thriving,Kwitnąca
Maintaining,Utrzymywanie
Supporting,Wspierający
Saving,Oszczędność
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Płatny zespół, który przybliża Open Specy do ostatecznego celu, jakim jest 100% dokładna identyfikacja spektralna i dogłębna diagnostyka spektralna za pomocą jednego kliknięcia"
A single paid staff person working to update and build the community and the tool,Jeden płatny pracownik pracujący nad aktualizacją i budowaniem społeczności oraz narzędzia
Maintenance costs and minor ad-hoc updates and bug fixes,Koszty utrzymania i drobne aktualizacje ad hoc i poprawki błędów
Keeping the app online and essential maintenance,Utrzymywanie aplikacji online i niezbędna konserwacja
Long term storage only,Tylko przechowywanie długoterminowe
Sharing Metadata,Udostępnianie metadanych
Thank you for sharing your data!,Dziękujemy za udostępnienie swoich danych!
Your data will soon be available at https://osf.io/stmv4/,Twoje dane będą wkrótce dostępne pod adresem https://osf.io/stmv4/
Something went wrong :-(,Coś poszło nie tak :-(
Data type not supported!,Nieobsługiwany typ danych!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Przesłany typ danych nie jest obecnie obsługiwany; Proszę
                      sprawdź podpowiedzi i zakładkę „Informacje”, aby uzyskać szczegółowe informacje."
Sharing Spectrum to Community Library,Udostępnianie widma w bibliotece społeczności
Reading Spectrum,Widmo czytania
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Jeśli przesłałeś plik tekstowy/csv, upewnij się, że
           kolumny są numeryczne i nazwane „numer falowy” i
           'intensywność'."
absorbance intensity [-],intensywność absorbancji [-]
wavenumber [cm<sup>-1</sup>],liczba falowa [cm<sup>-1</sup>]
Analyzing Spectrum,Analiza widma
Finding Match,Znalezienie dopasowania
Making Plot,Tworzenie fabuły
Material,Materiał
Pearson's r,R . Pearsona
Organization,Organizacja
Selectable Matches,Dopasowania do wyboru
Donations,Darowizny
Operation Costs,Koszty operacyjne
Selection Metadata,Metadane wyboru
