en,pt
About,Cerca de
Welcome,Bem vinda
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Junte-se às centenas de pesquisadores ao redor
           o mundo que faz parte da comunidade Open Specy por
           analisar, compartilhar, processar e identificar
           seus espectros Raman e IR. Esses serviços são gratuitos e de código aberto graças aos nossos parceiros:"
Quick Video Tutorial,Tutorial de vídeo rápido
Instructions,Instruções
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Em resumo: para usar a ferramenta, carregue um arquivo csv, asp, jdx, spc ou spa para a guia de upload de arquivo.
                                  Se csv, uma coluna deve ser denominada 'número de onda' (em unidades de 1 / cm) e outra denominada 'intensidade'.
                                  Você pode suavizar seus dados usando um filtro SG, corrigir a linha de base de seus dados usando a ordem polinomial de iModPolyFit e restringir a faixa de comprimento de onda para a correspondência.
                                  O resultado será comparado a uma biblioteca interna de espectros Raman ou FTIR. As 1000 correspondências mais fortes, juntamente com o seu
                                  os dados carregados ou processados serão apresentados em um gráfico e uma tabela interativos. Para mais detalhes clique no botão abaixo
                                  ou assista ao vídeo instrutivo detalhado."
Detailed Standard Operating Procedure,Procedimento operacional padrão detalhado
Download Open Data,Baixar dados abertos
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Os espectros de referência foram obtidos de recursos de acesso aberto
           online, publicações revisadas por pares e doações corporativas. No futuro
           espectros que são carregados para a ferramenta serão incorporados à referência
           biblioteca para torná-lo ainda melhor."
Raman Reference Library,Biblioteca de Referência Raman
FTIR Reference Library,Biblioteca de Referência FTIR
Raman Reference Library Metadata,Metadados da biblioteca de referência Raman
FTIR Reference Library Metadata,Metadados da biblioteca de referência FTIR
Contribute Spectra,Contribuir com espectros
