en,ro
About,Despre
Welcome,Bine ati venit
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Alăturați-vă sutelor de cercetători din jur
           lumea care fac parte din comunitatea Open Specy de
           analiza, partajarea, procesarea și identificarea
           spectrele lor Raman și IR. Aceste servicii sunt gratuite și open source datorită partenerilor noștri:"
Quick Video Tutorial,Tutorial video rapid
Instructions,Instrucțiuni
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Pe scurt: pentru a utiliza instrumentul, încărcați un fișier csv, asp, jdx, spc sau spa în fila fișier de încărcare.
                                  Dacă csv, o coloană ar trebui să fie numită „numărul de undă” (în unități de 1/cm) și o altă coloană numită „intensitate”.
                                  Puteți netezi datele utilizând un filtru SG, puteți corecta datele de bază utilizând ordinea polinomială a iModPolyFit și puteți restricționa intervalul de lungimi de undă pentru potrivire.
                                  Rezultatul va fi comparat cu o bibliotecă internă de spectre Raman sau FTIR. Cele mai puternice 1000 de potriviri împreună cu dvs
                                  datele încărcate sau prelucrate vor fi prezentate într-un grafic și un tabel interactiv. Pentru mai multe detalii click pe butonul de mai jos
                                  sau urmăriți videoclipul cu instrucțiuni detaliate."
Detailed Standard Operating Procedure,Procedură de operare standard detaliată
Download Open Data,Descărcați date deschise
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Spectrele de referință au fost obținute din resurse cu acces deschis
           online, publicații evaluate de colegi și donații corporative. In viitor
           spectrele care sunt încărcate în instrument vor fi încorporate la referință
           bibliotecă pentru a o face și mai bună."
Raman Reference Library,Biblioteca de referință Raman
FTIR Reference Library,Biblioteca de referință FTIR
Raman Reference Library Metadata,Metadatele bibliotecii de referință Raman
FTIR Reference Library Metadata,Metadatele bibliotecii de referință FTIR
Contribute Spectra,Contribuie la Spectre
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Pentru a partaja spectre, încărcați un fișier în fila de încărcare a fișierului. Dacă ați selectat Partajare, o copie a spectrelor dvs. va fi trimisă comunității
           Data Warehouse on Open Science Framework. Pentru a adăuga metadate suplimentare,
           completați câmpurile de metadate disponibile și faceți clic pe -Share Data-. The
           fișierul spectra pe care l-ați încărcat împreună cu răspunsurile dvs. va fi copiat
           în subfolderul a -Cu metadate- de la linkul de mai jos. Toate datele partajate sunt păstrate
           o licență de atribuire Creative Commons 4.0."
Community Data Warehouse,Depozitul de date comunitar
Tool Validation,Validarea instrumentului
