en,rw
About,Ibyerekeye
Welcome,Murakaza neza
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Ihuze abashakashatsi babarirwa mu magana baturutse hirya no hino
           isi igize umuryango ufunguye Specy by
           gusesengura, kugabana, gutunganya, no kumenya
           Raman hamwe na IR. Izi serivisi ni ubuntu kandi zifungura isoko dukesha abafatanyabikorwa bacu:"
Quick Video Tutorial,Amashusho Yihuse
Instructions,Amabwiriza
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Muri make: Gukoresha igikoresho wohereze csv, asp, jdx, spc, cyangwa spa dosiye yoherejwe.
                                  Niba csv, inkingi imwe igomba kwitwa 'wavenumber' (mubice bya 1 / cm) indi yitwa 'ubukana'.
                                  Urashobora koroshya amakuru yawe ukoresheje akayunguruzo ka SG, ibyingenzi bikosora amakuru yawe ukoresheje gahunda ya polinomial ya iModPolyFit, kandi ugabanye intera yumurongo wa match.
                                  Ibisubizo bizagereranywa nububiko bwimbere bwa Raman cyangwa FTIR. Imikino 1000 ikomeye cyane hamwe nuwawe
                                  amakuru yoherejwe cyangwa yatunganijwe azerekanwa mugace hamwe nimbonerahamwe. Kubindi bisobanuro kanda buto hepfo
                                  cyangwa urebe videwo irambuye."
Detailed Standard Operating Procedure,Uburyo burambuye bwo gukora
Download Open Data,Kuramo amakuru afunguye
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Ibyerekanwe byerekanwe mubikoresho bifunguye
           kumurongo, urungano rwasuzumye ibitabo, nimpano zamasosiyete. Mu bihe biri imbere
           spectra yoherejwe kubikoresho bizashyirwa kumurongo
           isomero kugirango birusheho kuba byiza."
Raman Reference Library,Isomero rya Raman
FTIR Reference Library,Isomero rya FTIR
Raman Reference Library Metadata,Raman Yerekana Isomero Metadata
FTIR Reference Library Metadata,FTIR Yerekana Isomero Metadata
Contribute Spectra,Tanga umusanzu
